phase,variant,checkpoint_name,decode_mode,metric_name,case_metric_rows,case_count,dice_mean,hd95_mean,hd95_worst,remote_fp_mean,status
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_20000,argmax,myops_edema,44,44,0.6872597087602033,51.89749306214862,189.72473179932217,45.43181818181818,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_20000,pathology_aware,myops_scar,44,44,0.3788511388164484,90.31708669859482,234.06280646992596,41.63636363636363,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_20000,pathology_aware,myops_edema,44,44,0.6761996535498032,55.88934192611066,190.39594064829078,90.27272727272727,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_3332,argmax,myops_scar,44,44,0.17028569652976344,112.5062197994593,217.7948331807934,15.636363636363637,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_3332,argmax,myops_edema,44,44,0.671310791538207,45.711554950832976,181.39612288294148,8.886363636363637,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_3332,pathology_aware,myops_scar,44,44,0.1815718096837305,112.4322987541303,217.78549788606935,15.659090909090908,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_3332,pathology_aware,myops_edema,44,44,0.68055515275787,45.52159016641292,181.3693717685959,8.863636363636363,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_4000,argmax,myops_scar,44,44,0.1456972941965723,125.68231860998972,238.79601855784867,22.113636363636363,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_4000,argmax,myops_edema,44,44,0.666680560330753,50.620556750294014,175.40466114260954,23.454545454545453,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_4000,pathology_aware,myops_scar,44,44,0.16995222067950747,125.38753411549936,238.70042487286509,22.136363636363637,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_4000,pathology_aware,myops_edema,44,44,0.6778783999115467,50.453418645384616,175.3469966167303,23.431818181818183,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_4998,argmax,myops_scar,44,44,0.12923828351566544,141.71642315678727,233.83037973701747,35.97727272727273,RUNTIME_METRICS
