baseline_component_count_mean,baseline_dice_mean,baseline_empty_prediction_rate,baseline_hd95_mean,baseline_hd_mean,baseline_pred_gt_volume_ratio_mean,baseline_remote_fp_mean,baseline_small_fp_mean,candidate_component_count_mean,candidate_dice_mean,candidate_empty_prediction_rate,candidate_hd95_mean,candidate_hd_mean,candidate_pred_gt_volume_ratio_mean,candidate_remote_fp_mean,candidate_small_fp_mean,class_id,delta_component_count_mean_improvement,delta_dice_mean,delta_empty_prediction_rate_improvement,delta_hd95_mean_improvement,delta_hd_mean_improvement,delta_pred_gt_volume_ratio_mean,delta_remote_fp_mean_improvement,delta_small_fp_mean_improvement,group,metric_name,variant
6.041666666666667,0.5017892925791079,0.041666666666666664,16.875689912336288,28.632545887828623,1.3199311129477658,0.25,3.5416666666666665,5.333333333333333,0.503647390126785,0.041666666666666664,17.639500757101874,28.48844804806118,1.4122736134183043,0.125,3.2083333333333335,5,0.7083333333333339,0.0018580975476771844,0.0,-0.7638108447655867,0.1440978397674435,0.09234250047053849,0.125,0.33333333333333304,LGE-only,myops_scar,myocardium_roi_pathology_refiner
4.681818181818182,0.5601692281262312,0.022727272727272728,13.600533414596173,25.970645720273883,1.1342902419246623,0.36363636363636365,2.5454545454545454,4.295454545454546,0.5602180574517414,0.022727272727272728,14.042862493450913,25.942785895669243,1.1880188866147812,0.29545454545454547,2.4318181818181817,5,0.3863636363636358,4.882932551020236e-05,0.0,-0.4423290788547405,0.027859824604639982,0.05372864469011884,0.06818181818181818,0.11363636363636376,all_cases,myops_scar,myocardium_roi_pathology_refiner
1.875,0.6933346102422654,0.0,9.267223535037347,22.63552550065832,0.9503274991252523,0.1875,0.5625,2.125,0.685741041484499,0.0,9.355619736996452,22.776627578547927,0.9467826701766493,0.1875,0.8125,5,-0.25,-0.0075935687577664,0.0,-0.08839620195910491,-0.14110207788960594,-0.003544828948602974,0.0,-0.25,complete_modality,myops_scar,myocardium_roi_pathology_refiner
4.627906976744186,0.573196419478004,0.023255813953488372,13.600533414596173,25.970645720273883,1.1342902419246623,0.20930232558139536,2.4651162790697674,4.232558139534884,0.5732463843692237,0.023255813953488372,14.042862493450913,25.942785895669243,1.1880188866147812,0.13953488372093023,2.3488372093023258,5,0.39534883720930214,4.9964891219667074e-05,0.0,-0.4423290788547405,0.027859824604639982,0.05372864469011884,0.06976744186046513,0.11627906976744162,gt_positive_only,myops_scar,myocardium_roi_pathology_refiner
7.0,0.0,0.0,,,,7.0,6.0,7.0,0.0,0.0,,,,7.0,6.0,5,0.0,0.0,0.0,,,,0.0,0.0,no_T2_empty_GT,myops_scar,myocardium_roi_pathology_refiner
1.875,0.6933346102422654,0.0,9.267223535037347,22.63552550065832,0.9503274991252523,0.1875,0.5625,2.125,0.685741041484499,0.0,9.355619736996452,22.776627578547927,0.9467826701766493,0.1875,0.8125,5,-0.25,-0.0075935687577664,0.0,-0.08839620195910491,-0.14110207788960594,-0.003544828948602974,0.0,-0.25,t2_present,myops_scar,myocardium_roi_pathology_refiner
7.714285714285714,0.5029744773313501,0.0,15.933514343740368,24.05449355554381,0.915974670131474,0.0,3.2857142857142856,7.714285714285714,0.5029744773313501,0.0,15.933514343740368,24.05449355554381,0.915974670131474,0.0,3.2857142857142856,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CenterB,myops_edema,nnunet_component_score_refiner
10.222222222222221,0.3100170023938187,0.0,23.18333127231124,33.92897135437405,2.1536166132195835,0.2222222222222222,6.555555555555555,10.222222222222221,0.3100170023938187,0.0,23.18333127231124,33.92897135437405,2.1536166132195835,0.2222222222222222,6.555555555555555,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CenterC,myops_edema,nnunet_component_score_refiner
0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,LGE-only,myops_edema,nnunet_component_score_refiner
3.3181818181818183,0.7797948718832686,0.6363636363636364,7.276922314931449,10.766868115413025,1.6121482631185355,0.045454545454545456,1.8636363636363635,3.3181818181818183,0.7797948718832686,0.6363636363636364,7.276922314931449,10.766868115413025,1.6121482631185355,0.045454545454545456,1.8636363636363635,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_cases,myops_edema,nnunet_component_score_refiner
