case_id,mode,center,modality_group,t2_present,active_slice_count,all_depth_slice_count,supported_slice_count,raw_valid_angle_fraction,valid_angle_fraction,valid_angle_fraction_supported,valid_slice_fraction_all_depth,valid_slice_fraction_supported,geometry_valid,wall_roundtrip_dice,wall_roundtrip_hd95_mm,centroid_inside_lv_fraction,ray_no_crossing_fraction,ray_single_crossing_fraction,ray_multi_crossing_fraction,failed_slice_reason_counts
Case2020,G3_repaired_predicted,CenterB,C0+LGE+T2,True,12,20,12,0.9514973958333334,0.9781901041666666,0.9781901041666666,0.6,1.0,True,0.9792484203525108,1.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 8}"
Case2034,G0_current_predicted,CenterB,C0+LGE+T2,True,10,20,10,1.0,1.0,1.0,0.5,1.0,True,1.0,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 10}"
Case2034,G1_GT_anatomy,CenterB,C0+LGE+T2,True,10,20,10,1.0,1.0,1.0,0.5,1.0,True,0.9998055231427461,0.0,1.0,0.0,0.996875,0.003125,"{""unsupported_slice"": 10}"
Case2034,G2_supported_denominator,CenterB,C0+LGE+T2,True,10,20,10,1.0,1.0,1.0,0.5,1.0,True,1.0,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 10}"
Case2034,G3_repaired_predicted,CenterB,C0+LGE+T2,True,10,20,10,0.753125,0.7609375,0.7609375,0.5,1.0,False,0.8345015457133237,4.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 10}"
Case3006,G0_current_predicted,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,0.9997209821428571,0.00027901785714285713,"{""unsupported_slice"": 6}"
Case3006,G1_GT_anatomy,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,0.9988839285714286,0.0011160714285714285,"{""unsupported_slice"": 6}"
Case3006,G2_supported_denominator,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,0.9997209821428571,0.00027901785714285713,"{""unsupported_slice"": 6}"
Case3006,G3_repaired_predicted,CenterC,C0+LGE+T2,True,14,20,14,0.9944196428571429,1.0,1.0,0.7,1.0,True,0.9973511659212297,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 6}"
Case3010,G0_current_predicted,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 6}"
Case3010,G1_GT_anatomy,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,0.9977678571428571,0.002232142857142857,"{""unsupported_slice"": 6}"
Case3010,G2_supported_denominator,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 6}"
Case3010,G3_repaired_predicted,CenterC,C0+LGE+T2,True,14,20,14,0.99609375,1.0,1.0,0.7,1.0,True,0.9981193453288604,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 6}"
Case3011,G0_current_predicted,CenterC,C0+LGE+T2,True,9,20,9,1.0,1.0,1.0,0.45,1.0,True,1.0,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 11}"
Case3011,G1_GT_anatomy,CenterC,C0+LGE+T2,True,9,20,9,1.0,1.0,1.0,0.45,1.0,True,1.0,0.0,1.0,0.0,0.9982638888888888,0.001736111111111111,"{""unsupported_slice"": 11}"
Case3011,G2_supported_denominator,CenterC,C0+LGE+T2,True,9,20,9,1.0,1.0,1.0,0.45,1.0,True,1.0,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 11}"
Case3011,G3_repaired_predicted,CenterC,C0+LGE+T2,True,9,20,9,0.2048611111111111,0.2048611111111111,0.2048611111111111,0.0,0.0,False,0.3082589002243576,7.0710678118654755,1.0,0.0,1.0,0.0,"{""low_valid_angle_slice"": 8, ""unsupported_slice"": 11}"
Case3021,G0_current_predicted,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,0.9888392857142857,0.011160714285714286,"{""unsupported_slice"": 6}"
Case3021,G1_GT_anatomy,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,0.999657721796276,0.0,1.0,0.0,0.9810267857142857,0.018973214285714284,"{""unsupported_slice"": 6}"
Case3021,G2_supported_denominator,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,0.9888392857142857,0.011160714285714286,"{""unsupported_slice"": 6}"
Case3021,G3_repaired_predicted,CenterC,C0+LGE+T2,True,14,20,14,0.4400111607142857,0.45926339285714285,0.45926339285714285,0.25,0.35714285714285715,False,0.49044925835022946,12.68857754044952,1.0,0.0,1.0,0.0,"{""low_valid_angle_slice"": 9, ""unsupported_slice"": 6}"
Case3023,G0_current_predicted,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 6}"
Case3023,G1_GT_anatomy,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 6}"
Case3023,G2_supported_denominator,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 6}"
Case3023,G3_repaired_predicted,CenterC,C0+LGE+T2,True,14,20,14,0.9436383928571429,0.962890625,0.962890625,0.7,1.0,True,0.9709019415089702,2.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 6}"
Case3027,G0_current_predicted,CenterC,C0+LGE+T2,True,14,20,14,1.0,1.0,1.0,0.7,1.0,True,1.0,0.0,1.0,0.0,0.9997209821428571,0.00027901785714285713,"{""unsupported_slice"": 6}"
