variant,model_variant,source_model_variant,step,stage,component,loss_value,requires_grad,grad_l2_norm,param_with_grad_count,status,zero_justification,batch_cases,t2_present_batch_fraction,target_voxel_count
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,loss_no_t2_edema_safety,0.0004558941873256117,True,0.0,927,PASS_ZERO_JUSTIFIED,"LEGITIMATE_SATURATED_NO_T2_SAFETY_BOUNDARY: no-T2 safety scalar is recorded, requires_grad is true, and zero local gradient reflects saturated near-zero edema outputs","Case1013,Case1025",0.0,2
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,loss_dictionary_entropy_coverage_load_balance,0.0023323651403188705,True,0.0016598258503266136,120,PASS,,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,loss_prototype_diversity_margin,0.4007968306541443,True,3.9229970124620865,881,PASS,,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,m6_expanded_total_loss,2.702373504638672,True,8.274766507600994,982,PASS,,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,anatomy_scale0_semantic_family_mass,0.8907150030136108,True,0.22155791284337714,22,PASS,,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,anatomy_scale1_semantic_family_mass,0.9900000691413879,True,5.851509086966449e-10,40,PASS,,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,anatomy_scale2_semantic_family_mass,0.9900000095367432,True,3.008774574597099e-10,58,PASS,,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,anatomy_scale3_semantic_family_mass,0.9900001287460327,True,5.752042515578861e-10,76,PASS,,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,edema_scale0_semantic_family_mass,0.0,True,0.0,22,PASS_ZERO_JUSTIFIED,DIAGNOSTIC_SEMANTIC_MASS_METRIC: logged gate mass can be locally flat; optimized semantic penalties are covered by semantic_retrieval_loss/loss_dictionary_entropy_coverage_load_balance,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,edema_scale1_semantic_family_mass,0.0,True,0.0,40,PASS_ZERO_JUSTIFIED,DIAGNOSTIC_SEMANTIC_MASS_METRIC: logged gate mass can be locally flat; optimized semantic penalties are covered by semantic_retrieval_loss/loss_dictionary_entropy_coverage_load_balance,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,edema_scale2_semantic_family_mass,0.0,True,0.0,58,PASS_ZERO_JUSTIFIED,DIAGNOSTIC_SEMANTIC_MASS_METRIC: logged gate mass can be locally flat; optimized semantic penalties are covered by semantic_retrieval_loss/loss_dictionary_entropy_coverage_load_balance,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,edema_scale3_semantic_family_mass,0.0,True,0.0,76,PASS_ZERO_JUSTIFIED,DIAGNOSTIC_SEMANTIC_MASS_METRIC: logged gate mass can be locally flat; optimized semantic penalties are covered by semantic_retrieval_loss/loss_dictionary_entropy_coverage_load_balance,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,scar_scale0_semantic_family_mass,0.6726895570755005,True,0.39919739540117294,22,PASS,,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,scar_scale1_semantic_family_mass,0.6701066493988037,True,0.5700142419357594,40,PASS,,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,scar_scale2_semantic_family_mass,0.6370302438735962,True,1.269577896136096,58,PASS,,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,scar_scale3_semantic_family_mass,0.688103437423706,True,1.3639757594113995,76,PASS,,"Case1013,Case1025",0.0,4922
