component,source_path,stage,step,value,variant
loss_scar_proposal,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,200,0.057377226650714874,m7_full_srr_context_arbitration
loss_edema_proposal_t2_present_only,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,200,-0.0,m7_full_srr_context_arbitration
loss_scar_refiner_roi,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,200,0.508701503276825,m7_full_srr_context_arbitration
loss_edema_refiner_t2_present_roi,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,200,-0.0,m7_full_srr_context_arbitration
loss_anchor_preservation_outside_roi,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,200,2.4198481696657836e-05,m7_full_srr_context_arbitration
loss_branch_arbitration_consistency,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,200,0.0,m7_full_srr_context_arbitration
loss_bounded_correction,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,200,3.997114658355713,m7_full_srr_context_arbitration
loss_component_remote_fp,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,200,0.12276522815227509,m7_full_srr_context_arbitration
loss_no_t2_edema_safety,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,200,0.0001350797392660752,m7_full_srr_context_arbitration
loss_dictionary_entropy_coverage_load_balance,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,200,0.001970516052097082,m7_full_srr_context_arbitration
loss_prototype_diversity_margin,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,200,0.16543085873126984,m7_full_srr_context_arbitration
m6_expanded_total_loss,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,200,1.2893604040145874,m7_full_srr_context_arbitration
