case_count,empty_prediction_count,empty_prediction_rate,gt_positive_cases,harm_count_vs_nnunet,help_count_vs_nnunet,mean_component_count,mean_dice,mean_hd95,mean_precision,mean_recall,mean_remote_fp_volume_mm3,mean_volume_ratio,no_t2_edema_predicted_voxels_sum,pathology,population,seed,source,source_prefix,variant
22,0,0.0,21,11,10,3.8181818181818183,0.4995347062264234,21.377004603427938,0.5251298485403206,0.5792013759162744,969.5929375230025,1.3681655626447098,0,scar,calibration,20260723,phase2_mirror_tta,tta_student_moddrop_control_seed20260723_epoch025_d8d22dc3,student_moddrop_control
22,0,0.0,22,13,9,3.0454545454545454,0.6247243393235009,11.9081321547463,0.6176290482338805,0.6777344809242724,569.7078294352197,1.2108442082126496,0,scar,audit,20260723,phase2_mirror_tta,tta_student_moddrop_control_seed20260723_epoch025_d8d22dc3,student_moddrop_control
7,0,0.0,7,5,2,2.0,0.5613652599170438,17.000446514406786,0.6272419873250191,0.6009496338309918,322.5446573325567,1.0996040004060723,0,scar,CenterB,20260723,phase2_mirror_tta,tta_student_moddrop_control_seed20260723_epoch025_d8d22dc3,student_moddrop_control
9,0,0.0,9,5,4,2.111111111111111,0.740908653615698,9.248322293732807,0.7783462472725078,0.7327981421227959,0.0,0.9845863329299996,0,scar,CenterC,20260723,phase2_mirror_tta,tta_student_moddrop_control_seed20260723_epoch025_d8d22dc3,student_moddrop_control
24,0,0.0,24,14,10,4.25,0.5144928291957732,19.916692531728412,0.48904324943847904,0.6073963301658929,1316.950177989708,1.5047446215695064,0,scar,lge_only,20260723,phase2_mirror_tta,tta_student_moddrop_control_seed20260723_epoch025_d8d22dc3,student_moddrop_control
4,0,0.0,3,0,3,4.0,0.44703409985979714,10.219119023493546,0.501961901445305,0.5646816115574059,0.0,0.8992244931121834,0,scar,lge_c0,20260723,phase2_mirror_tta,tta_student_moddrop_control_seed20260723_epoch025_d8d22dc3,student_moddrop_control
43,0,0.0,43,24,19,3.441860465116279,0.57520230237438,16.53246521107919,0.5846673425356377,0.6296136621994362,787.5492296065322,1.2876755673538887,0,scar,large_scar,20260723,phase2_mirror_tta,tta_student_moddrop_control_seed20260723_epoch025_d8d22dc3,student_moddrop_control
44,28,0.6363636363636364,16,13,3,2.159090909090909,0.3568323729277295,8.06557767188343,0.4034438918343631,0.425161539372757,1.4253867432625613,1.7784804928644589,0,edema,full44,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
16,0,0.0,16,13,3,5.9375,0.3568323729277295,22.18033859767943,0.4034438918343631,0.425161539372757,3.919813543972044,1.7784804928644589,0,edema,positive_gt,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
44,28,0.6363636363636364,16,13,3,2.159090909090909,0.3568323729277295,8.06557767188343,0.4034438918343631,0.425161539372757,1.4253867432625613,1.7784804928644589,0,edema,all_cases_empty_safe,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
16,0,0.0,16,13,3,5.9375,0.3568323729277295,22.18033859767943,0.4034438918343631,0.425161539372757,3.919813543972044,1.7784804928644589,0,edema,complete_trimodal,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
22,14,0.6363636363636364,8,6,2,1.8636363636363635,0.3375327179844141,7.63818761976525,0.33731263256438593,0.441371546643621,0.0,1.8741310539744245,0,edema,calibration,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
22,14,0.6363636363636364,8,7,1,2.4545454545454546,0.376132027871045,8.492967724001607,0.46957515110434017,0.40895153210189306,2.8507734865251226,1.6828299317544935,0,edema,audit,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
7,0,0.0,7,4,3,6.142857142857143,0.493660667097323,17.96244566677891,0.5388258987291796,0.5013752522144046,8.959573814793243,0.9847435889085843,0,edema,CenterB,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
9,0,0.0,9,9,0,5.777777777777778,0.2504103663513791,25.460921988379837,0.29814677536061684,0.3658842071625867,0.0,2.3958314181634726,0,edema,CenterC,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
24,24,1.0,0,0,0,0.0,,0.0,,,0.0,,0,edema,lge_only,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
4,4,1.0,0,0,0,0.0,,0.0,,,0.0,,0,edema,lge_c0,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
44,0,0.0,43,27,16,3.3181818181818183,0.5617668649340758,16.100822220248805,0.5443699507546901,0.6622983744258008,871.386989227653,1.4354410226447425,0,scar,full44,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
43,0,0.0,43,27,16,3.3488372093023258,0.5748312106302172,16.100822220248805,0.5570297170513108,0.6622983744258008,891.6518029306217,1.4354410226447425,0,scar,positive_gt,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
44,0,0.0,43,27,16,3.3181818181818183,0.5617668649340758,16.100822220248805,0.5443699507546901,0.6622983744258008,871.386989227653,1.4354410226447425,0,scar,all_cases_empty_safe,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
16,0,0.0,16,11,5,2.1875,0.6666479511406083,12.639663297211163,0.6913909014927868,0.6997514291756327,129.35384695107746,1.104998981969239,0,scar,complete_trimodal,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
22,0,0.0,21,12,9,3.8181818181818183,0.5023761103241752,20.916027964338348,0.5019610365993256,0.6098392244489316,1038.347422494694,1.517839724432763,0,scar,calibration,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
22,0,0.0,22,15,7,2.8181818181818183,0.6211576195439763,11.504489464526964,0.5867788649100546,0.7123730175855398,704.426555960612,1.3567877163925404,0,scar,audit,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
7,0,0.0,7,5,2,2.0,0.5684687714332366,16.75128544271561,0.6081397639725933,0.6208037431515886,295.66593588817705,1.1603947293466879,0,scar,CenterB,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
9,0,0.0,9,6,3,2.3333333333333335,0.7430095353574528,9.441734961818817,0.7561417862307152,0.7611551849721115,0.0,1.0619134006756679,0,scar,CenterC,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
24,0,0.0,24,16,8,3.9583333333333335,0.5109066500850679,19.239601831661446,0.4576187539288217,0.6464540095699474,1511.3069156166455,1.7113329581577708,0,scar,lge_only,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
4,0,0.0,3,0,3,4.0,0.44740380920199363,9.450099585148424,0.47679332875751335,0.5893036679401922,0.0,0.9906630888098661,0,scar,lge_c0,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
43,0,0.0,43,27,16,3.3488372093023258,0.5748312106302172,16.100822220248805,0.5570297170513108,0.6622983744258008,891.6518029306217,1.4354410226447425,0,scar,large_scar,20260723,phase2_mirror_tta,tta_student_reliable_distill_seed20260723_epoch025_36672249,student_reliable_distill
