edema_calibration_empty_prediction_count,edema_calibration_harm_count,edema_calibration_positive_gt_delta_vs_nnunet,edema_calibration_positive_gt_dice,edema_calibration_positive_gt_hd95,edema_calibration_remote_fp_volume_mm3,edema_margin,empty_prediction_count_total,harm_count_total,hd95_sum,mean_pathology_delta_vs_nnunet,minimum_pathology_delta_vs_nnunet,postprocess_id,remote_fp_sum,scar_calibration_empty_prediction_count,scar_calibration_harm_count,scar_calibration_positive_gt_delta_vs_nnunet,scar_calibration_positive_gt_dice,scar_calibration_positive_gt_hd95,scar_calibration_remote_fp_volume_mm3,scar_margin,temperature
0,2,0.03334449898084818,0.40281762403530824,,,0.0,0,15,0.0,-0.0017207417013672954,-0.03678598238358277,temp1.0_scar-0.25_edema0.0,0.0,0,13,-0.03678598238358277,0.4764862118908699,,,-0.25,1.0
0,2,0.03401780475729249,0.40349092981175255,,,0.25,0,15,0.0,-0.0021496624066542347,-0.03831712957060096,temp1.0_scar-0.25_edema0.25,0.0,0,13,-0.03831712957060096,0.47495506470385174,,,-0.25,1.0
0,2,0.029967686138344996,0.39944081119280506,,,-0.25,0,15,0.0,0.0006133262437322262,-0.028741033650880543,temp1.0_scar0.0_edema-0.25,0.0,0,13,-0.028741033650880543,0.48453116062357215,,,0.0,1.0
0,2,0.03206962304949129,0.40154274810395135,,,0.0,0,15,0.0,0.0009902356875448326,-0.030089151674401626,temp1.0_scar0.0_edema0.0,0.0,0,13,-0.030089151674401626,0.48318304260005107,,,0.0,1.0
0,2,0.033239171509717,0.40271229656417706,,,0.25,0,15,0.0,0.0007237616846987038,-0.031791648140319595,temp1.0_scar0.0_edema0.25,0.0,0,13,-0.031791648140319595,0.4814805461341331,,,0.0,1.0
0,2,0.0287889780201252,0.39826210307458526,,,-0.25,0,15,0.0,0.002116732423615958,-0.024555513172893284,temp1.0_scar0.25_edema-0.25,0.0,0,13,-0.024555513172893284,0.4887166811015594,,,0.25,1.0
0,2,0.03049320728578342,0.3999663323402435,,,0.0,0,15,0.0,0.0020357924226518387,-0.02642162244047974,temp1.0_scar0.25_edema0.0,0.0,0,13,-0.02642162244047974,0.48685057183397296,,,0.25,1.0
0,2,0.0320550906915234,0.40152821574598346,,,0.25,0,15,0.0,0.0021468319648504097,-0.027761426761822583,temp1.0_scar0.25_edema0.25,0.0,0,13,-0.027761426761822583,0.4855107675126301,,,0.25,1.0
0,3,0.02575595956288612,0.3952290846173462,,,-0.25,0,16,0.0,0.0038937859461498914,-0.01796838767058634,temp1.25_scar-0.25_edema-0.25,0.0,0,13,-0.01796838767058634,0.49530380660386636,,,-0.25,1.25
0,3,0.02645878727014539,0.39593191232460545,,,0.0,0,16,0.0,0.00395548574287044,-0.01854781578440451,temp1.25_scar-0.25_edema0.0,0.0,0,13,-0.01854781578440451,0.4947243784900482,,,-0.25,1.25
0,3,0.027566259922105707,0.39703938497656577,,,0.25,0,16,0.0,0.004050637323793904,-0.0194649852745179,temp1.25_scar-0.25_edema0.25,0.0,0,13,-0.0194649852745179,0.4938072089999348,,,-0.25,1.25
0,3,0.02535227545382318,0.39482540050828324,,,-0.25,0,15,0.0,0.0047664385397413744,-0.015819398374340432,temp1.25_scar0.0_edema-0.25,0.0,0,12,-0.015819398374340432,0.49745279590011227,,,0.0,1.25
0,3,0.025432916488384305,0.39490604154284437,,,0.0,0,16,0.0,0.004399660485323781,-0.016633595517736743,temp1.25_scar0.0_edema0.0,0.0,0,13,-0.016633595517736743,0.49663859875671595,,,0.0,1.25
0,3,0.026616956330084485,0.39609008138454455,,,0.25,0,16,0.0,0.0046910640941827675,-0.01723482814171895,temp1.25_scar0.0_edema0.25,0.0,0,13,-0.01723482814171895,0.49603736613273375,,,0.0,1.25
0,3,0.025003229836937813,0.3944763548913979,,,-0.25,0,15,0.0,0.005404602813872145,-0.014194024209193523,temp1.25_scar0.25_edema-0.25,0.0,0,12,-0.014194024209193523,0.4990781700652592,,,0.25,1.25
0,3,0.02503019754550051,0.39450332259996057,,,0.0,0,15,0.0,0.005196703135554703,-0.014636791274391103,temp1.25_scar0.25_edema0.0,0.0,0,12,-0.014636791274391103,0.4986354030000616,,,0.25,1.25
0,3,0.02561271411123789,0.39508583916569795,,,0.25,0,16,0.0,0.0050835824349206304,-0.015445549241396628,temp1.25_scar0.25_edema0.25,0.0,0,13,-0.015445549241396628,0.49782664503305607,,,0.25,1.25
