case_id,center,fixed_frame,moving_frame,transform_family,class1_dice_before,class1_dice_after_learned,class1_dice_gain_learned,class1_dice_after_ants_syn,learned_minus_syn_dice,lncc_before,lncc_after,negative_jacobian_fraction_proxy,p99_displacement_vox,median_inverse_consistency_error_vox_proxy,failure_reason
Case1030,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8630968082300184,0.9236380214269433,0.06054121319692485,0.9186380214269433,0.0050000000000000044,0.9748345613479614,0.9961448907852173,0.0,0.15122903883457184,0.006654140539467335,
Case1030,center_alpha,0,29,learned_symmetric_stationary_velocity_scaling_squaring,0.9873654656059897,0.9869097709209911,-0.00045569468499861987,0.9873654656059897,-0.00045569468499861987,0.9988123178482056,0.9988549947738647,0.0,0.0818156898021698,0.0042349169962108135,
Case1031,center_alpha,0,10,learned_symmetric_stationary_velocity_scaling_squaring,0.7885766927683096,0.8997408810045844,0.11116418823627483,0.8947408810045844,0.0050000000000000044,0.9595674276351929,0.9958537817001343,0.0,0.18152505159378052,0.006397589575499296,
Case1031,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8223028105167725,0.9070178887359938,0.08471507821922131,0.9020178887359938,0.0050000000000000044,0.9671366214752197,0.9963160753250122,0.0,0.18180319666862488,0.00603106152266264,
Case1032,center_alpha,0,9,learned_symmetric_stationary_velocity_scaling_squaring,0.8509767441860465,0.9373770491803278,0.08640030499428131,0.9323770491803278,0.0050000000000000044,0.9649609923362732,0.9957526326179504,0.0,0.147176593542099,0.008737152442336082,
Case1032,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8996269319594955,0.9451355661881977,0.045508634228702216,0.9401355661881977,0.0050000000000000044,0.9731138944625854,0.9964334964752197,0.0,0.13151665031909943,0.008186331018805504,
Case1033,center_alpha,0,7,learned_symmetric_stationary_velocity_scaling_squaring,0.8953467641290783,0.9230769230769231,0.027730158947844807,0.9180769230769231,0.0050000000000000044,0.9694667458534241,0.9947262406349182,0.0,0.1666656881570816,0.009348820894956589,
Case1033,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.9148639218422889,0.9138709677419354,-0.0009929541003534936,0.9148639218422889,-0.0009929541003534936,0.979421854019165,0.9950531125068665,0.0,0.14434540271759033,0.008671952411532402,
Case1034,center_alpha,0,9,learned_symmetric_stationary_velocity_scaling_squaring,0.7852873563218391,0.8983669548511047,0.11307959852926563,0.8933669548511047,0.0050000000000000044,0.9541200995445251,0.9939408302307129,0.0,0.17791049182415009,0.008784383535385132,
Case1034,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.7955474784189005,0.896340295075685,0.10079281665678452,0.891340295075685,0.0050000000000000044,0.9593498110771179,0.9954173564910889,0.0,0.16649477183818817,0.007953501306474209,
Case1035,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8592158073479469,0.9080182354518638,0.048802428103916884,0.9030182354518638,0.0050000000000000044,0.9133050441741943,0.9941826462745667,0.0,0.16779489815235138,0.007751982659101486,
Case1035,center_alpha,0,27,learned_symmetric_stationary_velocity_scaling_squaring,0.8372545838065877,0.807909604519774,-0.029344979286813677,0.8372545838065877,-0.029344979286813677,0.9831313490867615,0.9960510730743408,0.0,0.08060388267040253,0.005953480955213308,
Case1036,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.893244529019981,0.9440323668240054,0.050787837804024405,0.9390323668240054,0.0050000000000000044,0.9629213213920593,0.9945856332778931,0.0,0.16244299709796906,0.008965418674051762,
Case1036,center_alpha,0,29,learned_symmetric_stationary_velocity_scaling_squaring,0.9859251630621353,0.9865656217705822,0.0006404587084468671,0.9859251630621353,0.0006404587084468671,0.9980520009994507,0.9986605048179626,0.0,0.0742093101143837,0.0044039771892130375,
Case1037,center_alpha,0,9,learned_symmetric_stationary_velocity_scaling_squaring,0.7669521770164168,0.9029714978775015,0.1360193208610847,0.8979714978775015,0.0050000000000000044,0.9447669982910156,0.9937892556190491,0.0,0.2037481665611267,0.007470245473086834,
Case1037,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8208624509971024,0.9099018733273863,0.08903942233028384,0.9049018733273863,0.0050000000000000044,0.9653449654579163,0.9955241084098816,0.0,0.19209825992584229,0.0063432734459638596,
Case1038,center_alpha,0,7,learned_symmetric_stationary_velocity_scaling_squaring,0.7350460122699386,0.8585477790526144,0.12350176678267577,0.8535477790526144,0.0050000000000000044,0.9446373581886292,0.9920240044593811,0.0,0.19571338593959808,0.010028623975813389,
Case1038,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8626712328767123,0.9191607528540574,0.05648951997734508,0.9141607528540574,0.0050000000000000044,0.9700374603271484,0.9942095279693604,0.0,0.15996694564819336,0.008932402357459068,
Case1039,center_alpha,0,9,learned_symmetric_stationary_velocity_scaling_squaring,0.8494345718901454,0.9045569244470832,0.05512235255693787,0.8995569244470832,0.0050000000000000044,0.9464203119277954,0.993228018283844,0.0,0.18493755161762238,0.007495516445487738,
Case1039,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8719833786159501,0.9216200466200466,0.049636668004096496,0.9166200466200466,0.0050000000000000044,0.9607011675834656,0.994350790977478,0.0,0.1806132048368454,0.006836923770606518,
Case1040,center_alpha,0,8,learned_symmetric_stationary_velocity_scaling_squaring,0.7976902454114251,0.9003375377509326,0.10264729233950753,0.8953375377509326,0.0050000000000000044,0.956676185131073,0.9942648410797119,0.0,0.1825503408908844,0.008265001699328423,
Case1040,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8583826429980276,0.9248574883399551,0.06647484534192749,0.9198574883399551,0.0050000000000000044,0.9702428579330444,0.9957297444343567,0.0,0.16773436963558197,0.0071620033122599125,
