variant,case_id,intervention,pathology,final_logit_delta,changed_labels,dice,hd95_mm,lesion_recall,remote_fp,volume_ratio
A3,Case1044,disable_scar_head,mixed,53.34565734863281,1261,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1044,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1044,disable_scar_proposal,mixed,18.55484962463379,819,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1044,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1046,disable_scar_head,mixed,41.600440979003906,261,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1046,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1046,disable_scar_proposal,mixed,22.271427154541016,90,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1046,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1052,disable_scar_head,mixed,39.15018844604492,155,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1052,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1052,disable_scar_proposal,mixed,16.870201110839844,61,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1052,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1064,disable_scar_head,mixed,48.64703369140625,1741,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1064,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1064,disable_scar_proposal,mixed,17.807552337646484,425,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1064,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1066,disable_scar_head,mixed,59.7985725402832,1411,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1066,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1066,disable_scar_proposal,mixed,15.398571014404297,1014,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1066,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1068,disable_scar_head,mixed,69.1666259765625,1268,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1068,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1068,disable_scar_proposal,mixed,16.856571197509766,677,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1068,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1071,disable_scar_head,mixed,53.39080047607422,1546,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1071,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1071,disable_scar_proposal,mixed,17.002544403076172,609,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1071,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1079,disable_scar_head,mixed,42.71349334716797,2031,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1079,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1079,disable_scar_proposal,mixed,19.52288818359375,590,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1079,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1081,disable_scar_head,mixed,63.03949737548828,443,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1081,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1081,disable_scar_proposal,mixed,26.30591583251953,95,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1081,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2010,disable_scar_head,mixed,63.26813507080078,249,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2010,disable_edema_head,mixed,55.55297088623047,636,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2010,disable_scar_proposal,mixed,24.600982666015625,29,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2010,disable_edema_proposal,mixed,20.71650505065918,136,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2015,disable_scar_head,mixed,44.49525451660156,13,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2015,disable_edema_head,mixed,41.54043197631836,114,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2015,disable_scar_proposal,mixed,15.303213119506836,5,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2015,disable_edema_proposal,mixed,18.86900520324707,55,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2021,disable_scar_head,mixed,58.60509490966797,6,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2021,disable_edema_head,mixed,45.400794982910156,200,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2021,disable_scar_proposal,mixed,18.255565643310547,4,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2021,disable_edema_proposal,mixed,22.615562438964844,100,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2024,disable_scar_head,mixed,56.636173248291016,128,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2024,disable_edema_head,mixed,54.25135040283203,544,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2024,disable_scar_proposal,mixed,21.112957000732422,49,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2024,disable_edema_proposal,mixed,24.40806007385254,160,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2027,disable_scar_head,mixed,46.9920539855957,106,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2027,disable_edema_head,mixed,48.227474212646484,451,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2027,disable_scar_proposal,mixed,22.730304718017578,40,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case2027,disable_edema_proposal,mixed,22.13007926940918,124,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case3008,disable_scar_head,mixed,71.34432983398438,260,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case3008,disable_edema_head,mixed,50.15375900268555,113,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case3008,disable_scar_proposal,mixed,16.458723068237305,40,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case3008,disable_edema_proposal,mixed,17.468589782714844,58,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case3009,disable_scar_head,mixed,47.88301086425781,224,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case3009,disable_edema_head,mixed,42.298545837402344,352,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case3009,disable_scar_proposal,mixed,19.429031372070312,75,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case3009,disable_edema_proposal,mixed,20.197338104248047,139,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case5006,disable_scar_head,mixed,49.10673522949219,228,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case5006,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case5006,disable_scar_proposal,mixed,15.822547912597656,45,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case5006,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case6003,disable_scar_head,mixed,42.59517288208008,181,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case6003,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case6003,disable_scar_proposal,mixed,16.725570678710938,71,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case6003,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case6009,disable_scar_head,mixed,44.95176696777344,218,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case6009,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case6009,disable_scar_proposal,mixed,21.1910400390625,106,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case6009,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case7001,disable_scar_head,mixed,41.93104553222656,6,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case7001,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case7001,disable_scar_proposal,mixed,19.50107192993164,4,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case7001,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case7002,disable_scar_head,mixed,52.3564338684082,58,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case7002,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case7002,disable_scar_proposal,mixed,22.073917388916016,28,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case7002,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8001,disable_scar_head,mixed,69.0367431640625,555,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8001,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8001,disable_scar_proposal,mixed,15.234395980834961,105,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8001,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8012,disable_scar_head,mixed,83.28144073486328,523,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8012,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8012,disable_scar_proposal,mixed,15.486286163330078,109,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8012,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8014,disable_scar_head,mixed,58.464080810546875,147,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8014,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8014,disable_scar_proposal,mixed,19.72128677368164,34,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8014,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8016,disable_scar_head,mixed,61.72980499267578,100,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8016,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8016,disable_scar_proposal,mixed,17.48863983154297,16,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8016,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8030,disable_scar_head,mixed,48.09592056274414,522,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8030,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8030,disable_scar_proposal,mixed,15.635171890258789,59,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8030,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8035,disable_scar_head,mixed,77.70783233642578,1121,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8035,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8035,disable_scar_proposal,mixed,16.694747924804688,199,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case8035,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
