case_id,center,class_id,component_count,dice,formal_variant,gt_empty,hd,hd95,invalid_label_values,metric_name,modality_group,pred_empty,pred_gt_volume_ratio,remote_fp_count,script_alias,small_fp_count,source_path,t2_present,variant
Case1023,CenterA,5,9,0.6297491039426524,anchored_srr_v25_full,False,175.9435659578306,13.124799728393555,,myops_scar,LGE-only,False,1.3445378151260505,4,srr_propref_shared_dual_dict,6,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1023,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1023,CenterA,5,30,0.5433164632331051,anchored_srr_v25_full,False,181.48590202251947,138.88637790899125,,myops_scar,LGE-only,False,1.822689075630252,21,srr_propref_shared_dual_dict,23,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1029,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1029,CenterA,5,16,0.15133665609424557,anchored_srr_v25_full,False,115.8326787062729,56.14539338753119,,myops_scar,LGE-only,False,10.317948717948719,11,srr_propref_shared_dual_dict,14,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1029,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1029,CenterA,5,48,0.11363636363636363,anchored_srr_v25_full,False,148.20406651566586,93.45119089316468,,myops_scar,LGE-only,False,14.794871794871796,42,srr_propref_shared_dual_dict,35,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1033,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1033,CenterA,5,5,0.6678828612578013,anchored_srr_v25_full,False,20.745584658814717,6.802236660811344,,myops_scar,LGE-only,False,1.5520705709384954,0,srr_propref_shared_dual_dict,3,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1033,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1033,CenterA,5,16,0.5999512234777661,anchored_srr_v25_full,False,172.2396330133484,10.372792329407359,,myops_scar,LGE-only,False,2.014212202891448,14,srr_propref_shared_dual_dict,13,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1040,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1040,CenterA,5,8,0.4803767660910518,anchored_srr_v25_full,False,120.72158317385859,9.437855846417547,,myops_scar,LGE-only,False,1.649260628465804,1,srr_propref_shared_dual_dict,4,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1040,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1040,CenterA,5,21,0.39468249870934435,anchored_srr_v25_full,False,139.82019859974017,103.4544783869932,,myops_scar,LGE-only,False,2.5804066543438076,12,srr_propref_shared_dual_dict,15,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1042,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1042,CenterA,5,8,0.6654929577464789,anchored_srr_v25_full,False,34.18000042438507,8.203200101852417,,myops_scar,LGE-only,False,0.8807947019867549,0,srr_propref_shared_dual_dict,3,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
