case_id,center,checkpoint_name,class_id,formal_variant,gt_voxels,lesion_wise_recall,memory_negative_similarity_mean,metric_name,modality_group,neg_similarity_mean,outside_myocardium_fp_ratio,pos_similarity_mean,proposal_component_count,proposal_gate_mean,proposal_gate_p95,proposal_precision,proposal_recall,proposal_remote_fp_count,proposal_small_fp_count,proposal_threshold,proposal_voxels,script_alias,source_path,t2_present,variant
Case1007,CenterA,checkpoint_best,5,anchored_srr_v25_full,2509,0.6666666666666666,0.4200335443019867,myops_scar,LGE-only,0.4201699495315552,0.4377172123650997,0.1467779129743576,37,0.004574492108076811,0.00014870143786538392,0.20513993049204315,0.8939816660023914,23,22,0.05,10934,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,5,anchored_srr_v25_full,2509,0.6666666666666666,0.4200335443019867,myops_scar,LGE-only,0.4201699495315552,0.40166233766233767,0.1467779129743576,37,0.004574492108076811,0.00014870143786538392,0.2298181818181818,0.8816261458748506,21,27,0.1,9625,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,5,anchored_srr_v25_full,2509,0.6666666666666666,0.4200335443019867,myops_scar,LGE-only,0.4201699495315552,0.3546192408689425,0.1467779129743576,30,0.004574492108076811,0.00014870143786538392,0.2610408211983767,0.871662016739737,11,22,0.2,8378,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,5,anchored_srr_v25_full,2509,0.5555555555555556,0.4200335443019867,myops_scar,LGE-only,0.4201699495315552,0.3276375404530744,0.1467779129743576,34,0.004574492108076811,0.00014870143786538392,0.2807766990291262,0.8644878437624551,13,25,0.3,7725,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,5,anchored_srr_v25_full,2509,0.5555555555555556,0.4200335443019867,myops_scar,LGE-only,0.4201699495315552,0.3020124913254684,0.1467779129743576,31,0.004574492108076811,0.00014870143786538392,0.29895905621096464,0.858509366281387,11,23,0.4,7205,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,5,anchored_srr_v25_full,2509,0.5555555555555556,0.4200335443019867,myops_scar,LGE-only,0.4201699495315552,0.2777777777777778,0.1467779129743576,30,0.004574492108076811,0.00014870143786538392,0.3157037037037037,0.8493423674770825,11,21,0.5,6750,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,5,anchored_srr_v25_full,2509,0.5555555555555556,0.4200335443019867,myops_scar,LGE-only,0.4201699495315552,0.25231736056559306,0.1467779129743576,29,0.004574492108076811,0.00014870143786538392,0.3329143754909662,0.844559585492228,11,20,0.6,6365,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,5,anchored_srr_v25_full,2509,0.5555555555555556,0.4200335443019867,myops_scar,LGE-only,0.4201699495315552,0.22581185135587545,0.1467779129743576,26,0.004574492108076811,0.00014870143786538392,0.35219283562102444,0.8385811080111598,10,17,0.7,5974,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,5,anchored_srr_v25_full,2509,0.5555555555555556,0.4200335443019867,myops_scar,LGE-only,0.4201699495315552,0.19047619047619047,0.1467779129743576,19,0.004574492108076811,0.00014870143786538392,0.37731733914940024,0.8274212833798326,7,15,0.8,5502,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
Case1007,CenterA,checkpoint_best,5,anchored_srr_v25_full,2509,0.5555555555555556,0.4200335443019867,myops_scar,LGE-only,0.4201699495315552,0.1516492357200322,0.1467779129743576,15,0.004574492108076811,0.00014870143786538392,0.41090104585679804,0.8142686329214827,4,11,0.9,4972,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/proposal_pr_sweep_checkpoint_best.csv,False,srr_propref_shared_dual_dict
