anchor_present_batch_fraction,batch_cases,component_present_batch_fraction,edema_proposal_loss,edema_supervised_batch_fraction,elapsed_seconds,evidence_loss,final_loss,formal_variant,loss,proposal_margin_loss,proposal_weight,refine_weight,roi_cover_loss,roi_remote_loss,scar_proposal_loss,script_alias,source_path,stage,step,variant
1.0,"Case1039,Case3001",1.0,0.4822973608970642,0.5,196.42899196600774,1.4358046054840088,1.434828758239746,anchored_srr_v25_full,1.4358046054840088,0.2403588742017746,0.0,0.0,0.35346680879592896,0.004816588945686817,0.2744978070259094,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1350,srr_propref_shared_dual_dict
1.0,"Case3010,Case3035",0.5,0.6078317165374756,1.0,203.57106243699673,1.464821219444275,1.4631208181381226,anchored_srr_v25_full,1.464821219444275,0.2233850657939911,0.0,0.0,0.5214340090751648,0.006344410590827465,0.5540494918823242,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1400,srr_propref_shared_dual_dict
1.0,"Case1015,Case3032",1.0,0.32216477394104004,0.5,210.83022767299553,1.1751506328582764,1.1718829870224,anchored_srr_v25_full,1.1751506328582764,0.23447337746620178,0.0,0.0,0.3819538354873657,0.00543765677139163,0.42545971274375916,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1450,srr_propref_shared_dual_dict
1.0,"Case1034,Case3005",1.0,0.4369349479675293,0.5,218.05261094498564,1.4908372163772583,1.4939215183258057,anchored_srr_v25_full,1.4908372163772583,0.24867355823516846,0.0,0.0,0.40783101320266724,0.008526771329343319,0.4683997631072998,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1500,srr_propref_shared_dual_dict
0.5,"Case2029,Case2021",0.5,0.17258058488368988,0.5,225.16344423498958,1.1705080270767212,1.167970895767212,anchored_srr_v25_full,1.1705080270767212,0.22459754347801208,0.0,0.0,0.30431219935417175,0.005803174339234829,0.3295341730117798,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1550,srr_propref_shared_dual_dict
1.0,"Case2012,Case3030",1.0,0.33987826108932495,1.0,232.3053100850084,0.9346596598625183,0.9281260371208191,anchored_srr_v25_full,0.9346596598625183,0.22270998358726501,0.0,0.0,0.39292579889297485,0.0033372496254742146,0.25818270444869995,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1600,srr_propref_shared_dual_dict
0.5,"Case2015,Case3005",0.5,0.17609302699565887,0.5,239.4191993199929,1.0926412343978882,1.0907320976257324,anchored_srr_v25_full,1.0926412343978882,0.22408947348594666,0.0,0.0,0.30838561058044434,0.00433330237865448,0.4080049395561218,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1650,srr_propref_shared_dual_dict
1.0,"Case3025,Case7004",1.0,0.3004192113876343,0.5,246.55333461301052,1.5606588125228882,1.5567537546157837,anchored_srr_v25_full,1.5606588125228882,0.22868287563323975,0.0,0.0,0.3240358233451843,0.004826182499527931,0.29444563388824463,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1700,srr_propref_shared_dual_dict
1.0,"Case1016,Case3005",0.5,0.48913443088531494,0.5,253.70656898000743,1.0633734464645386,1.064098596572876,anchored_srr_v25_full,1.0633734464645386,0.2175765037536621,0.0,0.0,0.4392625391483307,0.005900425836443901,0.5002286434173584,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1750,srr_propref_shared_dual_dict
1.0,"Case2029,Case1017",1.0,0.14475469291210175,0.5,260.7637384510017,1.1467021703720093,1.1424946784973145,anchored_srr_v25_full,1.1467021703720093,0.22407950460910797,0.0,0.0,0.2779761552810669,0.0076774051412940025,0.17718859016895294,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1800,srr_propref_shared_dual_dict
