case_id,population,model,t2_present,two_pass_full_volume_candidate_pipeline,pass1_aggregates_patch_final_labels,pass1_runs_component_decision,pass2_refines_each_candidate,component_utility_calls,candidate_count,accepted_candidates,rejected_candidates,changed_voxels_vs_anchor,scar_changed_voxels_vs_anchor,edema_zone_changed_voxels_vs_anchor,prediction_sha256
Case3034,fold0_outer44,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,103,103,1,102,12,12,0,0b1e7ea8d215a8df763350ac73698bec8dbeca1029065adedb415d2549cc395e
Case3038,fold0_outer44,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,102,102,0,102,0,0,0,6f6425cb380599a6ca6598acbc5b57d3d53db4ec8dfd6b54bcfe1f957311b25d
Case3040,fold0_outer44,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,96,96,0,96,0,0,0,83e7739f667d3f860055af1baf4297af8142e9dde58a54b8307c70da2883d016
Case3044,fold0_outer44,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,123,123,0,123,0,0,0,bce60f39bd2b7980977b2e7d20451988333a1d14fa3bca79bd13f34c27869e39
Case5005,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,59,59,0,59,0,0,0,9f59ec5000229fb0c117205b30cd8f1b79cb0dfed6f3adb05e79e851e386ead6
Case6001,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,67,67,0,67,0,0,0,89ad4bc4a57a899600f1156bb1ca7895fe0d3720e8e3d45297d52b450a7362f5
Case6010,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,70,70,0,70,0,0,0,f5e7082a2d9f0d0d0cccf9775642794c11be7c9aa42eeb41865dfc4c76b6eb26
Case7005,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,5,5,0,5,0,0,0,b616597db2aee4a87cd0c5afaa3e70c5ece5a0c117969b14d62f1c1c657db7b7
Case8003,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,60,60,0,60,0,0,0,bbccef274e276370b00ed744b0a4d08ef958a32794c74e7119d65fe30fc25ba3
Case8011,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,10,10,0,10,0,0,0,9b1f67f4a84c2aeaa3ccbf6b29d0cf1e55511a13692e550bbf84f9608248f71f
Case8015,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,36,36,0,36,0,0,0,1986050078f00ee653b5911f0d7e315a7d09486a639acff6c494d33b5457f360
Case8019,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,18,18,0,18,0,0,0,e3ec735fb49324d6270398fef34e84f9de5d98a9b33c3a930c4c5ba05d690a05
Case8021,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,0,0,0,0,0,0,0,ae01a666de6806270fcaa99542bf04a64119c6fddadc4362190c07dae3de66ce
Case8022,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,48,48,0,48,0,0,0,2e10a8377eb205cfb037d9b8a272af07dbd0caec8ba0052b21b5b6b1fcda0ba7
Case8023,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,71,71,0,71,0,0,0,4da83295fcce28f5873e486a72579ca69b21bff4fce4cee7690442c7c8bbfb81
Case2002,fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,110,110,0,110,0,0,0,cd56e05d174e7a3386d203cfbad20eae33ac99a9526b2842cfdb7fd0b91ffdf3
Case2007,fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,215,215,0,215,0,0,0,86451a5f06d37dcb91cf38f09cfc520d5d24067b7ceebc9c943c37edb3b2ef48
Case2008,fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,103,103,3,100,30,30,0,d0c2dcae9e77e89f3a049c33067578fa13d9e80985264698fc024825df62a982
Case2017,fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,133,133,0,133,0,0,0,32ef185fd1a8e2e2f9765b70a7afeb91f74b9023d9dfc9f6b80f3ca6555a787a
Case2020,fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,76,76,0,76,0,0,0,f11a6c5615dc3be3d14d3bde203e68adbe28eced839db3a6fa1cbc7fe34a5d45
Case2031,fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,68,68,1,67,9,9,4,51c13bdf038b3a93b2b7dab91ae685f386a76f7df00f591c03769f2e55fe6d97
Case2033,fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,80,80,0,80,0,0,0,1cc0055fc43b6fd30b6275d346fed05aed904cb78197293690775d8db48d5468
Case3004,fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,119,119,1,118,10,10,0,0b95ddc41907bec07bb0aacaafe211ffbd2b76096cf86ef390dff54066f26fb5
Case3011,fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,117,117,0,117,0,0,0,fd55b5f740e55875ebb288816c15e6d565c5876cff93f483c93aade62eba60fa
Case3012,fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,124,124,0,124,0,0,0,c35feaeca31040c08781e36d5b9cd802309e2a70b237fb33dfa430db2bedff00
Case3023,fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,109,109,0,109,0,0,0,4bb8b1c62da45cb1c164c77240d8aaa1be9bd76569fe2eea2f528e97f5311ff5
Case3026,fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,132,132,0,132,0,0,0,49bfe8c846eec3342b0440be34222b98dff1d683502020c69c3025edf427c4ef
Case3034,fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,103,103,1,102,12,12,0,0b1e7ea8d215a8df763350ac73698bec8dbeca1029065adedb415d2549cc395e
Case3038,fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,102,102,0,102,0,0,0,6f6425cb380599a6ca6598acbc5b57d3d53db4ec8dfd6b54bcfe1f957311b25d
Case3040,fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,96,96,0,96,0,0,0,83e7739f667d3f860055af1baf4297af8142e9dde58a54b8307c70da2883d016
Case3044,fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,123,123,0,123,0,0,0,bce60f39bd2b7980977b2e7d20451988333a1d14fa3bca79bd13f34c27869e39
