lane,fold,checkpoint_step,pathology,case_count,dice_mean,hd95_vox_mean,exact_hd_vox_mean,precision_mean,sensitivity_mean,lesion_recall_mean,small_lesion_recall_mean,remote_fp_count_sum,remote_fp_voxels_sum,blood_pool_adjacent_fp_count_sum,blood_pool_adjacent_fp_voxels_sum,pred_component_count_sum,gt_component_count_sum,volume_ratio_mean
m1_myopsnet_l_care,2+3,500,pure_edema,26,0.056248241637797326,20.950580974520165,27.091389500488358,0.26345571506794385,0.03576242288811316,0.11088396897220426,0.013333333333333332,20,467,131,3076,297,260,0.09555419195068192
m1_myopsnet_l_care,2+3,1000,scar,26,0.310957851962192,14.61567537339679,19.691425401235378,0.49972195911726114,0.30395172160881784,0.8653846153846154,0.0,12,1228,162,20558,94,33,0.5888218632135745
m1_myopsnet_l_care,2+3,1000,pure_edema,26,0.0967769401889912,20.628173572503652,27.035221093394604,0.1445156004633915,0.11355719656995343,0.13733570351217408,0.09458333333333332,10,164,96,16579,39,260,0.3144697301797852
m1_myopsnet_l_care,2+3,1500,scar,26,0.33713740254937485,16.9132647788284,22.89796117630709,0.5298694593526646,0.3444740079553841,0.8846153846153846,1.0,9,2343,152,22973,96,33,0.6893270118727544
m1_myopsnet_l_care,2+3,1500,pure_edema,26,0.06917328004776334,22.276334138279637,29.24451255229767,0.20373908565281354,0.04750164346562945,0.07898351648351648,0.013333333333333332,10,103,52,3225,93,260,0.10703547192781035
m1_myopsnet_l_care,2+3,2000,scar,26,0.4403063851012814,13.509728617854682,22.25004917599956,0.44937808545137925,0.5572086499956973,0.8653846153846154,0.0,19,1779,205,57619,61,33,1.4221357997652926
m1_myopsnet_l_care,2+3,2000,pure_edema,26,0.14022139376707116,20.064568672850505,27.005947273294822,0.21787089590163716,0.13557297976623636,0.1758107088989442,0.03777777777777778,20,586,179,15309,193,260,0.42506137011951267
m1_myopsnet_l_care,2+3,2500,scar,26,0.420670869004847,10.719235222541599,17.621545188818036,0.5774732681949992,0.4278124776179388,0.8461538461538461,1.0,7,457,175,22280,50,33,0.7353524766230705
m1_myopsnet_l_care,2+3,2500,pure_edema,26,0.11575594283473022,18.320833789563245,24.687320379322777,0.2367419944634484,0.0956811282498598,0.17375026933850463,0.057777777777777775,8,370,108,11168,87,260,0.25852691888208706
m1_myopsnet_l_care,2+3,3000,scar,26,0.35298440549432636,14.051175217364063,21.895229623507543,0.4992332197081036,0.35707731757254463,0.7884615384615384,0.0,14,690,129,19617,69,33,0.6775778126576154
m1_myopsnet_l_care,2+3,3000,pure_edema,26,0.16581223708908513,25.023370230585694,35.106644784738194,0.2109184515656302,0.20327604805235014,0.26605796164619694,0.14866666666666667,32,6545,197,29843,142,260,0.9716307814630765
m1_myopsnet_l_care,2+3,3500,scar,26,0.44416317584360865,14.862614355333763,22.09820581025754,0.5040713074999935,0.5268110522934941,0.9230769230769231,1.0,17,1960,221,49806,73,33,1.2673564926845513
