method,transform_family,case_id,center,fixed_frame,moving_frame,available_nonreference_prediction_frames,requested_pairs_per_case,pair_limit_reason,before_myocardium_dice,after_myocardium_dice,before_lv_dice,after_lv_dice,before_myocardium_hd95,after_myocardium_hd95,before_lv_hd95,after_lv_hd95,image_ncc_before,image_ncc_after,displacement_mean,displacement_p95,displacement_max,jacobian_fold_voxels,registration_metric,iterations,runtime_seconds,failure_reason,m7_continued_decision,module_available
ANTsPy_SyNOnly,SyNOnly_dense_displacement,Case1004,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.774356896900952,0.774356896900952,0.8561840843720039,0.8561840843720039,3.695164203643799,3.695164203643799,5.8425750732421875,5.8425750732421875,0.9691667251591927,EVIDENCE_NOT_FOUND,,,,,,25,0.3107303929864429,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
frame0_identity_control,identity_reference_control,Case1005,center_alpha,0,8,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999999,EVIDENCE_NOT_FOUND,,,,,,,0.0,reference-frame control row; not a non-reference registration method,NOT_USABLE_REFERENCE_CONTROL,
SimpleITK_Demons,dense_displacement,Case1005,center_alpha,0,8,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.5731372475269869,0.44991789819376027,0.6689586447433981,0.7906673699233657,7.482144832611084,7.3314772844314575,11.50854034423828,8.374700546264648,0.9126147105971412,EVIDENCE_NOT_FOUND,3.8022208213806152,10.0518057346344,27.474510192871094,71740,0.005410492809370742,40,0.8788384440122172,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
ANTsPy_SyNOnly,SyNOnly_dense_displacement,Case1005,center_alpha,0,8,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.5731372475269869,0.5731372475269869,0.6689586447433981,0.6689586447433981,7.482144832611084,7.482144832611084,11.50854034423828,11.50854034423828,0.9126147105971412,EVIDENCE_NOT_FOUND,,,,,,25,0.3471825020387769,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
frame0_identity_control,identity_reference_control,Case1005,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999999,EVIDENCE_NOT_FOUND,,,,,,,0.0,reference-frame control row; not a non-reference registration method,NOT_USABLE_REFERENCE_CONTROL,
SimpleITK_Demons,dense_displacement,Case1005,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.6602484237550497,0.8365700627427547,0.7581042742198038,0.9495592919043034,5.8425750732421875,2.6128790378570557,7.482144832611084,3.5055389404296875,0.9555163104572287,EVIDENCE_NOT_FOUND,1.1336102485656738,3.3927695751190186,17.962434768676758,14587,0.0004204225689649201,40,0.8791902189841494,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
ANTsPy_SyNOnly,SyNOnly_dense_displacement,Case1005,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.6602484237550497,0.6602484237550497,0.7581042742198038,0.7581042742198038,5.8425750732421875,5.8425750732421875,7.482144832611084,7.482144832611084,0.9555163104572287,EVIDENCE_NOT_FOUND,,,,,,25,0.3359406149829738,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
frame0_identity_control,identity_reference_control,Case1006,center_alpha,0,9,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0000000000000002,EVIDENCE_NOT_FOUND,,,,,,,0.0,reference-frame control row; not a non-reference registration method,NOT_USABLE_REFERENCE_CONTROL,
SimpleITK_Demons,dense_displacement,Case1006,center_alpha,0,9,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.5357664233576642,0.4555035482409784,0.7230637128627855,0.6945509309967142,8.179611206054688,7.331473350524902,11.685150146484375,9.682934570312456,0.8974645642461834,EVIDENCE_NOT_FOUND,2.7634711265563965,6.597156739234924,14.983654975891113,48158,0.0022047062321947732,40,0.8898968779831193,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
ANTsPy_SyNOnly,SyNOnly_dense_displacement,Case1006,center_alpha,0,9,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.5357664233576642,0.5809276061163632,0.7230637128627855,0.7554901895243507,8.179611206054688,7.838623523712158,11.685150146484375,11.023756980895996,0.8974645642461834,EVIDENCE_NOT_FOUND,,,,,,25,0.7874177169869654,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
frame0_identity_control,identity_reference_control,Case1006,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0000000000000002,EVIDENCE_NOT_FOUND,,,,,,,0.0,reference-frame control row; not a non-reference registration method,NOT_USABLE_REFERENCE_CONTROL,
SimpleITK_Demons,dense_displacement,Case1006,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.6247833895207788,0.687614360527478,0.7838945539198007,0.8693493202531263,6.850071430206299,5.8425750732421875,7.482144832611084,6.43907356262207,0.9371735853596608,EVIDENCE_NOT_FOUND,2.0314624309539795,5.345851731300341,19.704811096191406,36620,0.0004573988864496029,40,0.8697279470507056,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
ANTsPy_SyNOnly,SyNOnly_dense_displacement,Case1006,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.6247833895207788,0.6610411445611141,0.7838945539198007,0.8191874880793439,6.850071430206299,6.813551902770996,7.482144832611084,7.331475067138672,0.9371735853596608,EVIDENCE_NOT_FOUND,,,,,,25,0.7645516920019872,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
frame0_identity_control,identity_reference_control,Case1007,center_alpha,0,10,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,EVIDENCE_NOT_FOUND,,,,,,,0.0,reference-frame control row; not a non-reference registration method,NOT_USABLE_REFERENCE_CONTROL,
SimpleITK_Demons,dense_displacement,Case1007,center_alpha,0,10,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.5146070741453308,0.600796812749004,0.6006069402295817,0.6834046295926118,8.179603576660156,8.179603576660156,13.064394807815551,12.0,0.9265309016345603,EVIDENCE_NOT_FOUND,1.7769169807434082,5.033424448966979,17.520048141479492,21160,0.0016068261317564744,40,0.8921927539631724,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
ANTsPy_SyNOnly,SyNOnly_dense_displacement,Case1007,center_alpha,0,10,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.5146070741453308,0.524628059984589,0.6006069402295817,0.6165348170042597,8.179603576660156,7.956664800643921,13.064394807815551,13.007559967041026,0.9265309016345603,EVIDENCE_NOT_FOUND,,,,,,25,0.8639120690058917,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
frame0_identity_control,identity_reference_control,Case1007,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,EVIDENCE_NOT_FOUND,,,,,,,0.0,reference-frame control row; not a non-reference registration method,NOT_USABLE_REFERENCE_CONTROL,
