variant,class_id,metric_name,group,n,dice_mean,hd_mean,hd95_mean,component_count_mean,remote_fp_mean,empty_prediction_rate,source_variant,ablation_id
best_srr_recovered,5,myops_scar,t2_present,16,0.1385877891808992,139.41144918381076,99.32991536108268,15.375,10.3125,0.125,srr_expert_dropout,B1
best_srr_recovered,5,myops_scar,complete_modality,16,0.1385877891808992,139.41144918381076,99.32991536108268,15.375,10.3125,0.125,srr_expert_dropout,B1
best_srr_recovered,5,myops_scar,CenterB,7,0.14407367197333826,123.0246499336832,100.48987321639522,15.428571428571429,8.857142857142858,0.0,srr_expert_dropout,B1
best_srr_recovered,5,myops_scar,CenterC,9,0.1343209914534466,155.7982484339383,98.16995750577013,15.333333333333334,11.444444444444445,0.2222222222222222,srr_expert_dropout,B1
best_srr_recovered,5,myops_scar,C0+LGE,4,0.1099650539326553,162.58460856522987,117.14234765448681,70.75,54.5,0.0,srr_expert_dropout,B1
best_srr_recovered,5,myops_scar,LGE-only,24,0.058514868944216446,180.85503435216,144.42717094689996,148.375,115.375,0.0,srr_expert_dropout,B1
best_srr_recovered,5,myops_scar,no_T2_empty_GT,1,0.0,,,51.0,51.0,0.0,srr_expert_dropout,B1
late_fusion_no_dictionary,4,myops_edema,all_cases,44,0.044599017830267,164.89880561897195,116.9968189980338,60.36363636363637,52.29545454545455,0.18181818181818182,late_fusion_no_dictionary,B2
late_fusion_no_dictionary,4,myops_edema,gt_positive_only,16,0.06014729903323426,183.22089513219106,129.99646555337088,87.625,65.4375,0.4375,late_fusion_no_dictionary,B2
late_fusion_no_dictionary,4,myops_edema,t2_present,16,0.06014729903323426,183.22089513219106,129.99646555337088,87.625,65.4375,0.4375,late_fusion_no_dictionary,B2
late_fusion_no_dictionary,4,myops_edema,complete_modality,16,0.06014729903323426,183.22089513219106,129.99646555337088,87.625,65.4375,0.4375,late_fusion_no_dictionary,B2
