case_id,center,stage_id,stage_name,evidence_source,checkpoint_scope,edema_reliable,prediction_voxels_myo,prediction_voxels_lv,prediction_voxels_rv,prediction_voxels_pure_edema,prediction_voxels_scar,notes,myo_dice,lv_dice,rv_dice,pure_edema_dice,scar_dice,lesion_union_dice
Case1053,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,4989,2810,3064,13871,994,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.07139255823333669,0.21055468707886368,0.0,,0.11735941320293398,0.053154058808745915
Case1062,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,8858,372,4686,68875,9901,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.17986417880925695,0.008411393614987574,0.0,,0.18349627401381008,0.0973629374146727
Case1062,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,8858,372,4686,68875,9901,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.17986417880925695,0.008411393614987574,0.0,,0.18349627401381008,0.0973629374146727
Case1070,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,8316,538,925,38198,4113,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.1281078325876423,0.012725948906264838,0.0,,0.402416918429003,0.09348922308001249
Case1070,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,8316,538,925,38198,4113,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.1281078325876423,0.012725948906264838,0.0,,0.402416918429003,0.09348922308001249
Case1073,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,3274,4128,1911,10491,2793,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.350597609561753,0.4766701229447489,0.0,,0.11658653846153846,0.12659045404637345
Case1073,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,3274,4128,1911,10491,2793,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.350597609561753,0.4766701229447489,0.0,,0.11658653846153846,0.12659045404637345
Case1080,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,2242,237,2900,15005,1738,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.05232903865213082,0.03072664359861592,0.0,,0.1005765534913517,0.07381254482264026
Case1080,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,2242,237,2900,15005,1738,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.05232903865213082,0.03072664359861592,0.0,,0.1005765534913517,0.07381254482264026
Case2002,CenterB,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,1,4308,4464,6206,4463,1142,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.4247787610619469,0.6406937287922584,0.5987085847358949,0.44604893702366627,0.7485981308411215,0.5788543507641127
Case2002,CenterB,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,1,4308,4464,6206,4463,1142,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.4247787610619469,0.6406937287922584,0.5987085847358949,0.44604893702366627,0.7485981308411215,0.5788543507641127
Case2007,CenterB,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,1,992,1840,1142,2459,1138,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.5570824524312896,0.8001776198934281,0.8168514412416852,0.5136444784493751,0.5997541990987301,0.7312165985539139
Case2007,CenterB,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,1,992,1840,1142,2459,1138,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.5570824524312896,0.8001776198934281,0.8168514412416852,0.5136444784493751,0.5997541990987301,0.7312165985539139
Case2008,CenterB,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,1,3483,3383,4311,1186,1199,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.391838351822504,0.9247644059941295,0.919903498190591,0.2998538316976404,0.7747178329571106,0.5596801827527127
Case2008,CenterB,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,1,3483,3383,4311,1186,1199,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.391838351822504,0.9247644059941295,0.919903498190591,0.2998538316976404,0.7747178329571106,0.5596801827527127
Case2017,CenterB,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,1,2715,4858,3404,3590,822,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.5897478710970112,0.8716434964768616,0.7049139436268396,0.3809687984830202,0.6924019607843137,0.5424458495896677
Case2017,CenterB,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,1,2715,4858,3404,3590,822,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.5897478710970112,0.8716434964768616,0.7049139436268396,0.3809687984830202,0.6924019607843137,0.5424458495896677
Case2020,CenterB,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,1,1715,1559,2013,790,282,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.05750350631136045,0.0,0.0,0.0,0.0,0.0
Case2020,CenterB,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,1,1715,1559,2013,790,282,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.05750350631136045,0.0,0.0,0.0,0.0,0.0
Case2031,CenterB,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,1,1632,1827,822,988,243,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.6730453799890651,0.7791164658634538,0.2979138233573796,0.26872586872586873,0.4010840108401084,0.7493755203996669
Case2031,CenterB,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,1,1632,1827,822,988,243,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.6730453799890651,0.7791164658634538,0.2979138233573796,0.26872586872586873,0.4010840108401084,0.7493755203996669
Case2033,CenterB,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,1,5680,6060,6550,1265,1510,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.800314465408805,0.852541782729805,0.8039717165638633,0.41424802110817943,0.7440613026819923,0.726044226044226
Case2033,CenterB,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,1,5680,6060,6550,1265,1510,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.800314465408805,0.852541782729805,0.8039717165638633,0.41424802110817943,0.7440613026819923,0.726044226044226
Case3004,CenterC,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,1,11753,9124,32802,8446,4391,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.7378968787192383,0.8837386431641369,0.82092060626809,0.29746459764266936,0.4814649397052255,0.5741761210156672
Case3004,CenterC,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,1,11753,9124,32802,8446,4391,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.7378968787192383,0.8837386431641369,0.82092060626809,0.29746459764266936,0.4814649397052255,0.5741761210156672
Case3011,CenterC,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,1,5905,6739,6825,1361,2710,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.7028092656481025,0.9461112310238147,0.8928684127485012,0.14535666218034993,0.7138450993831391,0.754122752634842
Case3011,CenterC,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,1,5905,6739,6825,1361,2710,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.7028092656481025,0.9461112310238147,0.8928684127485012,0.14535666218034993,0.7138450993831391,0.754122752634842
Case3012,CenterC,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,1,14601,14788,18018,972,3012,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.3387926259988923,0.5704244954766875,0.14879312245122892,0.044233807266982623,0.0,0.0982192032311364
Case3012,CenterC,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,1,14601,14788,18018,972,3012,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.3387926259988923,0.5704244954766875,0.14879312245122892,0.044233807266982623,0.0,0.0982192032311364
Case3023,CenterC,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,1,7605,5566,13294,980,3287,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.7265953122883079,0.9217239878101872,0.9137844804370407,0.3463302752293578,0.6629643814630409,0.7166236003445305
Case3023,CenterC,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,1,7605,5566,13294,980,3287,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.7265953122883079,0.9217239878101872,0.9137844804370407,0.3463302752293578,0.6629643814630409,0.7166236003445305
Case3026,CenterC,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,1,11543,11817,15055,2854,4823,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.7667047401484866,0.9093787099327265,0.7913685492464606,0.18880820162323794,0.7356146469049695,0.7943426179823928
Case3026,CenterC,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,1,11543,11817,15055,2854,4823,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.7667047401484866,0.9093787099327265,0.7913685492464606,0.18880820162323794,0.7356146469049695,0.7943426179823928
Case3034,CenterC,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,1,8683,10623,11077,2887,4815,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.75397093612707,0.9184295527955962,0.9048523891180423,0.5360406091370559,0.731317890328491,0.7357950023873946
Case3034,CenterC,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,1,8683,10623,11077,2887,4815,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.75397093612707,0.9184295527955962,0.9048523891180423,0.5360406091370559,0.731317890328491,0.7357950023873946
Case3038,CenterC,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,1,9097,12440,11161,6806,4266,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.7238056598032255,0.8959003215434084,0.8638592443034324,0.026456918126564175,0.4462874579453877,0.6878896655960702
Case3038,CenterC,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,1,9097,12440,11161,6806,4266,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.7238056598032255,0.8959003215434084,0.8638592443034324,0.026456918126564175,0.4462874579453877,0.6878896655960702
Case3040,CenterC,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,1,7736,7148,10957,1531,2687,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.8799791040877628,0.952731737262124,0.9426159194546029,0.20700808625336928,0.896551724137931,0.8121592148309705
Case3040,CenterC,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,1,7736,7148,10957,1531,2687,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.8799791040877628,0.952731737262124,0.9426159194546029,0.20700808625336928,0.896551724137931,0.8121592148309705
Case3044,CenterC,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,1,6493,7283,9725,2567,3743,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.8352443247402848,0.9185646616053468,0.9390669628689305,0.10530035335689046,0.7438051238975221,0.8614214019750688
Case3044,CenterC,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,1,6493,7283,9725,2567,3743,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.8352443247402848,0.9185646616053468,0.9390669628689305,0.10530035335689046,0.7438051238975221,0.8614214019750688
Case5005,CenterE,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,6668,11453,2561,4666,2031,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.0849767760603061,0.09445965873183063,0.10317554007791288,,0.05120798319327731,0.07164956847418986
Case5005,CenterE,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,6668,11453,2561,4666,2031,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.0849767760603061,0.09445965873183063,0.10317554007791288,,0.05120798319327731,0.07164956847418986
Case6001,CenterF,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,5979,11826,2273,345,1778,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.2924832331678425,0.7908856119303508,0.019708167519423916,,0.29631828978622327,0.3215728521411258
Case6001,CenterF,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,5979,11826,2273,345,1778,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.2924832331678425,0.7908856119303508,0.019708167519423916,,0.29631828978622327,0.3215728521411258
Case6010,CenterF,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,5266,6950,5049,6506,757,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.17699473471040908,0.616277796034615,0.5599140247178936,,0.04835924006908463,0.15982770346860123
Case6010,CenterF,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,5266,6950,5049,6506,757,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.17699473471040908,0.616277796034615,0.5599140247178936,,0.04835924006908463,0.15982770346860123
Case7005,CenterG,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,5626,3749,3837,11084,63,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.7789473684210526,0.4521266744860794,0.7015045365797634,,0.0,0.0
Case7005,CenterG,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,5626,3749,3837,11084,63,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.7789473684210526,0.4521266744860794,0.7015045365797634,,0.0,0.0
Case8003,CenterH,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,5065,1146,2207,14788,2425,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.0,0.0,0.0,,0.7372156126069714,0.23310690025026815
Case8003,CenterH,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,5065,1146,2207,14788,2425,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.0,0.0,0.0,,0.7372156126069714,0.23310690025026815
Case8011,CenterH,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,4467,2701,3756,5243,851,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.0,0.0,0.0,,0.2871452420701169,0.07731718677224034
Case8011,CenterH,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,4467,2701,3756,5243,851,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.0,0.0,0.0,,0.2871452420701169,0.07731718677224034
Case8015,CenterH,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,4593,2697,5435,11057,776,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.0,0.0,0.0,,0.38645418326693226,0.22982236308690204
Case8015,CenterH,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,4593,2697,5435,11057,776,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.0,0.0,0.0,,0.38645418326693226,0.22982236308690204
Case8019,CenterH,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,2885,2534,2432,5640,829,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.0,0.0,0.0,,0.627172195892575,0.12337098175499565
Case8019,CenterH,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,2885,2534,2432,5640,829,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.0,0.0,0.0,,0.627172195892575,0.12337098175499565
Case8021,CenterH,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,3231,2689,3681,5504,269,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.0,0.0,0.0,,0.0,0.020572604148808505
Case8021,CenterH,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,3231,2689,3681,5504,269,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.0,0.0,0.0,,0.0,0.020572604148808505
Case8022,CenterH,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,3676,1971,3435,8643,1650,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.0,0.0,0.0,,0.7003968253968254,0.22525070712265363
Case8022,CenterH,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,3676,1971,3435,8643,1650,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.0,0.0,0.0,,0.7003968253968254,0.22525070712265363
Case8023,CenterH,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,4560,4616,2701,3926,1221,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.0,0.0,0.0,,0.4704724409448819,0.25847599865726756
Case8023,CenterH,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,4560,4616,2701,3926,1221,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.0,0.0,0.0,,0.4704724409448819,0.25847599865726756
Case1001,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold1,0,5948,12593,7341,0,2448,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.35044281497000285,0.7683417281636796,0.0,,0.008072027320707855,0.008072027320707855
Case1001,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold1,0,5948,12593,7341,0,2448,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.35044281497000285,0.7683417281636796,0.0,,0.008072027320707855,0.008072027320707855
Case1003,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold1,0,5007,9086,4312,0,1195,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.45816316839206,0.7287041023433175,0.0,,0.018475750577367205,0.018475750577367205
Case1003,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold1,0,5007,9086,4312,0,1195,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.45816316839206,0.7287041023433175,0.0,,0.018475750577367205,0.018475750577367205
Case1004,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold1,0,13767,46774,16442,0,10393,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.02974241647272297,0.5237955999485374,0.0,,0.07455442717892247,0.07455442717892247
Case1004,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold1,0,13767,46774,16442,0,10393,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.02974241647272297,0.5237955999485374,0.0,,0.07455442717892247,0.07455442717892247
Case1005,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold1,0,9009,23461,10213,0,6145,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.07590311744946668,0.22711174435171994,0.0,,0.03905101826579887,0.03905101826579887
Case1005,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold1,0,9009,23461,10213,0,6145,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.07590311744946668,0.22711174435171994,0.0,,0.03905101826579887,0.03905101826579887
Case1006,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold1,0,9792,27146,7262,0,4467,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.1577263779527559,0.7954334478771395,0.0,,0.10461817769204584,0.10461817769204584
