feature_source,task_id,probe_model,train_rows,eval_rows,train_cases,eval_cases,status,AUROC,AUPRC,balanced_accuracy,sensitivity,specificity,ECE,fold_id,pathology,evidence_source
CASE_VOLUME_ONLY_CONTROL,P7_small_scar_vs_normal_myocardium,logistic_regression,2898,644,64,16,PASS,0.7147540983606557,0.14977973568281938,0.7786885245901639,1.0,0.5573770491803278,0.466388887217335,2,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P7_small_scar_vs_normal_myocardium,logistic_regression,2754,788,64,16,PASS,0.6386939245395128,0.32309746086240976,0.637774806892454,0.5909090909090909,0.684640522875817,0.2694381095255193,3,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P7_small_scar_vs_normal_myocardium,logistic_regression,2792,750,64,16,PASS,0.519678928836175,0.2813523751891358,0.5363000370644921,0.2535211267605634,0.819078947368421,0.20433673262097016,4,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P8_boundary_scar_vs_non_scar_myocardium,logistic_regression,4765,1193,64,16,PASS,0.49894580599456884,0.4895065440156563,0.5014969554877123,0.6218057921635435,0.3811881188118812,0.010072924794985783,0,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P8_boundary_scar_vs_non_scar_myocardium,logistic_regression,4789,1169,64,16,PASS,0.517523111103295,0.49439999688846575,0.5223314516176307,0.5364120781527532,0.5082508250825083,0.018461195803316344,1,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P8_boundary_scar_vs_non_scar_myocardium,logistic_regression,4750,1208,64,16,PASS,0.49964499150172703,0.4949215846477758,0.49997532759471464,0.24749163879598662,0.7524590163934426,0.0002099082451664236,2,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P8_boundary_scar_vs_non_scar_myocardium,logistic_regression,4769,1189,64,16,PASS,0.5034279743093077,0.48843362443690436,0.5039504536650015,0.5667244367417678,0.4411764705882353,0.015083274125364976,3,scar,v4_patient_level_refold
CASE_VOLUME_ONLY_CONTROL,P8_boundary_scar_vs_non_scar_myocardium,logistic_regression,4759,1199,64,16,PASS,0.5016683921097159,0.4962124883861918,0.5005051095378039,0.6243654822335025,0.37664473684210525,0.007869914464243677,4,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,4765,1193,64,16,PASS,0.4968823969279381,0.4904897996799792,0.4968823969279381,0.43270868824531517,0.5610561056105611,0.007910140720063852,0,scar,v4_patient_level_refold
CENTER_ONLY_CONTROL,P1_scar_vs_normal_myocardium,logistic_regression,4789,1169,64,16,PASS,0.5,0.4816082121471343,0.5,1.0,0.0,0.018391787852865715,1,scar,v4_patient_level_refold
