case_id,center,frame_agreements,frame_indices,frame_weights,n_frames,reference_dominance,reference_weight,source_prediction_paths,temporal_entropy
Case1012,center_alpha,"1.000000,0.514424,0.711272","0,6,15","0.843759,0.033138,0.123102",3,True,0.8437591918714463,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1012_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1012_t06_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1012_t15_cinema_acdc_s0.nii.gz,0.5141166308742134
Case1013,center_alpha,"1.000000,0.680757,0.749974","0,9,15","0.764594,0.091018,0.144388",3,False,0.7645940592804941,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1013_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1013_t09_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1013_t15_cinema_acdc_s0.nii.gz,0.7027945321440818
Case1014,center_alpha,"1.000000,0.674843,0.733258","0,7,15","0.779200,0.089171,0.131629",3,False,0.7792001740223036,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1014_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1014_t07_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1014_t15_cinema_acdc_s0.nii.gz,0.676857404720116
Case1015,center_alpha,"1.000000,0.682874,0.937075","0,15,28","0.562395,0.067900,0.369705",3,False,0.5623948809807366,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1015_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1015_t15_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1015_t28_cinema_acdc_s0.nii.gz,0.8741936008223459
Case1016,center_alpha,"1.000000,0.542452,0.710652","0,8,15","0.838477,0.039697,0.121827",3,True,0.8384766699774377,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1016_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1016_t08_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1016_t15_cinema_acdc_s0.nii.gz,0.532258217503338
Case1017,center_alpha,"1.000000,0.740844,0.957429","0,15,29","0.517973,0.092040,0.389988",3,False,0.5179726399793737,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1017_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1017_t15_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1017_t29_cinema_acdc_s0.nii.gz,0.927531246648404
Case1019,center_alpha,"1.000000,0.636440,0.794694","0,9,15","0.744587,0.065963,0.189450",3,False,0.7445867413220862,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1019_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1019_t09_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1019_t15_cinema_acdc_s0.nii.gz,0.7141042115744443
Case1021,center_alpha,"1.000000,0.554724,0.869630","0,7,15","0.679951,0.034936,0.285113",3,False,0.6799510610232454,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1021_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1021_t07_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1021_t15_cinema_acdc_s0.nii.gz,0.737243763633368
Case1022,center_alpha,"1.000000,0.754132,0.971153","0,15,29","0.495246,0.096153,0.408601",3,False,0.49524595237588714,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1022_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1022_t15_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1022_t29_cinema_acdc_s0.nii.gz,0.938886115588353
Case1023,center_alpha,"1.000000,0.453909,0.606945","0,9,15","0.909908,0.023873,0.066219",3,True,0.9099078706724375,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1023_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1023_t09_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1023_t15_cinema_acdc_s0.nii.gz,0.3548423931021523
Case1025,center_alpha,"1.000000,0.697230,0.961500","0,15,29","0.524525,0.069688,0.405787",3,False,0.5245253370015762,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1025_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1025_t15_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1025_t29_cinema_acdc_s0.nii.gz,0.8900763335769397
Case1026,center_alpha,"1.000000,0.705951,0.768629","0,9,15","0.738191,0.103946,0.157863",3,False,0.7381906188825679,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1026_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1026_t09_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1026_t15_cinema_acdc_s0.nii.gz,0.7508217799176088
Case1027,center_alpha,"1.000000,0.693027,0.727711","0,10,15","0.774004,0.099992,0.126004",3,False,0.7740038865628903,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1027_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1027_t10_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1027_t15_cinema_acdc_s0.nii.gz,0.6895411695068927
Case1028,center_alpha,"1.000000,0.628414,0.923886","0,15,28","0.593113,0.049806,0.357081",3,False,0.5931130226370248,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1028_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1028_t15_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1028_t28_cinema_acdc_s0.nii.gz,0.8269439258132358
Case1029,center_alpha,"1.000000,0.560991,0.749381","0,8,15","0.805367,0.043145,0.151488",3,True,0.8053667312914669,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1029_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1029_t08_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1029_t15_cinema_acdc_s0.nii.gz,0.5958367104670163
Case1030,center_alpha,"1.000000,0.742166,0.974604","0,15,29","0.494190,0.088591,0.417220",3,False,0.49418958682948544,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1030_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1030_t15_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1030_t29_cinema_acdc_s0.nii.gz,0.9277515540022472
Case1031,center_alpha,"1.000000,0.700182,0.736703","0,10,15","0.764320,0.103565,0.132115",3,False,0.7643198034944322,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1031_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1031_t10_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1031_t15_cinema_acdc_s0.nii.gz,0.7076767591638611
Case1032,center_alpha,"1.000000,0.666474,0.731252","0,9,15","0.784367,0.084891,0.130742",3,False,0.7843669804654632,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1032_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1032_t09_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1032_t15_cinema_acdc_s0.nii.gz,0.665878408767715
Case1033,center_alpha,"1.000000,0.820878,0.867746","0,7,15","0.582397,0.176444,0.241159",3,False,0.5823967858566875,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1033_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1033_t07_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1033_t15_cinema_acdc_s0.nii.gz,0.963932541125021
Case1034,center_alpha,"1.000000,0.585122,0.611285","0,9,15","0.878862,0.055300,0.065838",3,True,0.878861967239355,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1034_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1034_t09_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1034_t15_cinema_acdc_s0.nii.gz,0.4526938938330354
Case1035,center_alpha,"1.000000,0.644259,0.830760","0,15,27","0.705754,0.065869,0.228378",3,False,0.7057538482928465,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1035_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1035_t15_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1035_t27_cinema_acdc_s0.nii.gz,0.76237376322181
Case1036,center_alpha,"1.000000,0.776877,0.966418","0,15,29","0.493742,0.111556,0.394702",3,False,0.4937417195558453,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1036_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1036_t15_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1036_t29_cinema_acdc_s0.nii.gz,0.9600471373357031
Case1037,center_alpha,"1.000000,0.616012,0.723628","0,9,15","0.809235,0.062563,0.128202",3,True,0.8092352108130368,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1037_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1037_t09_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1037_t15_cinema_acdc_s0.nii.gz,0.6080311078352651
Case1038,center_alpha,"1.000000,0.545410,0.802440","0,7,15","0.759759,0.036686,0.203555",3,False,0.7597589351060751,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1038_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1038_t07_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1038_t15_cinema_acdc_s0.nii.gz,0.6540303436803416
Case1039,center_alpha,"1.000000,0.741794,0.791287","0,9,15","0.700504,0.125265,0.174231",3,False,0.7005043888453493,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1039_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1039_t09_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1039_t15_cinema_acdc_s0.nii.gz,0.8140100150790666
Case1040,center_alpha,"1.000000,0.661904,0.741313","0,8,15","0.779284,0.081810,0.138906",3,False,0.7792839312451103,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1040_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1040_t08_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_alpha/Case1040_t15_cinema_acdc_s0.nii.gz,0.6733319652617158
Case2001,center_beta,"1.000000,0.566174,0.709421","0,10,15","0.833636,0.046230,0.120134",3,True,0.8336364327282565,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_beta/Case2001_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_beta/Case2001_t10_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_beta/Case2001_t15_cinema_acdc_s0.nii.gz,0.5483845952285076
Case2002,center_beta,"1.000000,0.739918,0.714553","0,11,15","0.754306,0.133209,0.112485",3,False,0.7543060016039624,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_beta/Case2002_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_beta/Case2002_t11_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_beta/Case2002_t15_cinema_acdc_s0.nii.gz,0.72698193398333
Case2003,center_beta,"1.000000,0.559529,0.545482","0,11,15","0.907966,0.048170,0.043864",3,True,0.9079662456700198,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_beta/Case2003_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_beta/Case2003_t11_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_beta/Case2003_t15_cinema_acdc_s0.nii.gz,0.370910270796013
Case2004,center_beta,"1.000000,0.619936,0.792401","0,8,15","0.751916,0.059672,0.188412",3,False,0.7519158275969847,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_beta/Case2004_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_beta/Case2004_t08_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_beta/Case2004_t15_cinema_acdc_s0.nii.gz,0.6970864419147352
Case2005,center_beta,"1.000000,0.715190,0.660814","0,10,15","0.797461,0.119427,0.083113",3,False,0.797460778709914,/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_beta/Case2005_t00_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_beta/Case2005_t10_cinema_acdc_s0.nii.gz;/overflow/htzhu/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/predictions/train/center_beta/Case2005_t15_cinema_acdc_s0.nii.gz,0.6410188066840523
