case_id,center,metric_name,model_id,dice,pred_voxels,gt_voxels,pred_components,gt_components,empty_gt,empty_pred,model_disagreement_dice
Case2007,CenterB,lesion_union,mosaic_clean_oof,0.7312165985539139,3597,2765,2,1,0,0,0.3668628500089174
Case2008,CenterB,scar,nnunet_oof,0.7531584062196307,1042,1016,1,1,0,0,0.26015171798304326
Case2008,CenterB,scar,mosaic_clean_oof,0.7747178329571106,1199,1016,1,1,0,0,0.26015171798304326
Case2008,CenterB,pure_edema,nnunet_oof,0.3485546711353163,1171,3603,5,5,0,0,0.46457361052184976
Case2008,CenterB,pure_edema,mosaic_clean_oof,0.2998538316976404,1186,3603,2,5,0,0,0.46457361052184976
Case2008,CenterB,lesion_union,nnunet_oof,0.5702576112412178,2213,4619,2,1,0,0,0.2553284036537625
Case2008,CenterB,lesion_union,mosaic_clean_oof,0.5596801827527127,2385,4619,1,1,0,0,0.2553284036537625
Case2017,CenterB,scar,nnunet_oof,0.5470588235294118,1230,810,2,1,0,0,0.4220272904483431
Case2017,CenterB,scar,mosaic_clean_oof,0.6924019607843137,822,810,1,1,0,0,0.4220272904483431
Case2017,CenterB,pure_edema,nnunet_oof,0.6796246648793566,2265,2211,6,1,0,0,0.5959009393680614
Case2017,CenterB,pure_edema,mosaic_clean_oof,0.3809687984830202,3590,2211,2,1,0,0,0.5959009393680614
Case2017,CenterB,lesion_union,nnunet_oof,0.8161448741559238,3495,3021,1,1,0,0,0.4235487542683698
Case2017,CenterB,lesion_union,mosaic_clean_oof,0.5424458495896677,4412,3021,2,1,0,0,0.4235487542683698
Case2020,CenterB,scar,nnunet_oof,0.4196185286103542,173,561,1,1,0,0,1.0
Case2020,CenterB,scar,mosaic_clean_oof,0.0,282,561,1,1,0,0,1.0
Case2020,CenterB,pure_edema,nnunet_oof,0.5630676084762866,950,1032,4,12,0,0,1.0
Case2020,CenterB,pure_edema,mosaic_clean_oof,0.0,790,1032,1,12,0,0,1.0
Case2020,CenterB,lesion_union,nnunet_oof,0.7695139911634757,1123,1593,4,1,0,0,1.0
Case2020,CenterB,lesion_union,mosaic_clean_oof,0.0,1072,1593,1,1,0,0,1.0
