case_id,center,metric_name,fn_jaccard_nnunet_vs_mosaic,fp_jaccard_nnunet_vs_mosaic,nnunet_fn_voxels,mosaic_fn_voxels,nnunet_fp_voxels,mosaic_fp_voxels
Case2017,CenterB,lesion_union,0.11865793780687398,0.1744186046511628,362,1005,836,2396
Case2020,CenterB,scar,0.7254901960784313,0.0,407,561,19,282
Case2020,CenterB,pure_edema,0.45930232558139533,0.0,474,1032,392,790
Case2020,CenterB,lesion_union,0.34400502197112365,0.0,548,1593,78,1072
Case2031,CenterB,scar,0.24580152671755726,0.016129032258064516,174,642,168,21
Case2031,CenterB,pure_edema,0.3931297709923664,0.08731082654249127,232,133,120,814
Case2031,CenterB,lesion_union,0.46153846153846156,0.16273584905660377,280,271,162,331
Case2033,CenterB,scar,0.1266490765171504,0.22096317280453256,298,129,323,539
Case2033,CenterB,pure_edema,0.23700305810397554,0.1334141904184354,271,538,1075,794
Case2033,CenterB,lesion_union,0.12682926829268293,0.2035670356703567,126,336,955,1002
Case3004,CenterC,scar,0.4801223241590214,0.1889359129383313,743,709,1159,2774
Case3004,CenterC,pure_edema,0.4020733061828952,0.038505419281232175,2194,1593,590,6692
Case3004,CenterC,lesion_union,0.10746268656716418,0.07567213114754098,1867,359,679,7523
Case3011,CenterC,scar,0.5216836734693877,0.4982698961937716,1343,1043,672,627
Case3011,CenterC,pure_edema,0.695364238410596,0.1473899692937564,574,706,1043,1199
Case3011,CenterC,lesion_union,0.5112640801001251,0.3100686498855835,1462,953,1260,1030
Case3012,CenterC,scar,0.21788502484031227,0.0,614,2818,310,3012
Case3012,CenterC,pure_edema,0.6519065190651907,0.0199288256227758,2735,3980,573,860
Case3012,CenterC,lesion_union,0.4084571082146105,0.013773388773388774,2918,6375,452,3449
Case3023,CenterC,scar,0.16728624535315986,0.3828689370485036,424,204,1124,1556
Case3023,CenterC,pure_edema,0.6904024767801857,0.08365019011406843,630,462,747,678
Case3023,CenterC,lesion_union,0.39375,0.30624465355004277,466,203,1283,1771
Case3026,CenterC,scar,0.3944615384615385,0.09343263371699391,1288,978,167,1448
Case3026,CenterC,pure_edema,0.7643429981492905,0.14040870138431114,1474,1386,1048,2412
Case3026,CenterC,lesion_union,0.21885362387494078,0.08147512864493997,1896,677,349,2173
Case3034,CenterC,scar,0.018867924528301886,0.32247851650836723,184,32,903,2021
Case3034,CenterC,pure_edema,0.5244755244755245,0.2107121836374338,808,718,490,1567
Case3034,CenterC,lesion_union,0.2970027247956403,0.33598979917118266,711,241,1112,3079
Case3038,CenterC,scar,0.3568051334008781,0.31233362910381546,2372,5663,1544,1414
Case3038,CenterC,pure_edema,0.6309148264984227,0.1748715019988578,1111,1474,3591,6695
Case3038,CenterC,lesion_union,0.4124742571344513,0.35765222161272625,1983,2818,3635,3790
Case3040,CenterC,scar,0.5130718954248366,0.2551440329218107,589,337,75,230
Case3040,CenterC,pure_edema,0.2956989247311828,0.340053050397878,109,132,1187,1339
Case3040,CenterC,lesion_union,0.2936170212765957,0.3917963224893918,165,139,729,1239
Case3044,CenterC,scar,0.61446249033256,0.3404255319148936,1936,2239,177,201
Case3044,CenterC,pure_edema,0.5348837209302325,0.32573812580231065,84,114,1713,2418
Case3044,CenterC,lesion_union,0.43500424808836025,0.4049268668206313,966,723,836,989
Case5005,CenterE,scar,0.5755803326631329,0.01482544237207078,3230,5390,286,1836
Case5005,CenterE,lesion_union,0.5503517215845983,0.010345892526250773,3230,5145,286,6257
Case6001,CenterF,scar,0.5304282494365139,0.10900745840504876,946,1091,654,1279
Case6001,CenterF,lesion_union,0.5007739938080495,0.10828673106253177,946,993,654,1526
Case6010,CenterF,scar,0.5817711700064642,0.00688298918387414,944,1503,323,701
Case6010,CenterF,lesion_union,0.2833690221270521,0.01057423997650169,944,854,323,6558
Case7005,CenterG,scar,1.0,0.020833333333333332,0,0,35,63
Case7005,CenterG,lesion_union,1.0,0.003139858257827218,0,0,35,11147
Case8003,CenterH,scar,0.515881708652793,0.40425531914893614,784,600,463,659
Case8003,CenterH,lesion_union,0.07160493827160494,0.028666889408620114,784,84,463,14931
Case8011,CenterH,scar,0.5445544554455446,0.10948905109489052,293,175,81,679
Case8011,CenterH,lesion_union,0.2947019867549669,0.013164643528808343,293,98,81,5845
Case8015,CenterH,scar,0.7267311988086373,0.2573913043478261,1070,1249,432,291
Case8015,CenterH,lesion_union,0.16355140186915887,0.0391148209259439,1070,175,432,10274
Case8019,CenterH,scar,0.22580645161290322,0.16323296354992076,74,40,302,432
Case8019,CenterH,lesion_union,0.0759493670886076,0.03829160530191458,74,11,302,6043
Case8021,CenterH,scar,1.0,0.0,60,60,0,269
Case8021,CenterH,lesion_union,0.0,0.0,60,0,0,5713
Case8022,CenterH,scar,0.48080438756855576,0.3413940256045519,495,315,352,591
Case8022,CenterH,lesion_union,0.11222444889779559,0.03885548875528835,495,60,352,8979
Case8023,CenterH,scar,0.3113207547169811,0.12693498452012383,362,333,713,743
Case8023,CenterH,lesion_union,0.1132596685082873,0.12015845070422536,362,41,713,4377
Case1001,CenterA,scar,0.45123537061118335,0.0029498525073746312,356,760,285,2435
Case1001,CenterA,lesion_union,0.45123537061118335,0.0029498525073746312,356,760,285,2435
Case1003,CenterA,scar,0.6271551724137931,0.0006734006734006734,886,1379,315,1171
Case1003,CenterA,lesion_union,0.6271551724137931,0.0006734006734006734,886,1379,315,1171
Case1004,CenterA,scar,0.5791772843101566,0.004029235382308846,8478,13212,1236,9479
Case1004,CenterA,lesion_union,0.5791772843101566,0.004029235382308846,8478,13212,1236,9479
Case1005,CenterA,scar,0.24953445065176907,0.011568654455309186,831,3195,1386,5959
Case1005,CenterA,lesion_union,0.24953445065176907,0.011568654455309186,831,3195,1386,5959
Case1006,CenterA,scar,0.7002463054187192,0.06298266689548652,3018,3885,2188,4006
Case1006,CenterA,lesion_union,0.7002463054187192,0.06298266689548652,3018,3885,2188,4006
Case1036,CenterA,scar,0.25269709543568464,0.08282090699461953,791,2228,1102,4533
Case1036,CenterA,lesion_union,0.25269709543568464,0.08282090699461953,791,2228,1102,4533
Case1038,CenterA,scar,0.7310344827586207,0.01991465149359886,848,1160,519,915
Case1038,CenterA,lesion_union,0.7310344827586207,0.01991465149359886,848,1160,519,915
Case1043,CenterA,scar,0.594896331738437,0.07551766138855055,819,1181,387,496
Case1043,CenterA,lesion_union,0.594896331738437,0.07551766138855055,819,1181,387,496
Case1054,CenterA,scar,0.1820020222446916,0.0019300361881785283,392,1946,1060,3093
Case1054,CenterA,lesion_union,0.1820020222446916,0.0019300361881785283,392,1946,1060,3093
Case1056,CenterA,scar,0.26595306710580485,0.019016651886885408,1394,4756,1653,8689
Case1056,CenterA,lesion_union,0.26595306710580485,0.019016651886885408,1394,4756,1653,8689
Case1058,CenterA,scar,0.35688444349861675,0.00866028080304422,1907,4469,877,6810
Case1058,CenterA,lesion_union,0.35688444349861675,0.00866028080304422,1907,4469,877,6810
Case1063,CenterA,scar,0.30851230600407586,0.025156110615521855,2292,6055,2157,9335
Case1063,CenterA,lesion_union,0.30851230600407586,0.025156110615521855,2292,6055,2157,9335
Case1069,CenterA,scar,0.6353569309867511,0.005267008046817849,3468,4802,1119,5752
Case1069,CenterA,lesion_union,0.6353569309867511,0.005267008046817849,3468,4802,1119,5752
Case1072,CenterA,scar,0.40790742526518803,0.0025020850708924102,902,2018,510,692
Case1072,CenterA,lesion_union,0.40790742526518803,0.007468879668049793,902,2018,522,692
Case1074,CenterA,scar,0.5547902316844082,0.02638385928608381,1198,1285,249,1735
Case1074,CenterA,lesion_union,0.5547902316844082,0.02638385928608381,1198,1285,249,1735
Case1077,CenterA,scar,0.5542035398230089,0.019990248659190638,1868,2347,567,1525
Case1077,CenterA,lesion_union,0.5542035398230089,0.019990248659190638,1868,2347,567,1525
Case2001,CenterB,scar,0.21649484536082475,0.3783068783068783,188,48,478,1085
Case2001,CenterB,pure_edema,0.33029045643153526,0.0,796,2410,632,0
Case2001,CenterB,lesion_union,0.22853894258101193,0.19010416666666666,476,1685,602,312
Case2010,CenterB,scar,0.31070496083550914,0.14617169373549885,372,130,86,408
Case2010,CenterB,pure_edema,0.2358974358974359,0.0,368,1560,553,0
Case2010,CenterB,lesion_union,0.2222222222222222,0.0990990990990991,383,1366,282,84
Case2016,CenterB,scar,0.2739273927392739,0.25,261,125,238,282
Case2016,CenterB,pure_edema,0.5151141270820481,0.0,835,1621,427,0
Case2016,CenterB,lesion_union,0.48740012292563,0.11228813559322035,860,1560,429,96
Case2024,CenterB,scar,0.2169811320754717,0.267515923566879,346,170,390,1003
Case2024,CenterB,pure_edema,0.3568316831683168,0.0,901,2525,962,0
Case2024,CenterB,lesion_union,0.24843222383019778,0.0740343347639485,608,1980,713,288
Case2026,CenterB,scar,0.33915211970074816,0.21403508771929824,306,231,80,266
Case2026,CenterB,pure_edema,0.2614980289093298,0.0,199,761,324,0
Case2026,CenterB,lesion_union,0.23442808607021517,0.06910569105691057,290,800,189,74
Case2027,CenterB,scar,0.10662824207492795,0.3567251461988304,347,37,648,1208
Case2027,CenterB,pure_edema,0.39933993399339934,0.0,847,2121,903,0
Case2027,CenterB,lesion_union,0.20603015075376885,0.14630577907827358,674,1486,1031,536
Case2030,CenterB,scar,0.359375,0.07317073170731707,201,147,117,235
Case2030,CenterB,pure_edema,0.31608391608391606,0.0,226,715,582,0
Case2030,CenterB,lesion_union,0.21212121212121213,0.19130434782608696,243,797,515,170
Case3002,CenterC,scar,0.7054927931437476,0.0,1811,2567,693,1161
Case3002,CenterC,pure_edema,0.9287300999629767,0.0,5017,5402,585,0
Case3002,CenterC,lesion_union,0.7215459907140168,0.0,5750,7969,200,1161
Case3007,CenterC,scar,0.7122080211546937,0.5473833097595474,1983,1902,481,613
Case3007,CenterC,pure_edema,0.36379613356766255,0.0,207,569,1402,0
Case3007,CenterC,lesion_union,0.586707410236822,0.2501571338780641,1764,2390,1457,532
Case3014,CenterC,scar,0.42476303317535546,0.1939924906132666,1581,824,523,431
Case3014,CenterC,pure_edema,0.5834914611005693,0.0,1845,3162,1578,0
Case3014,CenterC,lesion_union,0.4438336520076482,0.05930656934306569,2295,3746,970,191
Case3018,CenterC,scar,0.5180722891566265,0.29674306393244876,65,61,473,602
Case3018,CenterC,pure_edema,0.46204620462046203,0.0,140,303,869,0
Case3018,CenterC,lesion_union,0.34782608695652173,0.12130937098844673,112,260,1249,498
Case3025,CenterC,scar,0.6312849162011173,0.4321550741163056,4326,3266,622,634
Case3025,CenterC,pure_edema,0.7854686156491831,0.0,1827,2326,948,0
Case3025,CenterC,lesion_union,0.6500865732724697,0.11084905660377359,5375,5108,792,150
Case3028,CenterC,scar,0.5050215208034433,0.4253393665158371,681,368,1642,2768
Case3028,CenterC,pure_edema,0.7161186848436247,0.0,1786,2494,670,0
Case3028,CenterC,lesion_union,0.600661278471712,0.3822341857335128,1970,2387,1815,2293
Case3030,CenterC,scar,0.4286411319834106,0.2803030303030303,2769,3087,659,1200
Case3030,CenterC,pure_edema,0.6907182682846835,0.0,2106,3049,1174,0
Case3030,CenterC,lesion_union,0.53243917654398,0.20156046814044212,4084,5742,1042,806
Case3033,CenterC,scar,0.6448326055312955,0.30346385542168675,2359,2161,831,900
Case3033,CenterC,pure_edema,0.8253521126760563,0.0,1465,1775,1652,0
Case3033,CenterC,lesion_union,0.5660759493670886,0.2875444839857651,2449,3737,1108,701
Case3041,CenterC,scar,0.67612076852699,0.0756578947368421,997,835,31,296
Case3041,CenterC,pure_edema,0.48306332842415317,0.0,328,679,874,0
Case3041,CenterC,lesion_union,0.5230460921843687,0.033816425120772944,912,1368,492,150
Case5007,CenterE,scar,1.0,0.0,0,0,258,34
Case5007,CenterE,lesion_union,1.0,0.0,0,0,258,34
Case5010,CenterE,scar,0.53125,0.07796101949025487,100,145,426,293
Case5010,CenterE,lesion_union,0.53125,0.07796101949025487,100,145,426,293
Case6004,CenterF,scar,0.5548098434004475,0.008645533141210375,301,394,165,885
Case6004,CenterF,lesion_union,0.5548098434004475,0.008645533141210375,301,394,165,885
Case6006,CenterF,scar,0.7626439659489234,0.02524271844660194,1601,1919,1465,3815
Case6006,CenterF,lesion_union,0.7626439659489234,0.02524271844660194,1601,1919,1465,3815
Case7004,CenterG,scar,0.4231433506044905,0.10352941176470588,279,545,158,311
Case7004,CenterG,lesion_union,0.4231433506044905,0.10352941176470588,279,545,158,311
Case8004,CenterH,scar,0.4753521126760563,0.10317460317460317,274,145,56,222
Case8004,CenterH,lesion_union,0.4753521126760563,0.10317460317460317,274,145,56,222
Case8006,CenterH,scar,0.4408322496749025,0.18159203980099503,598,510,329,621
Case8006,CenterH,lesion_union,0.4408322496749025,0.18159203980099503,598,510,329,621
Case8008,CenterH,scar,0.7964989059080962,0.30857648099027407,872,770,415,1065
Case8008,CenterH,lesion_union,0.7964989059080962,0.30857648099027407,872,770,415,1065
Case8013,CenterH,scar,0.24537037037037038,0.11904761904761904,203,66,154,786
Case8013,CenterH,lesion_union,0.24537037037037038,0.11904761904761904,203,66,154,786
Case8016,CenterH,scar,0.5333333333333333,0.004291845493562232,896,484,1,233
Case8016,CenterH,lesion_union,0.5333333333333333,0.004291845493562232,896,484,1,233
Case8024,CenterH,scar,0.2557471264367816,0.11395348837209303,305,132,116,363
Case8024,CenterH,lesion_union,0.2557471264367816,0.11395348837209303,305,132,116,363
Case8029,CenterH,scar,0.576,0.010893246187363835,615,370,9,455
Case8029,CenterH,lesion_union,0.576,0.010893246187363835,615,370,9,455
Case1012,CenterA,scar,0.6469072164948454,0.0,251,388,261,234
Case1012,CenterA,lesion_union,0.6469072164948454,0.0,251,388,264,234
Case1014,CenterA,scar,0.23896103896103896,0.08929593589009731,93,384,1252,651
Case1014,CenterA,lesion_union,0.23896103896103896,0.08929593589009731,93,384,1252,651
Case1016,CenterA,scar,0.30547698637181797,0.1942919868276619,1702,3375,2633,4983
Case1016,CenterA,lesion_union,0.30547698637181797,0.1942919868276619,1702,3375,2633,4983
Case1020,CenterA,scar,0.4036855036855037,0.04474988013424964,2062,3651,1786,4751
Case1020,CenterA,lesion_union,0.4036855036855037,0.04474988013424964,2062,3651,1786,4751
Case1024,CenterA,scar,0.5085239085239085,0.023805560179790245,2587,4669,1017,5133
Case1024,CenterA,lesion_union,0.5085239085239085,0.023805560179790245,2587,4669,1017,5133
Case1025,CenterA,scar,0.5143781452192667,0.09418767507002801,1777,2436,1033,2092
Case1025,CenterA,lesion_union,0.5143781452192667,0.09418767507002801,1777,2436,1033,2092
Case1027,CenterA,scar,0.6112692088787707,0.02060911380810625,3602,4891,657,3800
Case1027,CenterA,lesion_union,0.6112692088787707,0.02060911380810625,3602,4891,657,3800
Case1030,CenterA,scar,0.5329572446555819,0.01596378365499166,2386,2777,801,3463
Case1030,CenterA,lesion_union,0.5329572446555819,0.01596378365499166,2386,2777,801,3463
Case1039,CenterA,scar,0.42053277461837774,0.08686184369707234,1678,3068,860,3632
Case1039,CenterA,lesion_union,0.42053277461837774,0.08686184369707234,1678,3068,860,3632
Case1044,CenterA,scar,0.34607081174438686,0.020165646380986675,1770,4465,1413,4253
Case1044,CenterA,lesion_union,0.34607081174438686,0.020165646380986675,1770,4465,1413,4253
Case1048,CenterA,scar,0.4091314031180401,0.0,1837,4490,971,5161
Case1048,CenterA,lesion_union,0.4091314031180401,0.0,1837,4490,971,5161
Case1051,CenterA,scar,0.23076923076923078,0.03791982665222102,910,2754,905,5801
Case1051,CenterA,lesion_union,0.23076923076923078,0.03791982665222102,910,2754,905,5801
Case1055,CenterA,scar,0.5773999291533829,0.016254289326350008,1650,2803,1465,4162
Case1055,CenterA,lesion_union,0.5773999291533829,0.016254289326350008,1650,2803,1465,4162
Case1057,CenterA,scar,0.26850937808489633,0.046908315565031986,330,955,440,1524
Case1057,CenterA,lesion_union,0.26850937808489633,0.046908315565031986,330,955,440,1524
Case1059,CenterA,scar,0.3190883190883191,0.30164630908125334,434,492,878,1573
Case1059,CenterA,lesion_union,0.3190883190883191,0.30164630908125334,434,492,878,1573
Case1068,CenterA,scar,0.49163449163449163,0.044701061650214195,2765,4189,1388,4221
Case1068,CenterA,lesion_union,0.49163449163449163,0.044701061650214195,2765,4189,1388,4221
Case2006,CenterB,scar,0.3795180722891566,0.3172690763052209,319,139,194,462
Case2006,CenterB,pure_edema,0.7577067127628926,0.0,2630,3471,154,0
Case2006,CenterB,lesion_union,0.7008231620777746,0.32065217391304346,2699,3293,98,145
Case2009,CenterB,scar,0.33986013986013985,0.06218487394957983,663,295,439,193
Case2009,CenterB,pure_edema,0.25933503836317134,0.0,507,1955,623,0
Case2009,CenterB,lesion_union,0.16035101715197447,0.03333333333333333,716,2193,608,136
Case2014,CenterB,scar,0.3627760252365931,0.18509615384615385,194,238,301,192
Case2014,CenterB,pure_edema,0.31216931216931215,0.0,590,1890,385,0
Case2014,CenterB,lesion_union,0.22437531871494135,0.025139664804469275,456,1945,358,9
Case2019,CenterB,scar,0.17681159420289855,0.0,61,345,65,647
Case2019,CenterB,pure_edema,0.36298568507157464,0.0,355,978,197,0
Case2019,CenterB,lesion_union,0.2471655328798186,0.0,327,1323,173,647
Case2022,CenterB,scar,0.5508849557522124,0.38072289156626504,405,296,277,296
Case2022,CenterB,pure_edema,0.44754686876745114,0.0,1122,2507,447,0
Case2022,CenterB,lesion_union,0.36076867295141407,0.04481132075471698,1142,2611,339,104
Case2023,CenterB,scar,0.3484573502722323,0.32752613240418116,439,304,208,173
Case2023,CenterB,pure_edema,0.3344504021447721,0.0,499,1492,649,0
Case2023,CenterB,lesion_union,0.2420042643923241,0.027914614121510674,647,1683,566,60
Case2034,CenterB,scar,0.1901840490797546,0.14245014245014245,123,71,174,227
Case2034,CenterB,pure_edema,0.22269353128313893,0.0,210,943,886,0
Case2034,CenterB,lesion_union,0.11372549019607843,0.06958250497017893,162,974,889,187
Case3006,CenterC,scar,0.046296296296296294,0.363265306122449,108,5,179,489
Case3006,CenterC,pure_edema,0.32081911262798635,0.0,188,586,617,0
Case3006,CenterC,lesion_union,0.2692307692307692,0.2806451612903226,90,306,590,204
Case3008,CenterC,scar,0.4285132382892057,0.45217391304347826,1456,2051,1753,2088
Case3008,CenterC,pure_edema,0.7845845845845846,0.0,3919,4995,256,0
Case3008,CenterC,lesion_union,0.6449853126311372,0.41515650741350907,4981,6779,1615,1821
Case3015,CenterC,scar,0.3597014925373134,0.5882882882882883,434,477,1756,1770
Case3015,CenterC,pure_edema,0.5856463124504362,0.0,1477,2522,1599,0
Case3015,CenterC,lesion_union,0.3643379366368806,0.2991639403853144,1011,2348,2455,1119
Case3016,CenterC,scar,0.2,0.45708712613784136,202,62,929,1312
Case3016,CenterC,pure_edema,0.4349195241427572,0.0,1243,2858,1267,0
Case3016,CenterC,lesion_union,0.23390342052313884,0.2192513368983957,490,1963,1241,355
Case3017,CenterC,scar,0.22055580061755625,0.01010886469673406,1151,4383,597,4599
Case3017,CenterC,pure_edema,0.6842661034846885,0.0,648,947,384,0
Case3017,CenterC,lesion_union,0.22019019751280175,0.010852407261247041,1342,5330,524,4599
Case3024,CenterC,scar,0.4101633393829401,0.36112777444511096,524,253,632,1637
Case3024,CenterC,pure_edema,0.6662898485191047,0.0,2947,4423,547,0
Case3024,CenterC,lesion_union,0.6087487781036168,0.2026897214217099,2948,3635,656,596
Case3027,CenterC,scar,0.024752475247524754,0.400175387313651,22,185,1964,2826
Case3027,CenterC,pure_edema,0.9877551020408163,0.0,4840,4900,7,0
Case3027,CenterC,lesion_union,0.7380073800738007,0.36811926605504586,3884,3652,993,1393
Case3035,CenterC,scar,0.28102189781021897,0.0761986301369863,274,77,572,685
Case3035,CenterC,pure_edema,0.4897003745318352,0.0,1569,3204,879,0
Case3035,CenterC,lesion_union,0.3668708078156897,0.08631713554987212,1406,3281,1014,685
Case3037,CenterC,scar,0.27112232030264816,0.4079173838209983,768,240,317,501
Case3037,CenterC,pure_edema,0.584,0.0,1825,3125,701,0
Case3037,CenterC,lesion_union,0.49969733656174337,0.02584493041749503,2026,2929,451,65
Case5001,CenterE,scar,1.0,0.0,0,0,163,205
Case5001,CenterE,lesion_union,1.0,0.0,0,0,163,205
Case5006,CenterE,scar,0.28498727735368956,0.0,224,786,303,570
Case5006,CenterE,lesion_union,0.28498727735368956,0.0,224,786,303,570
Case6003,CenterF,scar,0.5874330248416951,0.01666020922123208,1364,1895,561,2063
Case6003,CenterF,lesion_union,0.5874330248416951,0.01666020922123208,1364,1895,561,2063
Case7002,CenterG,scar,0.7822299651567944,0.1693548387096774,546,477,212,78
Case7002,CenterG,lesion_union,0.7822299651567944,0.1693548387096774,546,477,212,78
Case7010,CenterG,scar,1.0,0.0,0,0,0,111
Case7010,CenterG,lesion_union,1.0,0.0,0,0,0,111
Case8002,CenterH,scar,0.3026315789473684,0.24043715846994534,151,146,180,274
Case8002,CenterH,lesion_union,0.3026315789473684,0.24043715846994534,151,146,180,274
Case8005,CenterH,scar,0.17419354838709677,0.31833910034602075,135,47,254,508
Case8005,CenterH,lesion_union,0.17419354838709677,0.31833910034602075,135,47,254,508
Case8009,CenterH,scar,0.7051569506726457,0.26174496644295303,768,753,386,554
Case8009,CenterH,lesion_union,0.7051569506726457,0.26174496644295303,768,753,386,554
Case8017,CenterH,scar,0.19166666666666668,0.19517543859649122,23,120,402,143
Case8017,CenterH,lesion_union,0.19166666666666668,0.19517543859649122,23,120,402,143
Case8027,CenterH,scar,0.4025641025641026,0.40415140415140416,320,227,445,705
Case8027,CenterH,lesion_union,0.4025641025641026,0.40415140415140416,320,227,445,705
Case8028,CenterH,scar,1.0,0.16863905325443787,0,0,81,314
Case8028,CenterH,lesion_union,1.0,0.16863905325443787,0,0,81,314
Case8033,CenterH,scar,0.5021097046413502,0.28735632183908044,200,156,183,377
Case8033,CenterH,lesion_union,0.5021097046413502,0.28735632183908044,200,156,183,377
Case1011,CenterA,scar,0.1863905325443787,0.0,63,338,438,955
Case1011,CenterA,lesion_union,0.1863905325443787,0.0,63,338,438,955
Case1018,CenterA,scar,0.7226840855106889,0.030877976190476192,1268,1633,832,1939
Case1018,CenterA,lesion_union,0.7226840855106889,0.030877976190476192,1268,1633,832,1939
Case1019,CenterA,scar,0.7606837606837606,0.0,198,214,60,327
Case1019,CenterA,lesion_union,0.7606837606837606,0.0,198,214,60,327
Case1022,CenterA,scar,0.12076749435665914,0.0,107,886,958,2248
Case1022,CenterA,lesion_union,0.12076749435665914,0.0,107,886,958,2248
Case1026,CenterA,scar,0.33601717659688674,0.00684931506849315,1349,3629,744,2931
Case1026,CenterA,lesion_union,0.33601717659688674,0.00684931506849315,1349,3629,744,2931
Case1028,CenterA,scar,0.2494439148395297,0.0373073803730738,891,3041,951,4165
Case1028,CenterA,lesion_union,0.2494439148395297,0.0373073803730738,891,3041,951,4165
Case1031,CenterA,scar,0.5836065573770491,0.039257520802218906,3216,4029,1527,3344
Case1031,CenterA,lesion_union,0.5836065573770491,0.039257520802218906,3216,4029,1527,3344
Case1034,CenterA,scar,0.690406976744186,0.05319280843149411,3739,4402,2055,6439
Case1034,CenterA,lesion_union,0.690406976744186,0.05319280843149411,3739,4402,2055,6439
Case1035,CenterA,scar,0.5024216161101198,0.016599112140513416,3997,7791,1476,3791
Case1035,CenterA,lesion_union,0.5024216161101198,0.016599112140513416,3997,7791,1476,3791
Case1050,CenterA,scar,0.2901591895803184,0.01882530120481928,2052,5080,2380,5738
Case1050,CenterA,lesion_union,0.2901591895803184,0.01882530120481928,2052,5080,2380,5738
Case1061,CenterA,scar,0.46332355294745264,0.020989505247376312,1850,3636,1331,5479
Case1061,CenterA,lesion_union,0.46332355294745264,0.020989505247376312,1850,3636,1331,5479
Case1065,CenterA,scar,0.46706586826347307,0.029980013324450366,704,1011,186,1360
