checkpoint,checkpoint_step,checkpoint_sha256,metric_name,case_count,mean_dice,median_dice,help_case_count,harm_case_count,raw_probability_rows
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step05000.pt,5000,1ab75cd5b46d5e1065d22322cce2ff458033bf4b7585db6b8bd71ddd2fd51c2e,scar,35,0.463248088,0.494652237,1,33,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step05000.pt,5000,1ab75cd5b46d5e1065d22322cce2ff458033bf4b7585db6b8bd71ddd2fd51c2e,pure_edema,35,0.734788339,1.000000000,0,16,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step05000.pt,5000,1ab75cd5b46d5e1065d22322cce2ff458033bf4b7585db6b8bd71ddd2fd51c2e,edema_zone,35,0.316108171,0.000000000,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step05500.pt,5500,8cf52e7f74e4a03e14cc88ee281e7cf57ceeb0e686062068185ee6037432c2cf,scar,35,0.489862209,0.528618231,1,33,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step05500.pt,5500,8cf52e7f74e4a03e14cc88ee281e7cf57ceeb0e686062068185ee6037432c2cf,pure_edema,35,0.730777906,1.000000000,0,16,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step05500.pt,5500,8cf52e7f74e4a03e14cc88ee281e7cf57ceeb0e686062068185ee6037432c2cf,edema_zone,35,0.313452432,0.000000000,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step06000.pt,6000,fb18808b7bffc787ab669ab32d94e62d29ad418af62bf3583a72baeb338cfe2a,scar,35,0.486320242,0.511428571,1,33,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step06000.pt,6000,fb18808b7bffc787ab669ab32d94e62d29ad418af62bf3583a72baeb338cfe2a,pure_edema,35,0.734110341,1.000000000,0,16,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step06000.pt,6000,fb18808b7bffc787ab669ab32d94e62d29ad418af62bf3583a72baeb338cfe2a,edema_zone,35,0.314802038,0.000000000,0,34,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step06500.pt,6500,56bf47cd6845fedbe87061f44f24c7ced4f101dcf8ac915eb14b60d7539888d0,scar,35,0.489682702,0.513187641,1,33,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step06500.pt,6500,56bf47cd6845fedbe87061f44f24c7ced4f101dcf8ac915eb14b60d7539888d0,pure_edema,35,0.730992674,1.000000000,0,16,35
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step06500.pt,6500,56bf47cd6845fedbe87061f44f24c7ced4f101dcf8ac915eb14b60d7539888d0,edema_zone,35,0.311535001,0.000000000,0,34,35
