matrix_variant,semantic_task,slot_group,slot_kind,mean_weight_mean,mean_weight_max,valid_fraction_mean,trace_scope
srr_propref_no_proto_cascade,anatomy,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,anatomy,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,anatomy,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,anatomy,lge_private,private,0.03812762489542365,0.20376574993133545,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,anatomy,shared,shared,0.2309361898805946,0.310398131608963,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,anatomy,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,edema,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,edema,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,edema,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,edema,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,edema,lge_private,private,0.08217285387217999,0.24351882934570312,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,edema,shared,shared,0.20891357166692615,0.349193811416626,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,edema,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,scar,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,scar,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,scar,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,scar,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,scar,lge_private,private,0.3223972022533417,0.3696139454841614,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,scar,shared,shared,0.08880139871810873,0.19167199730873108,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_no_proto_cascade,scar,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,anatomy,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,anatomy,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,anatomy,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,anatomy,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,anatomy,lge_private,private,0.03812762489542365,0.20376574993133545,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,anatomy,shared,shared,0.2309361898805946,0.310398131608963,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,anatomy,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,edema,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,edema,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,edema,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,edema,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,edema,lge_private,private,0.08217285387217999,0.24351882934570312,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,edema,shared,shared,0.20891357166692615,0.349193811416626,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,edema,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,scar,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,scar,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,scar,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,scar,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,scar,lge_private,private,0.3223972022533417,0.3696139454841614,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,scar,shared,shared,0.08880139871810873,0.19167199730873108,1.0,training_step_retrieval_usage_not_spatial_map
srr_propref_scar_precision,scar,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,anatomy,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,anatomy,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,anatomy,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,anatomy,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,anatomy,lge_private,private,0.03812762489542365,0.20376574993133545,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,anatomy,shared,shared,0.2309361898805946,0.310398131608963,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,anatomy,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,edema,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,edema,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,edema,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,edema,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,edema,lge_private,private,0.08217285387217999,0.24351882934570312,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,edema,shared,shared,0.20891357166692615,0.349193811416626,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,edema,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,scar,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,scar,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,scar,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,scar,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,scar,lge_private,private,0.3223972022533417,0.3696139454841614,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,scar,shared,shared,0.08880139871810873,0.19167199730873108,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_local_refine,scar,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,anatomy,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,anatomy,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,anatomy,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,anatomy,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,anatomy,lge_private,private,0.03812762489542365,0.20376574993133545,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,anatomy,shared,shared,0.2309361898805946,0.310398131608963,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,anatomy,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,edema,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,edema,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,edema,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,edema,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,edema,lge_private,private,0.08217285387217999,0.24351882934570312,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,edema,shared,shared,0.20891357166692615,0.349193811416626,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,edema,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,scar,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,scar,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,scar,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,scar,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,scar,lge_private,private,0.3223972022533417,0.3696139454841614,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,scar,shared,shared,0.08880139871810873,0.19167199730873108,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anatomy_roi,scar,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,anatomy,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,anatomy,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,anatomy,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,anatomy,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,anatomy,lge_private,private,0.03607672840977708,0.19146037101745605,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,anatomy,shared,shared,0.2319616343981276,0.3077329993247986,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,anatomy,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,edema,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,edema,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,edema,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,edema,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,edema,lge_private,private,0.12287225558732946,0.2422984540462494,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,edema,shared,shared,0.18856388074345887,0.3165847063064575,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,edema,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,scar,c0_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,scar,interaction_lge_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,scar,interaction_lge_t2,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,scar,interaction_t2_c0,interaction,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,scar,lge_private,private,0.3229030966758728,0.3620355725288391,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,scar,shared,shared,0.0885484564738969,0.19694426655769348,1.0,training_step_retrieval_usage_not_spatial_map
srr_v25_no_anchor,scar,t2_private,private,0.0,0.0,0.0,training_step_retrieval_usage_not_spatial_map
