class_id,component_count_mean,dice_mean,empty_prediction_rate,group,hd95_mean,hd_mean,metric_name,n,remote_fp_mean,variant
4,849.875,0.006600021724216404,0.0,gt_positive_only,194.23593767018426,247.8770922731215,myops_edema,16,768.9375,srr_propref_no_proto_cascade
4,849.875,0.006600021724216404,0.0,t2_present,194.23593767018426,247.8770922731215,myops_edema,16,768.9375,srr_propref_no_proto_cascade
4,849.875,0.006600021724216404,0.0,complete_modality,194.23593767018426,247.8770922731215,myops_edema,16,768.9375,srr_propref_no_proto_cascade
4,159.85714285714286,0.011569762215721518,0.0,CenterB,190.80977847027313,244.51328260143976,myops_edema,7,123.85714285714286,srr_propref_no_proto_cascade
4,1386.5555555555557,0.0027346680086013154,0.0,CenterC,196.900728159004,250.4933886844295,myops_edema,9,1270.6666666666667,srr_propref_no_proto_cascade
4,1275.75,0.0,0.0,C0+LGE,,,myops_edema,4,1275.75,srr_propref_no_proto_cascade
4,5026.291666666667,0.0,0.0,LGE-only,,,myops_edema,24,5026.291666666667,srr_propref_no_proto_cascade
4,4490.5,0.0,0.0,no_T2_empty_GT,,,myops_edema,28,4490.5,srr_propref_no_proto_cascade
5,6129.681818181818,0.003758729412395146,0.0,all_cases,202.03444202271368,242.30895728451273,myops_scar,44,5614.795454545455,srr_propref_no_proto_cascade
5,6137.53488372093,0.0038461417243113123,0.0,gt_positive_only,202.03444202271368,242.30895728451273,myops_scar,43,5610.674418604651,srr_propref_no_proto_cascade
5,7153.0,0.0008311174756597525,0.0,t2_present,215.20970362166395,251.70878650955012,myops_scar,16,7003.375,srr_propref_no_proto_cascade
5,7153.0,0.0008311174756597525,0.0,complete_modality,215.20970362166395,251.70878650955012,myops_scar,16,7003.375,srr_propref_no_proto_cascade
5,1794.5714285714287,0.0008683121191720739,0.0,CenterB,228.94584643753308,259.98145076569415,myops_scar,7,1626.4285714285713,srr_propref_no_proto_cascade
5,11320.666666666666,0.0008021883084835024,0.0,CenterC,204.52603698709908,245.27449208810475,myops_scar,9,11185.444444444445,srr_propref_no_proto_cascade
5,8252.25,0.00586765541036136,0.0,C0+LGE,203.03045377920768,233.72103377081916,myops_scar,4,7805.5,srr_propref_no_proto_cascade
5,5093.708333333333,0.005358983037224373,0.0,LGE-only,193.1264328205184,237.11589490703284,myops_scar,24,4323.958333333333,srr_propref_no_proto_cascade
5,5792.0,0.0,0.0,no_T2_empty_GT,,,myops_scar,1,5792.0,srr_propref_no_proto_cascade
