variant,checkpoint_name,case_id,center,modality_group,t2_present,class_id,metric_name,proposal_threshold,proposal_recall,proposal_precision,lesion_wise_recall,proposal_voxels,gt_voxels,proposal_component_count,proposal_small_fp_count,proposal_remote_fp_count,outside_myocardium_fp_ratio,proposal_gate_mean,proposal_gate_p95,pos_similarity_mean,neg_similarity_mean,memory_negative_similarity_mean
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,4,myops_edema,0.05,,,,0,0,0,0,0,,2.061150361498676e-09,2.061153470123145e-09,0.8252004981040955,0.8283414840698242,0.8283414840698242
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,4,myops_edema,0.1,,,,0,0,0,0,0,,2.061150361498676e-09,2.061153470123145e-09,0.8252004981040955,0.8283414840698242,0.8283414840698242
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,4,myops_edema,0.2,,,,0,0,0,0,0,,2.061150361498676e-09,2.061153470123145e-09,0.8252004981040955,0.8283414840698242,0.8283414840698242
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,4,myops_edema,0.3,,,,0,0,0,0,0,,2.061150361498676e-09,2.061153470123145e-09,0.8252004981040955,0.8283414840698242,0.8283414840698242
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,4,myops_edema,0.4,,,,0,0,0,0,0,,2.061150361498676e-09,2.061153470123145e-09,0.8252004981040955,0.8283414840698242,0.8283414840698242
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,4,myops_edema,0.5,,,,0,0,0,0,0,,2.061150361498676e-09,2.061153470123145e-09,0.8252004981040955,0.8283414840698242,0.8283414840698242
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,4,myops_edema,0.6,,,,0,0,0,0,0,,2.061150361498676e-09,2.061153470123145e-09,0.8252004981040955,0.8283414840698242,0.8283414840698242
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,4,myops_edema,0.7,,,,0,0,0,0,0,,2.061150361498676e-09,2.061153470123145e-09,0.8252004981040955,0.8283414840698242,0.8283414840698242
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,4,myops_edema,0.8,,,,0,0,0,0,0,,2.061150361498676e-09,2.061153470123145e-09,0.8252004981040955,0.8283414840698242,0.8283414840698242
srr_batch4_m10d3_full4scale_fold0_seed20260721_htzhulab_59682067,step_1800,Case1007,CenterA,LGE-only,False,4,myops_edema,0.9,,,,0,0,0,0,0,,2.061150361498676e-09,2.061153470123145e-09,0.8252004981040955,0.8283414840698242,0.8283414840698242
