checkpoint,checkpoint_sha256,case_id,split,metric_name,t2_present,dice,hd95,exact_hd,infinite_hd,lesion_recall,gt_component_count,pred_component_count,remote_fp_count,volume_ratio,empty_gt,empty_pred,nnunet_dice,dice_delta_vs_nnunet,nnunet_hd95,hd95_delta_vs_nnunet,help_vs_nnunet,harm_vs_nnunet
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1074,inner_select,scar,0.0,0.27479772250524426,27.796581199410053,35.298725189445584,False,0.3333333333333333,3,12,0,2.347880611988964,False,False,0.9188710289836729,-0.6440733064784286,1.0,26.796581199410053,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1074,inner_select,edema_zone,0.0,0.0,inf,inf,True,0.0,3,0,0,0.0,False,True,0.9188710289836729,-0.9188710289836729,1.0,inf,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1077,inner_select,scar,0.0,0.16076461217987992,12.727922061357855,17.349351572897472,False,0.5,2,7,0,6.293118856121537,False,False,0.8126901347240331,-0.6519255225441531,1.0,11.727922061357855,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case1077,inner_select,edema_zone,0.0,0.0,inf,inf,True,0.0,2,0,0,0.0,False,True,0.8126901347240331,-0.8126901347240331,1.0,inf,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2009,inner_select,scar,1.0,0.2978906586310805,34.292856398964496,40.01249804748511,False,1.0,1,2,0,4.139380530973451,False,False,0.5996219281663516,-0.30173126953527113,4.0,30.292856398964496,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2009,inner_select,edema_zone,1.0,0.57843696520251,3.7416573867739413,6.324555320336759,False,1.0,1,1,0,1.8895604395604395,False,False,0.7873822204014748,-0.20894525519896479,2.23606797749979,1.5055894092741515,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2011,inner_select,scar,1.0,0.45094989445617156,14.89966442575134,26.551836094703507,False,1.0,1,1,0,3.231781852374236,False,False,0.9236293990902562,-0.47267950463408465,1.0,13.89966442575134,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2011,inner_select,edema_zone,1.0,0.7251513113651648,4.47213595499958,166.35203635663737,False,1.0,1,3,0,1.2947530864197532,False,False,0.9362562189054726,-0.21110490754030786,1.0,3.4721359549995796,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2012,inner_select,scar,1.0,0.08826429980276135,140.06427096158393,170.66048165876012,False,1.0,1,10,0,8.197278911564625,False,False,0.6156202143950995,-0.5273559145923381,5.0,135.06427096158393,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2012,inner_select,edema_zone,1.0,0.23760591310618354,139.81451990343533,152.11837495845134,False,1.0,1,6,0,5.548996458087367,False,False,0.7308970099667774,-0.4932910968605939,7.864019761011889,131.95050014242344,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2016,inner_select,scar,1.0,0.35918064891758855,35.86084215408221,43.61192497471305,False,1.0,1,4,0,3.7613407258064515,False,False,0.8874420934017779,-0.5282614444841893,1.0,34.86084215408221,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2016,inner_select,edema_zone,1.0,0.5742291796203504,8.0,19.209372712298546,False,1.0,1,1,0,1.9024416135881104,False,False,0.886909288430201,-0.31268010880985064,1.4142135623730951,6.585786437626905,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2018,inner_select,scar,1.0,0.1959019204389575,46.216880033165374,52.896124621752776,False,1.0,1,3,0,3.29297018770703,False,False,0.9197121757242946,-0.7238102552853372,1.0,45.216880033165374,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2018,inner_select,edema_zone,1.0,0.4502910953456558,23.495743838124856,37.416573867739416,False,1.0,1,1,0,1.7713807088696878,False,False,0.9390329362298528,-0.48874184088419703,1.0,22.495743838124856,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2019,inner_select,scar,1.0,0.30240189001181256,11.614567001895379,28.35489375751565,False,1.0,1,2,0,5.613715277777778,False,False,0.9267849022282856,-0.6243830122164731,1.0,10.614567001895379,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2019,inner_select,edema_zone,1.0,0.6410649455425574,5.385164807134504,106.87375730271674,False,1.0,1,2,0,1.7992321589882565,False,False,0.890104662226451,-0.24903971668389357,2.0,3.3851648071345037,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2021,inner_select,scar,1.0,0.5313966480446928,152.23797160173663,157.44840424723267,False,1.0,1,8,0,2.3495508982035926,False,False,0.9026618990862137,-0.37126525104152097,1.0,151.23797160173663,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2021,inner_select,edema_zone,1.0,0.5958876495094745,154.93127506958743,165.14539048971363,False,1.0,1,5,0,1.8228376327769347,False,False,0.9285916422978965,-0.332703992788422,1.0,153.93127506958743,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2023,inner_select,scar,1.0,0.41330261444455574,31.953090617340916,39.8622628559895,False,1.0,1,5,0,2.8544401544401543,False,False,0.8803385917660639,-0.46703597732150814,1.0,30.953090617340916,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2023,inner_select,edema_zone,1.0,0.6405345825296225,9.433981132056603,30.54504869860253,False,1.0,1,1,0,1.6991446634436593,False,False,0.8878621619020117,-0.24732757937238925,1.7320508075688772,7.701930324487726,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2034,inner_select,scar,1.0,0.3836975050364172,26.076809620810597,33.60059523282288,False,1.0,1,5,0,3.8228699551569507,False,False,0.8926464805348014,-0.5089489754983842,1.0,25.076809620810597,False,True
results/20260729_care_prism_v2_backbone_repair_and_resume/runtime/fold0_w3_fold0_6500_formal_v2/checkpoints/checkpoint_step00500.pt,48bcc46f2809c7cefaacbe6ceb44425a40931e72343dedb0bc3966316cdaa48b,Case2034,inner_select,edema_zone,1.0,0.4833644278606965,10.04987562112089,25.0,False,1.0,1,2,0,3.1099041533546328,False,False,0.8943466172381835,-0.41098218937748704,1.0,9.04987562112089,False,True
