checkpoint_path,checkpoint_role,comparison_tier,edema_dice,epoch,max_epochs,model_id,role,scar_dice,selection_policy,sha256
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/fine_scar/best_scar.pt,scar,FAIR_CLEAN_FOLD0_RANDOM_INIT,0.11531605310469495,190,300,clean_pathology_scar_terminal_edema,clean_fold0_fixed_primary_merged,0.5164185062885442,pathology_specific_scar_plus_terminal_edema_predeclared,457d8ff93b9113656995e76eb3efb75f881a445f369ed1885e12b0a46cf1d5c5
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/edema/last.pt,edema,FAIR_CLEAN_FOLD0_RANDOM_INIT,0.5903712990701147,200,,clean_pathology_scar_terminal_edema,clean_fold0_fixed_primary_merged,,pathology_specific_scar_plus_terminal_edema_predeclared,90ecb54b63ea4f9a9d7cb0d38f7a7ceddbdee417121df9e2ddfdd7b82708ddaf
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/coarse/best.pt,coarse_scar,FAIR_CLEAN_FOLD0_RANDOM_INIT_TERMINAL_BUDGET,,40,40,clean_terminal_budget,clean_fold0_terminal_budget_control,,terminal_epoch_control,3274fdd238e86046dcd3d7d755e8a340785be4dcd9961d6d67a01bd55a939e39
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/coarse/best.pt,coarse_edema,FAIR_CLEAN_FOLD0_RANDOM_INIT_TERMINAL_BUDGET,,40,40,clean_terminal_budget,clean_fold0_terminal_budget_control,,terminal_epoch_control,3274fdd238e86046dcd3d7d755e8a340785be4dcd9961d6d67a01bd55a939e39
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/fine_scar/last.pt,scar,FAIR_CLEAN_FOLD0_RANDOM_INIT_TERMINAL_BUDGET,0.11321096965895625,300,300,clean_terminal_budget,clean_fold0_terminal_budget_control,0.5104838406168852,terminal_epoch_control,7c8a5e45697b4849779776df5f04c02f0f3ea042b698ef0ad807640ecc110aef
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/edema/last.pt,edema,FAIR_CLEAN_FOLD0_RANDOM_INIT_TERMINAL_BUDGET,0.5903712990701147,200,,clean_terminal_budget,clean_fold0_terminal_budget_control,,terminal_epoch_control,90ecb54b63ea4f9a9d7cb0d38f7a7ceddbdee417121df9e2ddfdd7b82708ddaf
/users/a/e/aereinh/MoSAIC/code/weights/myops/coarse.pt,coarse_scar,FULL_DATA_LEAKAGE_CONTAMINATED_DIAGNOSTIC,,40,,full_data_submission_recipe,full_data_leakage_contaminated_diagnostic,,google_drive_submission_recipe_two_coarse_tta_cleanup,aae815c3dd50d6776e2af769551e8d6918a5dee4f83f29309a254051e067080c
/users/a/e/aereinh/MoSAIC/code/weights/myops/coarse_edema.pt,coarse_edema,FULL_DATA_LEAKAGE_CONTAMINATED_DIAGNOSTIC,,20,,full_data_submission_recipe,full_data_leakage_contaminated_diagnostic,,google_drive_submission_recipe_two_coarse_tta_cleanup,b9b596f1f5475ac852bf2c0be38a72c59e538dd3199f1f4989983433506ed9d4
/users/a/e/aereinh/MoSAIC/code/weights/myops/fine_scar.pt,scar,FULL_DATA_LEAKAGE_CONTAMINATED_DIAGNOSTIC,,300,,full_data_submission_recipe,full_data_leakage_contaminated_diagnostic,,google_drive_submission_recipe_two_coarse_tta_cleanup,94c54de3321000eabbc3c3a42a5d838410fb859a1c5b2460e6c2f6d773622ded
/users/a/e/aereinh/MoSAIC/code/weights/myops/edema.pt,edema,FULL_DATA_LEAKAGE_CONTAMINATED_DIAGNOSTIC,,200,,full_data_submission_recipe,full_data_leakage_contaminated_diagnostic,,google_drive_submission_recipe_two_coarse_tta_cleanup,14a6a53f643bdbbac4c8234af2aa86e8a43423b761013f7b7f580965e1ed503c
