fold,event,timestamp,epochs,steps_per_epoch,last_loss,device
2,epoch,2026-08-01T05:08:44.009254+00:00,29,2900,0.12065809965133667,cuda
2,epoch,2026-08-01T05:08:48.427019+00:00,30,3000,0.2705855071544647,cuda
2,epoch,2026-08-01T05:08:55.029151+00:00,31,3100,0.2346537858247757,cuda
2,epoch,2026-08-01T05:08:59.447854+00:00,32,3200,0.27079302072525024,cuda
2,epoch,2026-08-01T05:09:03.874800+00:00,33,3300,0.15360063314437866,cuda
2,epoch,2026-08-01T05:09:08.306025+00:00,34,3400,0.1633927822113037,cuda
2,epoch,2026-08-01T05:09:12.732038+00:00,35,3500,0.1820623278617859,cuda
2,epoch,2026-08-01T05:09:19.306742+00:00,36,3600,0.17802459001541138,cuda
2,epoch,2026-08-01T05:09:23.747540+00:00,37,3700,0.09964059293270111,cuda
2,epoch,2026-08-01T05:09:28.172063+00:00,38,3800,0.14166288077831268,cuda
2,epoch,2026-08-01T05:09:32.582763+00:00,39,3900,0.22802633047103882,cuda
2,epoch,2026-08-01T05:09:37.056257+00:00,40,4000,0.16942772269248962,cuda
2,epoch,2026-08-01T05:09:43.672393+00:00,41,4100,0.16993127763271332,cuda
2,epoch,2026-08-01T05:09:48.121021+00:00,42,4200,0.1111365556716919,cuda
2,epoch,2026-08-01T05:09:52.991190+00:00,43,4300,0.143834188580513,cuda
2,epoch,2026-08-01T05:09:57.391414+00:00,44,4400,0.09958744049072266,cuda
2,epoch,2026-08-01T05:10:01.834201+00:00,45,4500,0.14412671327590942,cuda
2,epoch,2026-08-01T05:10:08.488305+00:00,46,4600,0.0965052917599678,cuda
2,epoch,2026-08-01T05:10:12.903193+00:00,47,4700,0.10123004764318466,cuda
2,epoch,2026-08-01T05:10:17.295666+00:00,48,4800,0.13707488775253296,cuda
2,epoch,2026-08-01T05:10:21.720449+00:00,49,4900,0.12261811643838882,cuda
2,epoch,2026-08-01T05:10:26.095456+00:00,50,5000,0.09533850848674774,cuda
2,epoch,2026-08-01T05:10:32.875006+00:00,51,5100,0.13202425837516785,cuda
2,epoch,2026-08-01T05:10:37.250031+00:00,52,5200,0.13408519327640533,cuda
2,epoch,2026-08-01T05:10:41.674670+00:00,53,5300,0.08318459987640381,cuda
2,epoch,2026-08-01T05:10:46.161594+00:00,54,5400,0.14310887455940247,cuda
2,epoch,2026-08-01T05:10:50.592028+00:00,55,5500,0.12004023790359497,cuda
2,epoch,2026-08-01T05:10:57.237604+00:00,56,5600,0.13710013031959534,cuda
2,epoch,2026-08-01T05:11:01.643499+00:00,57,5700,0.10067630559206009,cuda
2,epoch,2026-08-01T05:11:06.063728+00:00,58,5800,0.13250388205051422,cuda
2,epoch,2026-08-01T05:11:10.487985+00:00,59,5900,0.13154181838035583,cuda
2,epoch,2026-08-01T05:11:14.913332+00:00,60,6000,0.14865416288375854,cuda
2,complete,2026-08-01T05:11:17.248706+00:00,60,6000,0.14865416288375854,cuda
3,start,2026-08-01T05:11:21.271130+00:00,60,100,,cuda
3,epoch,2026-08-01T05:11:26.227100+00:00,1,100,1.2816362380981445,cuda
3,epoch,2026-08-01T05:11:30.770365+00:00,2,200,1.1402664184570312,cuda
3,epoch,2026-08-01T05:11:35.221002+00:00,3,300,0.8065891861915588,cuda
3,epoch,2026-08-01T05:11:39.598835+00:00,4,400,0.555239200592041,cuda
3,epoch,2026-08-01T05:11:43.955859+00:00,5,500,0.5609548091888428,cuda
3,epoch,2026-08-01T05:11:50.484008+00:00,6,600,0.4786303639411926,cuda
3,epoch,2026-08-01T05:11:54.863281+00:00,7,700,0.3523593544960022,cuda
3,epoch,2026-08-01T05:11:59.256794+00:00,8,800,0.27566105127334595,cuda
3,epoch,2026-08-01T05:12:03.572700+00:00,9,900,0.29758286476135254,cuda
3,epoch,2026-08-01T05:12:07.894363+00:00,10,1000,0.27273616194725037,cuda
3,epoch,2026-08-01T05:12:14.243056+00:00,11,1100,0.37184545397758484,cuda
3,epoch,2026-08-01T05:12:18.627384+00:00,12,1200,0.31620925664901733,cuda
3,epoch,2026-08-01T05:12:22.948775+00:00,13,1300,0.33689019083976746,cuda
3,epoch,2026-08-01T05:12:27.324117+00:00,14,1400,0.37097039818763733,cuda
3,epoch,2026-08-01T05:12:31.672054+00:00,15,1500,0.1928764134645462,cuda
3,epoch,2026-08-01T05:12:38.261644+00:00,16,1600,0.24976034462451935,cuda
3,epoch,2026-08-01T05:12:42.533306+00:00,17,1700,0.16545988619327545,cuda
3,epoch,2026-08-01T05:12:46.782270+00:00,18,1800,0.15008488297462463,cuda
3,epoch,2026-08-01T05:12:51.158157+00:00,19,1900,0.4218177795410156,cuda
3,epoch,2026-08-01T05:12:55.472912+00:00,20,2000,0.18930959701538086,cuda
3,epoch,2026-08-01T05:13:01.903602+00:00,21,2100,0.26545101404190063,cuda
3,epoch,2026-08-01T05:13:06.583431+00:00,22,2200,0.21429982781410217,cuda
3,epoch,2026-08-01T05:13:10.777705+00:00,23,2300,0.16680371761322021,cuda
3,epoch,2026-08-01T05:13:14.955251+00:00,24,2400,0.17922592163085938,cuda
3,epoch,2026-08-01T05:13:19.191882+00:00,25,2500,0.16597215831279755,cuda
3,epoch,2026-08-01T05:13:25.619940+00:00,26,2600,0.20540419220924377,cuda
3,epoch,2026-08-01T05:13:29.800306+00:00,27,2700,0.15378767251968384,cuda
3,epoch,2026-08-01T05:13:33.933036+00:00,28,2800,0.17455264925956726,cuda
3,epoch,2026-08-01T05:13:38.035925+00:00,29,2900,0.17203335464000702,cuda
3,epoch,2026-08-01T05:13:42.116592+00:00,30,3000,0.18171551823616028,cuda
3,epoch,2026-08-01T05:13:48.443079+00:00,31,3100,0.15152508020401,cuda
3,epoch,2026-08-01T05:13:52.605707+00:00,32,3200,0.14493262767791748,cuda
3,epoch,2026-08-01T05:13:56.735652+00:00,33,3300,0.13165730237960815,cuda
3,epoch,2026-08-01T05:14:00.937389+00:00,34,3400,0.12991471588611603,cuda
3,epoch,2026-08-01T05:14:05.090311+00:00,35,3500,0.16121655702590942,cuda
3,epoch,2026-08-01T05:14:11.197757+00:00,36,3600,0.18631237745285034,cuda
3,epoch,2026-08-01T05:14:15.371745+00:00,37,3700,0.2410207986831665,cuda
3,epoch,2026-08-01T05:14:19.555886+00:00,38,3800,0.13507363200187683,cuda
3,epoch,2026-08-01T05:14:23.697719+00:00,39,3900,0.09062260389328003,cuda
3,epoch,2026-08-01T05:14:27.898432+00:00,40,4000,0.1480593979358673,cuda
3,epoch,2026-08-01T05:14:34.071288+00:00,41,4100,0.10724954307079315,cuda
3,epoch,2026-08-01T05:14:38.242516+00:00,42,4200,0.22941401600837708,cuda
3,epoch,2026-08-01T05:14:42.475045+00:00,43,4300,0.11404486000537872,cuda
3,epoch,2026-08-01T05:14:46.713999+00:00,44,4400,0.07700441777706146,cuda
3,epoch,2026-08-01T05:14:51.004577+00:00,45,4500,0.1783263087272644,cuda
3,epoch,2026-08-01T05:14:57.304182+00:00,46,4600,0.14318156242370605,cuda
3,epoch,2026-08-01T05:15:01.499342+00:00,47,4700,0.10027694702148438,cuda
3,epoch,2026-08-01T05:15:05.729412+00:00,48,4800,0.06353167444467545,cuda
3,epoch,2026-08-01T05:15:09.903900+00:00,49,4900,0.10265251249074936,cuda
3,epoch,2026-08-01T05:15:14.082701+00:00,50,5000,0.1187140941619873,cuda
3,epoch,2026-08-01T05:15:20.258166+00:00,51,5100,0.200445756316185,cuda
3,epoch,2026-08-01T05:15:24.491528+00:00,52,5200,0.15645189583301544,cuda
3,epoch,2026-08-01T05:15:28.675934+00:00,53,5300,0.16195926070213318,cuda
3,epoch,2026-08-01T05:15:32.876701+00:00,54,5400,0.19170108437538147,cuda
3,epoch,2026-08-01T05:15:37.089347+00:00,55,5500,0.12997476756572723,cuda
3,epoch,2026-08-01T05:15:43.325509+00:00,56,5600,0.21858277916908264,cuda
3,epoch,2026-08-01T05:15:47.531257+00:00,57,5700,0.09849007427692413,cuda
3,epoch,2026-08-01T05:15:51.749176+00:00,58,5800,0.08901524543762207,cuda
3,epoch,2026-08-01T05:15:55.939984+00:00,59,5900,0.24155232310295105,cuda
3,epoch,2026-08-01T05:16:00.118119+00:00,60,6000,0.13764001429080963,cuda
3,complete,2026-08-01T05:16:02.365400+00:00,60,6000,0.13764001429080963,cuda
