variant,case_id,runtime_prediction_path,device,patch_size_zyx,sliding_window_count,elapsed_seconds,status
A1,Case1068,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case1068.nii.gz,cuda,20x256x256,2,0.101,COMPLETED
A1,Case1071,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case1071.nii.gz,cuda,20x256x256,1,0.057,COMPLETED
A1,Case1079,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case1079.nii.gz,cuda,20x256x256,3,0.153,COMPLETED
A1,Case1081,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case1081.nii.gz,cuda,20x256x256,1,0.035,COMPLETED
A1,Case2010,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case2010.nii.gz,cuda,20x256x256,1,0.036,COMPLETED
A1,Case2015,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case2015.nii.gz,cuda,20x256x256,1,0.04,COMPLETED
A1,Case2021,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case2021.nii.gz,cuda,20x256x256,1,0.035,COMPLETED
A1,Case2024,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case2024.nii.gz,cuda,20x256x256,1,0.035,COMPLETED
A1,Case2027,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case2027.nii.gz,cuda,20x256x256,1,0.036,COMPLETED
A1,Case3008,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case3008.nii.gz,cuda,20x256x256,1,0.041,COMPLETED
A1,Case3009,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case3009.nii.gz,cuda,20x256x256,1,0.061,COMPLETED
A1,Case5006,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case5006.nii.gz,cuda,20x256x256,1,0.035,COMPLETED
A1,Case6003,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case6003.nii.gz,cuda,20x256x256,1,0.045,COMPLETED
A1,Case6009,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case6009.nii.gz,cuda,20x256x256,1,0.046,COMPLETED
A1,Case7001,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case7001.nii.gz,cuda,20x256x256,1,0.035,COMPLETED
A1,Case7002,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case7002.nii.gz,cuda,20x256x256,1,0.038,COMPLETED
A1,Case8001,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case8001.nii.gz,cuda,20x256x256,1,0.036,COMPLETED
A1,Case8012,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case8012.nii.gz,cuda,20x256x256,1,0.035,COMPLETED
A1,Case8014,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case8014.nii.gz,cuda,20x256x256,1,0.035,COMPLETED
A1,Case8016,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case8016.nii.gz,cuda,20x256x256,1,0.034,COMPLETED
A1,Case8030,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case8030.nii.gz,cuda,20x256x256,1,0.033,COMPLETED
A1,Case8035,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A1/Case8035.nii.gz,cuda,20x256x256,1,0.036,COMPLETED
A2,Case1014,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case1014.nii.gz,cuda,20x256x256,1,0.095,COMPLETED
A2,Case1017,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case1017.nii.gz,cuda,20x256x256,1,0.065,COMPLETED
A2,Case1018,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case1018.nii.gz,cuda,20x256x256,1,0.061,COMPLETED
A2,Case1025,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case1025.nii.gz,cuda,20x256x256,2,0.161,COMPLETED
A2,Case1027,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case1027.nii.gz,cuda,20x256x256,1,0.081,COMPLETED
A2,Case1031,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case1031.nii.gz,cuda,20x256x256,1,0.085,COMPLETED
A2,Case1034,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case1034.nii.gz,cuda,20x256x256,1,0.08,COMPLETED
A2,Case1039,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case1039.nii.gz,cuda,20x256x256,1,0.079,COMPLETED
A2,Case1044,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case1044.nii.gz,cuda,20x256x256,1,0.077,COMPLETED
A2,Case1046,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case1046.nii.gz,cuda,20x256x256,1,0.06,COMPLETED
A2,Case1052,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case1052.nii.gz,cuda,20x256x256,1,0.065,COMPLETED
A2,Case1064,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case1064.nii.gz,cuda,20x256x256,2,0.17,COMPLETED
A2,Case1066,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case1066.nii.gz,cuda,20x256x256,1,0.09,COMPLETED
A2,Case1068,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case1068.nii.gz,cuda,20x256x256,2,0.157,COMPLETED
A2,Case1071,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case1071.nii.gz,cuda,20x256x256,1,0.089,COMPLETED
A2,Case1079,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case1079.nii.gz,cuda,20x256x256,3,0.238,COMPLETED
A2,Case1081,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case1081.nii.gz,cuda,20x256x256,1,0.059,COMPLETED
A2,Case2010,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case2010.nii.gz,cuda,20x256x256,1,0.062,COMPLETED
A2,Case2015,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case2015.nii.gz,cuda,20x256x256,1,0.055,COMPLETED
A2,Case2021,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case2021.nii.gz,cuda,20x256x256,1,0.055,COMPLETED
A2,Case2024,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case2024.nii.gz,cuda,20x256x256,1,0.056,COMPLETED
A2,Case2027,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case2027.nii.gz,cuda,20x256x256,1,0.056,COMPLETED
A2,Case3008,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case3008.nii.gz,cuda,20x256x256,1,0.061,COMPLETED
A2,Case3009,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case3009.nii.gz,cuda,20x256x256,1,0.079,COMPLETED
A2,Case5006,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case5006.nii.gz,cuda,20x256x256,1,0.055,COMPLETED
A2,Case6003,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case6003.nii.gz,cuda,20x256x256,1,0.064,COMPLETED
A2,Case6009,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case6009.nii.gz,cuda,20x256x256,1,0.063,COMPLETED
A2,Case7001,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case7001.nii.gz,cuda,20x256x256,1,0.055,COMPLETED
A2,Case7002,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case7002.nii.gz,cuda,20x256x256,1,0.056,COMPLETED
A2,Case8001,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case8001.nii.gz,cuda,20x256x256,1,0.062,COMPLETED
A2,Case8012,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case8012.nii.gz,cuda,20x256x256,1,0.056,COMPLETED
A2,Case8014,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case8014.nii.gz,cuda,20x256x256,1,0.059,COMPLETED
A2,Case8016,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case8016.nii.gz,cuda,20x256x256,1,0.054,COMPLETED
A2,Case8030,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case8030.nii.gz,cuda,20x256x256,1,0.055,COMPLETED
A2,Case8035,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A2/Case8035.nii.gz,cuda,20x256x256,1,0.061,COMPLETED
A3,Case1014,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case1014.nii.gz,cuda,20x256x256,1,0.098,COMPLETED
A3,Case1017,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case1017.nii.gz,cuda,20x256x256,1,0.096,COMPLETED
A3,Case1018,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case1018.nii.gz,cuda,20x256x256,1,0.098,COMPLETED
A3,Case1025,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case1025.nii.gz,cuda,20x256x256,2,0.228,COMPLETED
A3,Case1027,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case1027.nii.gz,cuda,20x256x256,1,0.115,COMPLETED
A3,Case1031,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case1031.nii.gz,cuda,20x256x256,1,0.11,COMPLETED
A3,Case1034,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case1034.nii.gz,cuda,20x256x256,1,0.108,COMPLETED
A3,Case1039,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case1039.nii.gz,cuda,20x256x256,1,0.109,COMPLETED
A3,Case1044,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case1044.nii.gz,cuda,20x256x256,1,0.108,COMPLETED
A3,Case1046,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case1046.nii.gz,cuda,20x256x256,1,0.091,COMPLETED
A3,Case1052,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case1052.nii.gz,cuda,20x256x256,1,0.091,COMPLETED
A3,Case1064,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case1064.nii.gz,cuda,20x256x256,2,0.226,COMPLETED
A3,Case1066,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case1066.nii.gz,cuda,20x256x256,1,0.118,COMPLETED
A3,Case1068,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case1068.nii.gz,cuda,20x256x256,2,0.204,COMPLETED
A3,Case1071,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case1071.nii.gz,cuda,20x256x256,1,0.112,COMPLETED
A3,Case1079,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case1079.nii.gz,cuda,20x256x256,3,0.332,COMPLETED
A3,Case1081,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A3/Case1081.nii.gz,cuda,20x256x256,1,0.087,COMPLETED
