fold,checkpoint_step,parameter_group,reference,covered_parameter_tensors,missing_parameter_tensors,weight_norm,reference_weight_norm,update_l2_norm,relative_l2_parameter_drift,cosine_similarity,status,path,error
3,4000,new_scar_modules,step2000,89,0,24.30643411,24.63241472,2.273749997,0.09230723107,0.9957712937,COMPLETE,,
3,4000,edema_modules,stock_initialization,152,0,38.00096889,36.86423168,41.99835205,1.139271053,0.3709047957,COMPLETE,,
3,4000,edema_modules,step2000,152,0,38.00096889,37.86126063,3.207869438,0.08472695799,0.9964306579,COMPLETE,,
3,6000,upper_two_encoder,stock_initialization,16,0,9.385080792,8.825227834,3.027377387,0.3430367402,0.9465726094,COMPLETE,,
3,6000,upper_two_encoder,step2000,16,0,9.385080792,8.825227834,3.027377387,0.3430367402,0.9465726094,COMPLETE,,
3,6000,shared_low_mid_decoder,stock_initialization,40,0,32.20884706,28.42192359,12.76213323,0.4490242607,0.9188842612,COMPLETE,,
3,6000,shared_low_mid_decoder,step2000,40,0,32.20884706,28.42192359,12.76213323,0.4490242607,0.9188842612,COMPLETE,,
3,6000,anatomy_decoder,stock_initialization,24,0,14.36673663,13.79546236,2.857484909,0.2071322319,0.9802246122,COMPLETE,,
3,6000,anatomy_decoder,step2000,24,0,14.36673663,13.79546236,2.857484909,0.2071322319,0.9802246122,COMPLETE,,
3,6000,scar_cloned_pathology_blocks,stock_initialization,20,0,13.17072071,12.12368676,3.368836657,0.2778722944,0.9678955485,COMPLETE,,
3,6000,scar_cloned_pathology_blocks,step2000,20,0,13.17072071,12.43172989,2.282921098,0.1836366394,0.9857526695,COMPLETE,,
3,6000,scar_classifier,stock_initialization,4,0,4.050036355,3.176172942,1.267748021,0.3991432595,0.9672118511,COMPLETE,,
3,6000,scar_classifier,step2000,4,0,4.050036355,3.575679414,0.6658513777,0.1862167439,0.9924613325,COMPLETE,,
3,6000,new_scar_modules,stock_initialization,89,0,24.21747731,24.87267032,30.93681498,1.243807544,0.205900262,COMPLETE,,
3,6000,new_scar_modules,step2000,89,0,24.21747731,24.63241472,3.324826084,0.1349776756,0.9908787334,COMPLETE,,
3,6000,edema_modules,stock_initialization,152,0,38.17978422,36.86423168,42.12936884,1.142825089,0.3700913595,COMPLETE,,
3,6000,edema_modules,step2000,152,0,38.17978422,37.86126063,4.723188475,0.1247498999,0.9923187478,COMPLETE,,
