total_step,pathology,group,case_count,metric_case_count,anchor_dice_mean,srr_dice_mean,dice_delta_mean,anchor_hd95_mean,srr_hd95_mean,hd95_delta_mean,anchor_remote_fp_volume_mm3_mean,srr_remote_fp_volume_mm3_mean,remote_fp_delta_mm3_mean,changed_voxels_vs_anchor_mean
200,myops_scar,LGE-only,24,24,0.501789292579108,0.49971674643239555,-0.002072546146712366,16.87568991233629,16.922385723700305,0.04669581136401723,1136.5953133405244,1104.569056881496,-32.02625645902838,42.75
200,myops_scar,t2_present,16,16,0.6933346102422654,0.6857198057842746,-0.007614804457990773,9.267223535037347,9.120709876176747,-0.146513658860601,1.102447509765625,18.741607666015625,17.63916015625,135.5
400,myops_edema,all_cases,44,44,0.7797948718832686,0.7814045791012822,0.0016097072180135277,7.276922314931449,7.175282949412878,-0.10163936551857092,86.19135076349431,90.08751552808185,3.896164764587536,50.90909090909091
400,myops_edema,gt_positive_only,16,16,0.3944358976789887,0.39886259252852585,0.004426694849537201,20.011536366061485,19.732028110885413,-0.27950825517607003,237.02621459960938,247.7406677022251,10.714453102615725,140.0
400,myops_edema,CenterB,7,7,0.5029744773313501,0.5076805750452408,0.004706097713890697,15.933514343740368,15.759878214398102,-0.17363612934226477,541.7742047991071,521.6151646205357,-20.159040178571427,91.14285714285714
400,myops_edema,CenterC,9,9,0.3100170023938187,0.31422638390441426,0.0042093815105955935,23.18333127231124,22.821478030375545,-0.36185324193569635,0.0,34.72717009909462,34.72717009909462,178.0
400,myops_edema,LGE-only,24,24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,myops_edema,t2_present,16,16,0.3944358976789887,0.39886259252852585,0.004426694849537201,20.011536366061485,19.732028110885413,-0.27950825517607003,237.02621459960938,247.7406677022251,10.714453102615725,140.0
400,myops_scar,all_cases,44,44,0.5601692281262312,0.557872033081281,-0.002297195044950228,13.600533414596173,13.5352367714806,-0.06529664311557362,620.3619700074735,623.4602583499793,3.098288342505857,47.61363636363637
400,myops_scar,gt_positive_only,43,43,0.573196419478004,0.5708458012924736,-0.002350618185530466,13.600533414596173,13.5352367714806,-0.06529664311557362,634.7889925657869,637.9593341255603,3.1703415597734352,48.46511627906977
400,myops_scar,CenterB,7,7,0.6131815991584469,0.6081671024535484,-0.00501449670489846,12.440137428805636,12.652749203036892,0.21261177423125613,2.5198800223214284,40.318080357142854,37.79820033482143,71.57142857142857
400,myops_scar,CenterC,9,9,0.7556758410852354,0.7495126061323908,-0.00616323495284463,6.799401617662012,6.420792377859619,-0.3786092398023943,0.0,0.0,0.0,133.88888888888889
400,myops_scar,LGE-only,24,24,0.501789292579108,0.5012546231633044,-0.0005346694158035176,16.87568991233629,16.96753347738028,0.09184356504399024,1136.5953133405244,1131.251033537462,-5.344279803062179,11.416666666666666
400,myops_scar,t2_present,16,16,0.6933346102422654,0.6876739482728973,-0.00566066196936818,9.267223535037347,9.147273488874674,-0.11995004616267227,1.102447509765625,17.63916015625,16.536712646484375,106.625
600,myops_edema,all_cases,44,44,0.7797948718832686,0.7814101695581853,0.0016152976749166507,7.276922314931449,7.161489883030112,-0.1154324319013368,86.19135076349431,90.76401884170058,4.572668078206262,48.02272727272727
600,myops_edema,gt_positive_only,16,16,0.3944358976789887,0.3988779662850095,0.0044420686060207895,20.011536366061485,19.694097178332807,-0.3174391877286762,237.02621459960938,249.6010518146766,12.57483721506722,132.0625
600,myops_edema,CenterB,7,7,0.5029744773313501,0.5069360308436685,0.003961553512318329,15.933514343740368,15.76021458739194,-0.17329975634842704,541.7742047991071,521.6151646205357,-20.159040178571427,86.14285714285714
600,myops_edema,CenterC,9,9,0.3100170023938187,0.314832804961608,0.0048158025677893694,23.18333127231124,22.75378363795348,-0.4295476343577589,0.0,38.03451963234173,38.03451963234173,167.77777777777777
600,myops_edema,LGE-only,24,24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,myops_edema,t2_present,16,16,0.3944358976789887,0.3988779662850095,0.0044420686060207895,20.011536366061485,19.694097178332807,-0.3174391877286762,237.02621459960938,249.6010518146766,12.57483721506722,132.0625
600,myops_scar,all_cases,44,44,0.5601692281262312,0.5582184582697202,-0.0019507698565110682,13.600533414596173,13.241373312962056,-0.35916010163412065,620.3619700074735,628.2275547521785,7.865584744705072,46.81818181818182
