case_id,transition,from_label,to_label,voxel_count
Case1021,anchor_to_after_edema,2,2,12348
Case1021,anchor_to_after_edema,5,5,1452
Case1021,after_edema_to_final_scar_priority,0,0,765901
Case1021,after_edema_to_final_scar_priority,1,1,6731
Case1021,after_edema_to_final_scar_priority,2,2,12348
Case1021,after_edema_to_final_scar_priority,5,5,1452
Case1021,anchor_to_final,0,0,765901
Case1021,anchor_to_final,1,1,6731
Case1021,anchor_to_final,2,2,12348
Case1021,anchor_to_final,5,5,1452
Case1023,anchor_to_after_edema,0,0,1335473
Case1023,anchor_to_after_edema,1,1,11669
Case1023,anchor_to_after_edema,2,2,26610
Case1023,anchor_to_after_edema,5,5,2504
Case1023,after_edema_to_final_scar_priority,0,0,1335473
Case1023,after_edema_to_final_scar_priority,1,1,11669
Case1023,after_edema_to_final_scar_priority,2,2,26610
Case1023,after_edema_to_final_scar_priority,5,5,2504
Case1023,anchor_to_final,0,0,1335473
Case1023,anchor_to_final,1,1,11669
Case1023,anchor_to_final,2,2,26610
Case1023,anchor_to_final,5,5,2504
Case1029,anchor_to_after_edema,0,0,1201468
Case1029,anchor_to_after_edema,1,1,9826
Case1029,anchor_to_after_edema,2,2,28963
Case1029,anchor_to_after_edema,5,5,4927
Case1029,after_edema_to_final_scar_priority,0,0,1201468
Case1029,after_edema_to_final_scar_priority,1,1,9826
Case1029,after_edema_to_final_scar_priority,2,2,28963
Case1029,after_edema_to_final_scar_priority,5,5,4927
Case1029,anchor_to_final,0,0,1201468
Case1029,anchor_to_final,1,1,9826
Case1029,anchor_to_final,2,2,28963
Case1029,anchor_to_final,5,5,4927
Case1033,anchor_to_after_edema,0,0,1273497
Case1033,anchor_to_after_edema,1,1,6332
Case1033,anchor_to_after_edema,2,2,25031
Case1033,anchor_to_after_edema,5,5,5860
Case1033,after_edema_to_final_scar_priority,0,0,1273497
Case1033,after_edema_to_final_scar_priority,1,1,6332
Case1033,after_edema_to_final_scar_priority,2,2,25031
Case1033,after_edema_to_final_scar_priority,5,5,5860
Case1033,anchor_to_final,0,0,1273497
Case1033,anchor_to_final,1,1,6332
Case1033,anchor_to_final,2,2,25031
Case1033,anchor_to_final,5,5,5860
Case1040,anchor_to_after_edema,0,0,761411
Case1040,anchor_to_after_edema,1,1,4541
Case1040,anchor_to_after_edema,2,2,17574
Case1040,anchor_to_after_edema,5,5,2906
Case1040,after_edema_to_final_scar_priority,0,0,761411
Case1040,after_edema_to_final_scar_priority,1,1,4541
Case1040,after_edema_to_final_scar_priority,2,2,17574
Case1040,after_edema_to_final_scar_priority,5,5,2906
Case1040,anchor_to_final,0,0,761411
Case1040,anchor_to_final,1,1,4541
Case1040,anchor_to_final,2,2,17574
Case1040,anchor_to_final,5,5,2906
Case1042,anchor_to_after_edema,0,0,447563
Case1042,anchor_to_after_edema,1,1,3103
Case1042,anchor_to_after_edema,2,2,7162
Case1042,anchor_to_after_edema,5,5,924
Case1042,after_edema_to_final_scar_priority,0,0,447563
Case1042,after_edema_to_final_scar_priority,1,1,3103
Case1042,after_edema_to_final_scar_priority,2,2,7162
Case1042,after_edema_to_final_scar_priority,5,5,924
Case1042,anchor_to_final,0,0,447563
Case1042,anchor_to_final,1,1,3103
Case1042,anchor_to_final,2,2,7162
Case1042,anchor_to_final,5,5,924
Case1045,anchor_to_after_edema,0,0,567805
Case1045,anchor_to_after_edema,1,1,5960
Case1045,anchor_to_after_edema,2,2,15621
Case1045,anchor_to_after_edema,5,5,438
Case1045,after_edema_to_final_scar_priority,0,0,567805
Case1045,after_edema_to_final_scar_priority,1,1,5960
Case1045,after_edema_to_final_scar_priority,2,2,15621
Case1045,after_edema_to_final_scar_priority,5,5,438
Case1045,anchor_to_final,0,0,567805
Case1045,anchor_to_final,1,1,5960
Case1045,anchor_to_final,2,2,15621
Case1045,anchor_to_final,5,5,438
Case1047,anchor_to_after_edema,0,0,1535470
Case1047,anchor_to_after_edema,1,1,11424
Case1047,anchor_to_after_edema,2,2,21880
Case1047,anchor_to_after_edema,5,5,4090
Case1047,after_edema_to_final_scar_priority,0,0,1535470
Case1047,after_edema_to_final_scar_priority,1,1,11424
Case1047,after_edema_to_final_scar_priority,2,2,21880
Case1047,after_edema_to_final_scar_priority,5,5,4090
Case1047,anchor_to_final,0,0,1535470
Case1047,anchor_to_final,1,1,11424
Case1047,anchor_to_final,2,2,21880
Case1047,anchor_to_final,5,5,4090
Case1053,anchor_to_after_edema,0,0,568876
Case1053,anchor_to_after_edema,1,1,4262
Case1053,anchor_to_after_edema,2,2,15928
Case1053,anchor_to_after_edema,5,5,758
Case1053,after_edema_to_final_scar_priority,0,0,568876
Case1053,after_edema_to_final_scar_priority,1,1,4262
Case1053,after_edema_to_final_scar_priority,2,2,15928
Case1053,after_edema_to_final_scar_priority,5,5,758
Case1053,anchor_to_final,0,0,568876
Case1053,anchor_to_final,1,1,4262
Case1053,anchor_to_final,2,2,15928
Case1053,anchor_to_final,5,5,758
Case1062,anchor_to_after_edema,0,0,1250278
Case1062,anchor_to_after_edema,1,1,10275
Case1062,anchor_to_after_edema,2,2,40844
Case1062,anchor_to_after_edema,5,5,9323
Case1062,after_edema_to_final_scar_priority,0,0,1250278
Case1062,after_edema_to_final_scar_priority,1,1,10275
Case1062,after_edema_to_final_scar_priority,2,2,40844
Case1062,after_edema_to_final_scar_priority,5,5,9323
Case1062,anchor_to_final,0,0,1250278
Case1062,anchor_to_final,1,1,10275
Case1062,anchor_to_final,2,2,40844
Case1062,anchor_to_final,5,5,9323
Case1070,anchor_to_after_edema,0,0,1268604
Case1070,anchor_to_after_edema,1,1,9125
Case1070,anchor_to_after_edema,2,2,27721
Case1070,anchor_to_after_edema,5,5,5270
Case1070,after_edema_to_final_scar_priority,0,0,1268604
Case1070,after_edema_to_final_scar_priority,1,1,9125
Case1070,after_edema_to_final_scar_priority,2,2,27721
Case1070,after_edema_to_final_scar_priority,5,5,5270
Case1070,anchor_to_final,0,0,1268604
Case1070,anchor_to_final,1,1,9125
Case1070,anchor_to_final,2,2,27721
Case1070,anchor_to_final,5,5,5270
Case1073,anchor_to_after_edema,0,0,640273
Case1073,anchor_to_after_edema,1,1,2700
Case1073,anchor_to_after_edema,2,2,10710
Case1073,anchor_to_after_edema,5,5,1677
Case1073,after_edema_to_final_scar_priority,0,0,640273
Case1073,after_edema_to_final_scar_priority,1,1,2700
Case1073,after_edema_to_final_scar_priority,2,2,10710
Case1073,after_edema_to_final_scar_priority,5,5,1677
Case1073,anchor_to_final,0,0,640273
Case1073,anchor_to_final,1,1,2700
Case1073,anchor_to_final,2,2,10710
Case1073,anchor_to_final,5,5,1677
Case1080,anchor_to_after_edema,0,0,575569
Case1080,anchor_to_after_edema,1,1,4144
Case1080,anchor_to_after_edema,2,2,8669
Case1080,anchor_to_after_edema,5,5,1442
Case1080,after_edema_to_final_scar_priority,0,0,575569
Case1080,after_edema_to_final_scar_priority,1,1,4144
Case1080,after_edema_to_final_scar_priority,2,2,8669
Case1080,after_edema_to_final_scar_priority,5,5,1442
Case1080,anchor_to_final,0,0,575569
Case1080,anchor_to_final,1,1,4144
Case1080,anchor_to_final,2,2,8669
Case1080,anchor_to_final,5,5,1442
Case2002,anchor_to_after_edema,0,0,377272
Case2002,anchor_to_after_edema,1,1,4416
Case2002,anchor_to_after_edema,2,2,5518
Case2002,anchor_to_after_edema,3,3,6600
Case2002,anchor_to_after_edema,4,4,2702
Case2002,anchor_to_after_edema,5,5,1076
Case2002,after_edema_to_final_scar_priority,0,0,377272
Case2002,after_edema_to_final_scar_priority,1,1,4416
Case2002,after_edema_to_final_scar_priority,2,2,5518
Case2002,after_edema_to_final_scar_priority,3,3,6600
Case2002,after_edema_to_final_scar_priority,4,4,2702
Case2002,after_edema_to_final_scar_priority,5,5,1076
Case2002,anchor_to_final,0,0,377272
Case2002,anchor_to_final,1,1,4416
Case2002,anchor_to_final,2,2,5518
Case2002,anchor_to_final,3,3,6600
Case2002,anchor_to_final,4,4,2702
Case2002,anchor_to_final,5,5,1076
Case2007,anchor_to_after_edema,0,0,152020
Case2007,anchor_to_after_edema,1,1,1200
Case2007,anchor_to_after_edema,2,2,2785
Case2007,anchor_to_after_edema,3,3,1345
Case2007,anchor_to_after_edema,4,4,1190
Case2007,anchor_to_after_edema,5,5,820
Case2007,after_edema_to_final_scar_priority,0,0,152020
Case2007,after_edema_to_final_scar_priority,1,1,1200
Case2007,after_edema_to_final_scar_priority,2,2,2785
Case2007,after_edema_to_final_scar_priority,3,3,1345
Case2007,after_edema_to_final_scar_priority,4,4,1190
Case2007,after_edema_to_final_scar_priority,5,5,820
Case2007,anchor_to_final,0,0,152020
Case2007,anchor_to_final,1,1,1200
Case2007,anchor_to_final,2,2,2785
Case2007,anchor_to_final,3,3,1345
Case2007,anchor_to_final,4,4,1190
Case2007,anchor_to_final,5,5,820
Case2008,anchor_to_after_edema,0,0,275882
Case2008,anchor_to_after_edema,1,1,3673
Case2008,anchor_to_after_edema,2,2,3410
Case2008,anchor_to_after_edema,3,3,3947
Case2008,anchor_to_after_edema,4,4,1171
Case2008,anchor_to_after_edema,5,5,1042
Case2008,after_edema_to_final_scar_priority,0,0,275882
Case2008,after_edema_to_final_scar_priority,1,1,3673
Case2008,after_edema_to_final_scar_priority,2,2,3410
Case2008,after_edema_to_final_scar_priority,3,3,3947
Case2008,after_edema_to_final_scar_priority,4,4,1171
Case2008,after_edema_to_final_scar_priority,5,5,1042
Case2008,anchor_to_final,0,0,275882
Case2008,anchor_to_final,1,1,3673
Case2008,anchor_to_final,2,2,3410
Case2008,anchor_to_final,3,3,3947
Case2008,anchor_to_final,4,4,1171
Case2008,anchor_to_final,5,5,1042
Case2017,anchor_to_after_edema,0,0,302207
Case2017,anchor_to_after_edema,1,1,3032
Case2017,anchor_to_after_edema,2,2,5775
Case2017,anchor_to_after_edema,3,3,4171
Case2017,anchor_to_after_edema,4,4,2265
Case2017,anchor_to_after_edema,5,5,1230
Case2017,after_edema_to_final_scar_priority,0,0,302207
Case2017,after_edema_to_final_scar_priority,1,1,3032
Case2017,after_edema_to_final_scar_priority,2,2,5775
Case2017,after_edema_to_final_scar_priority,3,3,4171
Case2017,after_edema_to_final_scar_priority,4,4,2265
Case2017,after_edema_to_final_scar_priority,5,5,1230
Case2017,anchor_to_final,0,0,302207
Case2017,anchor_to_final,1,1,3032
Case2017,anchor_to_final,2,2,5775
Case2017,anchor_to_final,3,3,4171
Case2017,anchor_to_final,4,4,2265
Case2017,anchor_to_final,5,5,1230
Case2020,anchor_to_after_edema,0,0,147351
Case2020,anchor_to_after_edema,1,1,1470
Case2020,anchor_to_after_edema,2,2,1915
Case2020,anchor_to_after_edema,3,3,1741
Case2020,anchor_to_after_edema,4,4,950
Case2020,anchor_to_after_edema,5,5,173
Case2020,after_edema_to_final_scar_priority,0,0,147351
Case2020,after_edema_to_final_scar_priority,1,1,1470
Case2020,after_edema_to_final_scar_priority,2,2,1915
Case2020,after_edema_to_final_scar_priority,3,3,1741
Case2020,after_edema_to_final_scar_priority,4,4,950
Case2020,after_edema_to_final_scar_priority,5,5,173
Case2020,anchor_to_final,0,0,147351
Case2020,anchor_to_final,1,1,1470
Case2020,anchor_to_final,2,2,1915
Case2020,anchor_to_final,3,3,1741
Case2020,anchor_to_final,4,4,950
Case2020,anchor_to_final,5,5,173
Case2031,anchor_to_after_edema,0,0,179782
Case2031,anchor_to_after_edema,1,1,1686
Case2031,anchor_to_after_edema,2,2,2836
Case2031,anchor_to_after_edema,3,3,3598
Case2031,anchor_to_after_edema,4,4,195
Case2031,anchor_to_after_edema,5,5,858
Case2031,after_edema_to_final_scar_priority,0,0,179782
Case2031,after_edema_to_final_scar_priority,1,1,1686
Case2031,after_edema_to_final_scar_priority,2,2,2836
Case2031,after_edema_to_final_scar_priority,3,3,3598
Case2031,after_edema_to_final_scar_priority,4,4,195
Case2031,after_edema_to_final_scar_priority,5,5,858
Case2031,anchor_to_final,0,0,179782
Case2031,anchor_to_final,1,1,1686
Case2031,anchor_to_final,2,2,2836
Case2031,anchor_to_final,3,3,3598
Case2031,anchor_to_final,4,4,195
Case2031,anchor_to_final,5,5,858
Case2033,anchor_to_after_edema,0,0,368936
Case2033,anchor_to_after_edema,1,1,4504
Case2033,anchor_to_after_edema,2,2,5874
Case2033,anchor_to_after_edema,3,3,6773
Case2033,anchor_to_after_edema,4,4,1813
Case2033,anchor_to_after_edema,5,5,1125
Case2033,after_edema_to_final_scar_priority,0,0,368936
Case2033,after_edema_to_final_scar_priority,1,1,4504
Case2033,after_edema_to_final_scar_priority,2,2,5874
Case2033,after_edema_to_final_scar_priority,3,3,6773
Case2033,after_edema_to_final_scar_priority,4,4,1813
Case2033,after_edema_to_final_scar_priority,5,5,1125
Case2033,anchor_to_final,0,0,368936
Case2033,anchor_to_final,1,1,4504
Case2033,anchor_to_final,2,2,5874
Case2033,anchor_to_final,3,3,6773
Case2033,anchor_to_final,4,4,1813
Case2033,anchor_to_final,5,5,1125
Case3004,anchor_to_after_edema,0,0,1312948
Case3004,anchor_to_after_edema,1,1,15874
Case3004,anchor_to_after_edema,2,2,10152
Case3004,anchor_to_after_edema,3,3,36049
Case3004,anchor_to_after_edema,4,4,1743
Case3004,anchor_to_after_edema,5,5,2742
Case3004,after_edema_to_final_scar_priority,0,0,1312948
Case3004,after_edema_to_final_scar_priority,1,1,15874
Case3004,after_edema_to_final_scar_priority,2,2,10152
Case3004,after_edema_to_final_scar_priority,3,3,36049
Case3004,after_edema_to_final_scar_priority,4,4,1743
Case3004,after_edema_to_final_scar_priority,5,5,2742
Case3004,anchor_to_final,0,0,1312948
Case3004,anchor_to_final,1,1,15874
Case3004,anchor_to_final,2,2,10152
Case3004,anchor_to_final,3,3,36049
Case3004,anchor_to_final,4,4,1743
Case3004,anchor_to_final,5,5,2742
Case3011,anchor_to_after_edema,0,0,464367
Case3011,anchor_to_after_edema,1,1,5489
Case3011,anchor_to_after_edema,2,2,7029
Case3011,anchor_to_after_edema,3,3,6367
Case3011,anchor_to_after_edema,4,4,1337
Case3011,anchor_to_after_edema,5,5,2455
Case3011,after_edema_to_final_scar_priority,0,0,464367
Case3011,after_edema_to_final_scar_priority,1,1,5489
Case3011,after_edema_to_final_scar_priority,2,2,7029
Case3011,after_edema_to_final_scar_priority,3,3,6367
Case3011,after_edema_to_final_scar_priority,4,4,1337
Case3011,after_edema_to_final_scar_priority,5,5,2455
Case3011,anchor_to_final,0,0,464367
Case3011,anchor_to_final,1,1,5489
Case3011,anchor_to_final,2,2,7029
Case3011,anchor_to_final,3,3,6367
Case3011,anchor_to_final,4,4,1337
Case3011,anchor_to_final,5,5,2455
Case3012,anchor_to_after_edema,0,0,1087598
Case3012,anchor_to_after_edema,1,1,13306
Case3012,anchor_to_after_edema,2,2,15078
Case3012,anchor_to_after_edema,3,3,17219
Case3012,anchor_to_after_edema,4,4,1930
Case3012,anchor_to_after_edema,5,5,2514
Case3012,after_edema_to_final_scar_priority,0,0,1087598
Case3012,after_edema_to_final_scar_priority,1,1,13306
Case3012,after_edema_to_final_scar_priority,2,2,15078
Case3012,after_edema_to_final_scar_priority,3,3,17219
Case3012,after_edema_to_final_scar_priority,4,4,1930
Case3012,after_edema_to_final_scar_priority,5,5,2514
Case3012,anchor_to_final,0,0,1087598
Case3012,anchor_to_final,1,1,13306
Case3012,anchor_to_final,2,2,15078
Case3012,anchor_to_final,3,3,17219
Case3012,anchor_to_final,4,4,1930
Case3012,anchor_to_final,5,5,2514
Case3023,anchor_to_after_edema,0,0,661122
Case3023,anchor_to_after_edema,1,1,7332
Case3023,anchor_to_after_edema,2,2,6288
Case3023,anchor_to_after_edema,3,3,12939
Case3023,anchor_to_after_edema,4,4,881
Case3023,anchor_to_after_edema,5,5,2635
Case3023,after_edema_to_final_scar_priority,0,0,661122
Case3023,after_edema_to_final_scar_priority,1,1,7332
Case3023,after_edema_to_final_scar_priority,2,2,6288
Case3023,after_edema_to_final_scar_priority,3,3,12939
Case3023,after_edema_to_final_scar_priority,4,4,881
Case3023,after_edema_to_final_scar_priority,5,5,2635
Case3023,anchor_to_final,0,0,661122
Case3023,anchor_to_final,1,1,7332
Case3023,anchor_to_final,2,2,6288
Case3023,anchor_to_final,3,3,12939
Case3023,anchor_to_final,4,4,881
Case3023,anchor_to_final,5,5,2635
Case3026,anchor_to_after_edema,0,0,1072873
Case3026,anchor_to_after_edema,1,1,12394
Case3026,anchor_to_after_edema,2,2,12247
Case3026,anchor_to_after_edema,3,3,14122
Case3026,anchor_to_after_edema,4,4,1402
Case3026,anchor_to_after_edema,5,5,3232
Case3026,after_edema_to_final_scar_priority,0,0,1072873
Case3026,after_edema_to_final_scar_priority,1,1,12394
Case3026,after_edema_to_final_scar_priority,2,2,12247
Case3026,after_edema_to_final_scar_priority,3,3,14122
Case3026,after_edema_to_final_scar_priority,4,4,1402
Case3026,after_edema_to_final_scar_priority,5,5,3232
Case3026,anchor_to_final,0,0,1072873
Case3026,anchor_to_final,1,1,12394
Case3026,anchor_to_final,2,2,12247
Case3026,anchor_to_final,3,3,14122
Case3026,anchor_to_final,4,4,1402
Case3026,anchor_to_final,5,5,3232
Case3034,anchor_to_after_edema,0,0,810404
Case3034,anchor_to_after_edema,1,1,8396
Case3034,anchor_to_after_edema,2,2,11833
Case3034,anchor_to_after_edema,3,3,10486
Case3034,anchor_to_after_edema,4,4,1720
Case3034,anchor_to_after_edema,5,5,3545
Case3034,after_edema_to_final_scar_priority,0,0,810404
Case3034,after_edema_to_final_scar_priority,1,1,8396
Case3034,after_edema_to_final_scar_priority,2,2,11833
Case3034,after_edema_to_final_scar_priority,3,3,10486
Case3034,after_edema_to_final_scar_priority,4,4,1720
Case3034,after_edema_to_final_scar_priority,5,5,3545
Case3034,anchor_to_final,0,0,810404
Case3034,anchor_to_final,1,1,8396
Case3034,anchor_to_final,2,2,11833
Case3034,anchor_to_final,3,3,10486
Case3034,anchor_to_final,4,4,1720
Case3034,anchor_to_final,5,5,3545
Case3038,anchor_to_after_edema,0,0,727240
Case3038,anchor_to_after_edema,1,1,8153
Case3038,anchor_to_after_edema,2,2,12923
Case3038,anchor_to_after_edema,3,3,11076
Case3038,anchor_to_after_edema,4,4,4065
Case3038,anchor_to_after_edema,5,5,7687
Case3038,after_edema_to_final_scar_priority,0,0,727240
Case3038,after_edema_to_final_scar_priority,1,1,8153
Case3038,after_edema_to_final_scar_priority,2,2,12923
Case3038,after_edema_to_final_scar_priority,3,3,11076
Case3038,after_edema_to_final_scar_priority,4,4,4065
Case3038,after_edema_to_final_scar_priority,5,5,7687
Case3038,anchor_to_final,0,0,727240
Case3038,anchor_to_final,1,1,8153
Case3038,anchor_to_final,2,2,12923
Case3038,anchor_to_final,3,3,11076
Case3038,anchor_to_final,4,4,4065
Case3038,anchor_to_final,5,5,7687
Case3040,anchor_to_after_edema,0,0,709764
Case3040,anchor_to_after_edema,1,1,6915
Case3040,anchor_to_after_edema,2,2,7694
Case3040,anchor_to_after_edema,3,3,11475
Case3040,anchor_to_after_edema,4,4,1402
Case3040,anchor_to_after_edema,5,5,2280
Case3040,after_edema_to_final_scar_priority,0,0,709764
Case3040,after_edema_to_final_scar_priority,1,1,6915
Case3040,after_edema_to_final_scar_priority,2,2,7694
Case3040,after_edema_to_final_scar_priority,3,3,11475
Case3040,after_edema_to_final_scar_priority,4,4,1402
Case3040,after_edema_to_final_scar_priority,5,5,2280
Case3040,anchor_to_final,0,0,709764
Case3040,anchor_to_final,1,1,6915
Case3040,anchor_to_final,2,2,7694
Case3040,anchor_to_final,3,3,11475
Case3040,anchor_to_final,4,4,1402
Case3040,anchor_to_final,5,5,2280
Case3044,anchor_to_after_edema,0,0,720202
Case3044,anchor_to_after_edema,1,1,5843
Case3044,anchor_to_after_edema,2,2,8071
Case3044,anchor_to_after_edema,3,3,9967
Case3044,anchor_to_after_edema,4,4,1892
Case3044,anchor_to_after_edema,5,5,4022
Case3044,after_edema_to_final_scar_priority,0,0,720202
Case3044,after_edema_to_final_scar_priority,1,1,5843
Case3044,after_edema_to_final_scar_priority,2,2,8071
Case3044,after_edema_to_final_scar_priority,3,3,9967
Case3044,after_edema_to_final_scar_priority,4,4,1892
Case3044,after_edema_to_final_scar_priority,5,5,4022
Case3044,anchor_to_final,0,0,720202
Case3044,anchor_to_final,1,1,5843
Case3044,anchor_to_final,2,2,8071
Case3044,anchor_to_final,3,3,9967
Case3044,anchor_to_final,4,4,1892
Case3044,anchor_to_final,5,5,4022
Case5005,anchor_to_after_edema,0,0,364853
Case5005,anchor_to_after_edema,1,1,7228
Case5005,anchor_to_after_edema,2,2,14630
Case5005,anchor_to_after_edema,3,3,3864
Case5005,anchor_to_after_edema,5,5,2641
Case5005,after_edema_to_final_scar_priority,0,0,364853
Case5005,after_edema_to_final_scar_priority,1,1,7228
Case5005,after_edema_to_final_scar_priority,2,2,14630
Case5005,after_edema_to_final_scar_priority,3,3,3864
Case5005,after_edema_to_final_scar_priority,5,5,2641
Case5005,anchor_to_final,0,0,364853
Case5005,anchor_to_final,1,1,7228
Case5005,anchor_to_final,2,2,14630
Case5005,anchor_to_final,3,3,3864
Case5005,anchor_to_final,5,5,2641
Case6001,anchor_to_after_edema,0,0,640659
Case6001,anchor_to_after_edema,1,1,5245
Case6001,anchor_to_after_edema,2,2,12909
Case6001,anchor_to_after_edema,3,3,3441
Case6001,anchor_to_after_edema,5,5,1298
Case6001,after_edema_to_final_scar_priority,0,0,640659
Case6001,after_edema_to_final_scar_priority,1,1,5245
Case6001,after_edema_to_final_scar_priority,2,2,12909
Case6001,after_edema_to_final_scar_priority,3,3,3441
Case6001,after_edema_to_final_scar_priority,5,5,1298
Case6001,anchor_to_final,0,0,640659
Case6001,anchor_to_final,1,1,5245
Case6001,anchor_to_final,2,2,12909
Case6001,anchor_to_final,3,3,3441
Case6001,anchor_to_final,5,5,1298
Case6010,anchor_to_after_edema,0,0,556189
Case6010,anchor_to_after_edema,1,1,5569
Case6010,anchor_to_after_edema,2,2,13184
Case6010,anchor_to_after_edema,3,3,4728
Case6010,anchor_to_after_edema,5,5,938
Case6010,after_edema_to_final_scar_priority,0,0,556189
Case6010,after_edema_to_final_scar_priority,1,1,5569
Case6010,after_edema_to_final_scar_priority,2,2,13184
Case6010,after_edema_to_final_scar_priority,3,3,4728
Case6010,after_edema_to_final_scar_priority,5,5,938
Case6010,anchor_to_final,0,0,556189
Case6010,anchor_to_final,1,1,5569
Case6010,anchor_to_final,2,2,13184
Case6010,anchor_to_final,3,3,4728
Case6010,anchor_to_final,5,5,938
Case7005,anchor_to_after_edema,0,0,282854
Case7005,anchor_to_after_edema,1,1,7702
Case7005,anchor_to_after_edema,2,2,11512
Case7005,anchor_to_after_edema,3,3,5097
Case7005,anchor_to_after_edema,5,5,35
Case7005,after_edema_to_final_scar_priority,0,0,282854
Case7005,after_edema_to_final_scar_priority,1,1,7702
Case7005,after_edema_to_final_scar_priority,2,2,11512
Case7005,after_edema_to_final_scar_priority,3,3,5097
Case7005,after_edema_to_final_scar_priority,5,5,35
Case7005,anchor_to_final,0,0,282854
Case7005,anchor_to_final,1,1,7702
Case7005,anchor_to_final,2,2,11512
Case7005,anchor_to_final,3,3,5097
Case7005,anchor_to_final,5,5,35
Case8003,anchor_to_after_edema,0,0,391171
Case8003,anchor_to_after_edema,5,5,2045
Case8003,after_edema_to_final_scar_priority,0,0,391171
Case8003,after_edema_to_final_scar_priority,5,5,2045
Case8003,anchor_to_final,0,0,391171
Case8003,anchor_to_final,5,5,2045
Case8011,anchor_to_after_edema,0,0,393081
Case8011,anchor_to_after_edema,5,5,135
Case8011,after_edema_to_final_scar_priority,0,0,393081
Case8011,after_edema_to_final_scar_priority,5,5,135
Case8011,anchor_to_final,0,0,393081
Case8011,anchor_to_final,5,5,135
Case8015,anchor_to_after_edema,0,0,420792
Case8015,anchor_to_after_edema,5,5,1096
Case8015,after_edema_to_final_scar_priority,0,0,420792
Case8015,after_edema_to_final_scar_priority,5,5,1096
Case8015,anchor_to_final,0,0,420792
Case8015,anchor_to_final,5,5,1096
Case8019,anchor_to_after_edema,0,0,392551
Case8019,anchor_to_after_edema,5,5,665
Case8019,after_edema_to_final_scar_priority,0,0,392551
Case8019,after_edema_to_final_scar_priority,5,5,665
Case8019,anchor_to_final,0,0,392551
Case8019,anchor_to_final,5,5,665
Case8021,anchor_to_after_edema,0,0,393216
Case8021,after_edema_to_final_scar_priority,0,0,393216
Case8021,anchor_to_final,0,0,393216
Case8022,anchor_to_after_edema,0,0,391985
Case8022,anchor_to_after_edema,5,5,1231
Case8022,after_edema_to_final_scar_priority,0,0,391985
Case8022,after_edema_to_final_scar_priority,5,5,1231
Case8022,anchor_to_final,0,0,391985
Case8022,anchor_to_final,5,5,1231
Case8023,anchor_to_after_edema,0,0,392054
Case8023,anchor_to_after_edema,5,5,1162
Case8023,after_edema_to_final_scar_priority,0,0,392054
Case8023,after_edema_to_final_scar_priority,5,5,1162
Case8023,anchor_to_final,0,0,392054
Case8023,anchor_to_final,5,5,1162
Case2002,anchor_to_after_edema,0,0,377272
Case2002,anchor_to_after_edema,1,1,4416
Case2002,anchor_to_after_edema,2,2,5518
Case2002,anchor_to_after_edema,3,3,6600
Case2002,anchor_to_after_edema,4,4,2702
Case2002,anchor_to_after_edema,5,5,1076
Case2002,after_edema_to_final_scar_priority,0,0,377272
