checkpoint,decode_mode,edema_component_count_mean,edema_gt_positive_dice,edema_gt_positive_hd95,edema_remote_fp_mean,pathology_selection_score,scar_all_dice,scar_all_hd95,scar_component_count_mean,scar_remote_fp_mean,variant
best,threshold_sweep_original_evidence_t0.90,19.125,0.09276538898817044,,11.5,-0.5265888494737303,0.07592985244719014,,40.97727272727273,27.977272727272727,proposal_pos_neg_basic
best,threshold_sweep_proposal_t0.10,113.9375,0.17489385201760524,,91.0625,-3.2985448433631888,0.10573744098284235,,161.27272727272728,129.25,proposal_pos_neg_basic
best,threshold_sweep_proposal_t0.20,100.6875,0.17636301042201183,,79.8125,-2.854129652653744,0.10618347328788054,,142.29545454545453,112.36363636363636,proposal_pos_neg_basic
best,threshold_sweep_proposal_t0.30,94.0,0.17660535666528315,,74.0,-2.6611253606621865,0.10613291903616671,,133.9090909090909,106.43181818181819,proposal_pos_neg_basic
best,threshold_sweep_proposal_t0.40,92.375,0.17723688895721174,,72.25,-2.5409927768148517,0.10614533422793629,,127.31818181818181,100.3409090909091,proposal_pos_neg_basic
best,threshold_sweep_proposal_t0.50,87.375,0.17759936405324303,,68.0625,-2.4170732587779185,0.10612283171429328,,122.6590909090909,97.0,proposal_pos_neg_basic
best,threshold_sweep_proposal_t0.60,84.375,0.17796885422725986,,64.625,-2.326325791802275,0.10610308124319259,,119.0909090909091,94.68181818181819,proposal_pos_neg_basic
best,threshold_sweep_proposal_t0.70,80.0625,0.17833571198018505,,61.4375,-2.2086764804995793,0.10574348933841747,,114.47727272727273,90.56818181818181,proposal_pos_neg_basic
best,threshold_sweep_proposal_t0.80,77.9375,0.17845537263293365,,59.6875,-2.100632812075577,0.10508795165512552,,108.20454545454545,85.6590909090909,proposal_pos_neg_basic
best,threshold_sweep_proposal_t0.90,70.0,0.1784958087862749,,53.625,-1.9163997187585724,0.10476356336424372,,102.45454545454545,80.11363636363636,proposal_pos_neg_basic
final,mixed_priority_t0.50,43.0625,0.15661988991529208,,27.25,-1.6325120561702637,0.11731691755080766,,112.18181818181819,85.77272727272727,proposal_pos_neg_basic
final,original_evidence_priority_t0.50,21.375,0.12820529068788672,,11.4375,-0.9116198862660032,0.1075611866824737,,75.22727272727273,55.0,proposal_pos_neg_basic
final,proposal_priority_t0.50,47.5,0.1604957526854897,,30.6875,-1.9125653830502838,0.09733659153695355,,127.20454545454545,99.0,proposal_pos_neg_basic
final,raw_argmax_current,47.625,0.15077312428656037,,30.3125,-2.638731959066015,0.06265400755651565,,196.4090909090909,132.88636363636363,proposal_pos_neg_basic
final,threshold_sweep_mixed_t0.10,49.75,0.16110514368627668,,32.0625,-2.1135925513084786,0.11831366864160892,,141.27272727272728,111.72727272727273,proposal_pos_neg_basic
final,threshold_sweep_mixed_t0.20,46.1875,0.1593046574559886,,29.5625,-1.8948372596091332,0.11821603748033258,,128.38636363636363,100.38636363636364,proposal_pos_neg_basic
final,threshold_sweep_mixed_t0.30,45.75,0.15818005632774065,,29.5625,-1.782493404698648,0.1181333571554294,,120.11363636363636,93.38636363636364,proposal_pos_neg_basic
final,threshold_sweep_mixed_t0.40,44.5625,0.15767865495241357,,28.3125,-1.7076480963084406,0.11788347601187323,,116.36363636363636,89.54545454545455,proposal_pos_neg_basic
final,threshold_sweep_mixed_t0.50,43.0625,0.15661988991529208,,27.25,-1.6325120561702637,0.11731691755080766,,112.18181818181819,85.77272727272727,proposal_pos_neg_basic
final,threshold_sweep_mixed_t0.60,41.375,0.15628948491015524,,26.875,-1.5437464687976512,0.11661177356492095,,106.43181818181819,80.88636363636364,proposal_pos_neg_basic
final,threshold_sweep_mixed_t0.70,39.75,0.15517985995914463,,25.9375,-1.4546598185646742,0.11567168511254478,,101.3409090909091,76.06818181818181,proposal_pos_neg_basic
final,threshold_sweep_mixed_t0.80,37.4375,0.15415171544486284,,23.8125,-1.3340949310111396,0.11399767172581567,,95.02272727272727,70.18181818181819,proposal_pos_neg_basic
final,threshold_sweep_mixed_t0.90,35.4375,0.15174561742230042,,20.6875,-1.0641093338760568,0.11048027597437012,,77.36363636363636,55.54545454545455,proposal_pos_neg_basic
final,threshold_sweep_original_evidence_t0.10,34.1875,0.15031708563930138,,19.875,-1.521831202184762,0.11322103035775476,,111.77272727272727,85.68181818181819,proposal_pos_neg_basic
final,threshold_sweep_original_evidence_t0.20,30.4375,0.14341977044266052,,17.0625,-1.3200084696743186,0.1122251689739301,,99.61363636363636,75.47727272727273,proposal_pos_neg_basic
final,threshold_sweep_original_evidence_t0.30,28.375,0.13836971624701838,,15.5625,-1.1840971958288784,0.11094217883319409,,91.18181818181819,68.0,proposal_pos_neg_basic
final,threshold_sweep_original_evidence_t0.40,25.0625,0.13291828737770944,,13.625,-1.0400056443374979,0.10909311373933801,,83.0,60.54545454545455,proposal_pos_neg_basic
final,threshold_sweep_original_evidence_t0.50,21.375,0.12820529068788672,,11.4375,-0.9116198862660032,0.1075611866824737,,75.22727272727273,55.0,proposal_pos_neg_basic
final,threshold_sweep_original_evidence_t0.60,18.875,0.12176062428044335,,10.375,-0.7980083529395501,0.10517420459818844,,68.18181818181819,48.59090909090909,proposal_pos_neg_basic
final,threshold_sweep_original_evidence_t0.70,17.5,0.11527378881924968,,10.0,-0.6911550485940824,0.10277570804121341,,60.70454545454545,41.81818181818182,proposal_pos_neg_basic
final,threshold_sweep_original_evidence_t0.80,16.125,0.10735359591668203,,8.6875,-0.6012716989825,0.09955652328263623,,53.68181818181818,37.22727272727273,proposal_pos_neg_basic
final,threshold_sweep_original_evidence_t0.90,15.0,0.09564705312630277,,7.625,-0.4799467312613057,0.09451985197602779,,44.95454545454545,29.40909090909091,proposal_pos_neg_basic
final,threshold_sweep_proposal_t0.10,55.1875,0.16161018400975968,,36.1875,-2.478505631132841,0.09565123031194495,,161.9090909090909,128.8409090909091,proposal_pos_neg_basic
final,threshold_sweep_proposal_t0.20,51.6875,0.16211854589405827,,33.8125,-2.2492228222285675,0.0971529500591925,,148.20454545454547,117.0909090909091,proposal_pos_neg_basic
final,threshold_sweep_proposal_t0.30,50.4375,0.1619506627749986,,32.8125,-2.1181578920813107,0.09724939968914524,,139.27272727272728,110.06818181818181,proposal_pos_neg_basic
final,threshold_sweep_proposal_t0.40,47.875,0.1613953439808523,,31.125,-1.99920358251312,0.0974124371423911,,133.4318181818182,104.02272727272727,proposal_pos_neg_basic
final,threshold_sweep_proposal_t0.50,47.5,0.1604957526854897,,30.6875,-1.9125653830502838,0.09733659153695355,,127.20454545454545,99.0,proposal_pos_neg_basic
final,threshold_sweep_proposal_t0.60,46.4375,0.15984201288801153,,30.125,-1.8283771931290331,0.0969228394375009,,121.61363636363636,94.36363636363636,proposal_pos_neg_basic
final,threshold_sweep_proposal_t0.70,46.0,0.15899760017125414,,29.625,-1.7829920599347817,0.0966467035303277,,118.70454545454545,91.88636363636364,proposal_pos_neg_basic
final,threshold_sweep_proposal_t0.80,44.6875,0.1585039176170846,,28.625,-1.6600022942293222,0.11913583360813851,,113.0,86.29545454545455,proposal_pos_neg_basic
final,threshold_sweep_proposal_t0.90,43.8125,0.157380531422287,,28.0,-1.5324842818035833,0.11772041404685694,,104.75,78.47727272727273,proposal_pos_neg_basic
