class_id,component_count_mean,dice_mean,empty_prediction_rate,group,hd95_mean,hd_mean,metric_name,n,pred_gt_volume_ratio_mean,remote_fp_mean,small_fp_mean,variant
5,1.875,0.6933346102422654,0.0,complete_modality,9.267223535037347,22.63552550065832,myops_scar,16,0.9503274991252523,0.1875,0.5625,baseline_nnunet501_fold0
5,2.2857142857142856,0.6131815991584468,0.0,CenterB,12.440137428805636,22.295908965464097,myops_scar,7,0.9393918668686351,0.0,0.8571428571428571,baseline_nnunet501_fold0
5,1.5555555555555556,0.7556758410852353,0.0,CenterC,6.799401617662012,22.899671694698274,myops_scar,9,0.958832990880399,0.3333333333333333,0.3333333333333333,baseline_nnunet501_fold0
5,7.75,0.3777873129448342,0.0,C0+LGE,11.601986289569018,23.350052273637186,myops_scar,4,0.6302979020033548,1.75,4.5,baseline_nnunet501_fold0
5,6.041666666666667,0.5017892925791079,0.041666666666666664,LGE-only,16.875689912336288,28.632545887828623,myops_scar,24,1.3199311129477658,0.25,3.5416666666666665,baseline_nnunet501_fold0
5,7.0,0.0,0.0,no_T2_empty_GT,,,myops_scar,1,,7.0,6.0,baseline_nnunet501_fold0
4,3.3181818181818183,0.7797948718832686,0.6363636363636364,all_cases,7.276922314931449,10.766868115413025,myops_edema,44,1.6121482631185355,0.045454545454545456,1.8636363636363635,oof_scar_component_score
4,9.125,0.3944358976789887,0.0,gt_positive_only,20.011536366061485,29.60888731738582,myops_edema,16,1.6121482631185355,0.125,5.125,oof_scar_component_score
4,9.125,0.3944358976789887,0.0,t2_present,20.011536366061485,29.60888731738582,myops_edema,16,1.6121482631185355,0.125,5.125,oof_scar_component_score
4,9.125,0.3944358976789887,0.0,complete_modality,20.011536366061485,29.60888731738582,myops_edema,16,1.6121482631185355,0.125,5.125,oof_scar_component_score
4,7.714285714285714,0.5029744773313501,0.0,CenterB,15.933514343740368,24.05449355554381,myops_edema,7,0.915974670131474,0.0,3.2857142857142856,oof_scar_component_score
4,10.222222222222221,0.3100170023938187,0.0,CenterC,23.18333127231124,33.92897135437405,myops_edema,9,2.1536166132195835,0.2222222222222222,6.555555555555555,oof_scar_component_score
4,0.0,1.0,1.0,C0+LGE,0.0,0.0,myops_edema,4,,0.0,0.0,oof_scar_component_score
4,0.0,1.0,1.0,LGE-only,0.0,0.0,myops_edema,24,,0.0,0.0,oof_scar_component_score
4,0.0,1.0,1.0,no_T2_empty_GT,0.0,0.0,myops_edema,28,,0.0,0.0,oof_scar_component_score
5,3.6818181818181817,0.5601157512831505,0.022727272727272728,all_cases,13.991714745223895,26.08610858627237,myops_scar,44,1.1332274407554737,0.2727272727272727,1.6590909090909092,oof_scar_component_score
5,3.627906976744186,0.5731416989874097,0.023255813953488372,gt_positive_only,13.991714745223895,26.08610858627237,myops_scar,43,1.1332274407554737,0.13953488372093023,1.5813953488372092,oof_scar_component_score
5,1.8125,0.6933515021262995,0.0,t2_present,9.259108807076615,22.343698134817977,myops_scar,16,0.9502648738747512,0.1875,0.5,oof_scar_component_score
5,1.8125,0.6933515021262995,0.0,complete_modality,9.259108807076615,22.343698134817977,myops_scar,16,0.9502648738747512,0.1875,0.5,oof_scar_component_score
5,2.142857142857143,0.6132202091790963,0.0,CenterB,12.421589479181105,21.628874986400458,myops_scar,7,0.9392487234389184,0.0,0.7142857142857143,oof_scar_component_score
5,1.5555555555555556,0.7556758410852353,0.0,CenterC,6.799401617662012,22.899671694698274,myops_scar,9,0.958832990880399,0.3333333333333333,0.3333333333333333,oof_scar_component_score
5,6.75,0.3775674173479152,0.0,C0+LGE,11.753007145337568,23.350052273637186,myops_scar,4,0.6296648025187903,1.5,4.0,oof_scar_component_score
5,4.416666666666667,0.5017166397102569,0.041666666666666664,LGE-only,17.575967693485435,29.04640146284523,myops_scar,24,1.3181478151222075,0.125,2.0416666666666665,oof_scar_component_score
5,6.0,0.0,0.0,no_T2_empty_GT,,,myops_scar,1,,6.0,5.0,oof_scar_component_score
