run_name,direction,arm,optimizer_step,target_optimizer_steps,loss,selection_score,selection_cases,checkpoint_path,checkpoint_sha256,elapsed_seconds,loss_dense,loss_query_mask,loss_center,loss_class,matched_queries,unmatched_queries,no_object_loss_nonzero
BC_QUERY,BC,QUERY,1000,4000,0.5223639905452728,0.9765565572460043,7,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/BC_QUERY/checkpoints/checkpoint_step01000.pt,de4fbf6148510dddc7c601b7c2966b5b010c01ba9ec5841414620e2322799b91,670,0.06852210313081741,0.0698794424533844,0.058941394090652466,0.0002466589503455907,1,31,True
BC_QUERY,BC,QUERY,1500,4000,0.28431250900030136,0.9452711094341313,7,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/BC_QUERY/checkpoints/checkpoint_step01500.pt,085e1221fed150e90e532cbbf761fcb585e0d5da2ff01dd6a2642093f6dc04fb,979,0.025722933933138847,0.02480708248913288,0.021397611126303673,0.00012025527394143865,1,31,True
BC_QUERY,BC,QUERY,2000,4000,0.12995831482112408,0.9255198250664308,7,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/BC_QUERY/checkpoints/checkpoint_step02000.pt,e84e997cd4809eed650e68aa1a3f0c3a4b5743124594e298073416979a85a886,1296,0.021171854808926582,0.023284809663891792,0.008413663133978844,0.0002518459514249116,1,31,True
BC_QUERY,BC,QUERY,2500,4000,0.03652715776115656,0.9241198505144076,7,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/BC_QUERY/checkpoints/checkpoint_step02500.pt,e789a81ef8d6dac6c422e33f14e9a8d58b48227d76b85e765579738c026e6e0a,1609,0.0017659766599535942,0.0023524814750999212,0.007509102579206228,6.626387039432302e-05,1,31,True
BC_QUERY,BC,QUERY,3000,4000,0.04326397879049182,0.9231297909722062,7,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/BC_QUERY/checkpoints/checkpoint_step03000.pt,a59cb9e071ef84b63258888fdd0e560b25db6d57785ba5c3d0ac421b883131e0,1924,0.000836326158605516,0.001096497057005763,0.032798927277326584,4.4124870328232646e-05,1,31,True
BC_QUERY,BC,QUERY,3500,4000,0.03147675120271742,0.9221551051671748,7,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/BC_QUERY/checkpoints/checkpoint_step03500.pt,d343864df15f88c80dcfb2c3f8ec0d4e3b7603592570d847510e30823f58e3db,2237,0.000600024068262428,0.0009583263308741152,0.02264345809817314,8.7987762526609e-05,1,31,True
BC_QUERY,BC,QUERY,4000,4000,0.040774979162961245,0.9228007974374743,7,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/BC_QUERY/checkpoints/checkpoint_step04000.pt,e5516b48b13416ef1b5cbbd7f01adae503f8db243a77f05e46f76191d499fd37,2548,0.0002592517121229321,0.0002574105456005782,0.0166269950568676,4.2676441807998344e-05,1,31,True
CB_DENSE,CB,DENSE,500,4000,0.8735957816243172,0.7873330381539412,9,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/CB_DENSE/checkpoints/checkpoint_step00500.pt,3fb345e70284f5f6e2d7adca57bdee62d3842eedeb380be1b7c8e5894be8a094,402,0.27221953868865967,,,,,,
CB_DENSE,CB,DENSE,1000,4000,0.542167492210865,0.7046952133548877,9,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/CB_DENSE/checkpoints/checkpoint_step01000.pt,ed0cf7b35632323aba1c58cb69120360c580d90ce1819ca1123723ae6a8cc0d4,702,0.23663121461868286,,,,,,
CB_DENSE,CB,DENSE,1500,4000,0.13584647141397,0.6907639059588766,9,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/CB_DENSE/checkpoints/checkpoint_step01500.pt,b5b31b06acda5ec9bf5a82fb2a2486a0aa962e4c6dfc2b878a91bf58d3fd7052,1000,0.04151809215545654,,,,,,
CB_DENSE,CB,DENSE,2000,4000,0.08286136062815785,0.6785328204838783,9,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/CB_DENSE/checkpoints/checkpoint_step02000.pt,3d851f1e6873dea68438c4921e4379f5281a23270225840e3069f949ccb04c73,1297,0.01168018952012062,,,,,,
CB_DENSE,CB,DENSE,2500,4000,0.039797432254999876,0.6739525975440079,9,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/CB_DENSE/checkpoints/checkpoint_step02500.pt,be01e128eb7bf53e79dc71bcdf348c3f3a23580a5a5860bc3a3f3cfd5a48a119,1596,0.0033286367543041706,,,,,,
CB_DENSE,CB,DENSE,3000,4000,0.008487859508022666,0.6754730222981626,9,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/CB_DENSE/checkpoints/checkpoint_step03000.pt,16ea66a9e36f95b17e4d98ded8674c908472f9ca8bd6f963ca557d19878c240c,1894,0.0026245848275721073,,,,,,
CB_DENSE,CB,DENSE,3500,4000,0.007458846550434828,0.6750749083285289,9,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/CB_DENSE/checkpoints/checkpoint_step03500.pt,4fba7f6ea2a4ca3c59acf1ed16f72712abca6a9e85811201c21306c9cf1653a7,2192,0.0020633190870285034,,,,,,
CB_DENSE,CB,DENSE,4000,4000,0.008179732951248297,0.6750509971947497,9,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/CB_DENSE/checkpoints/checkpoint_step04000.pt,a0f568e1e06c0e51e1f6ea978d7e253e180391fe44222800075c42bc718ca1ae,2490,2.026558286161162e-05,,,,,,
CB_QUERY,CB,QUERY,500,4000,2.616074800491333,0.7702444525107225,9,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/CB_QUERY/checkpoints/checkpoint_step00500.pt,c90221363606fb29499501e3ff25fb407c0161eaedc654d182edefb202e8a5c1,440,0.24931606650352478,0.25655460357666016,0.019527584314346313,0.00427817739546299,1,31,True
CB_QUERY,CB,QUERY,1000,4000,0.9879113286733627,0.6521602726911906,9,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/CB_QUERY/checkpoints/checkpoint_step01000.pt,2936a1a54e5199396fa568012b4cfb348513edf605235890ccbe2277fd1a2efb,774,0.12015418708324432,0.12705710530281067,0.0892399251461029,0.03367612138390541,1,31,True
CB_QUERY,CB,QUERY,1500,4000,0.4097526744008064,0.6845104854436989,9,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/CB_QUERY/checkpoints/checkpoint_step01500.pt,2cbae46960663e0302428efaed37d111c90339e146c677ddb3efa4392683faac,1108,0.037911199033260345,0.04328921437263489,0.1531101018190384,0.000145599216921255,1,31,True
CB_QUERY,CB,QUERY,2000,4000,0.30140387266874313,0.662966274628732,9,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/CB_QUERY/checkpoints/checkpoint_step02000.pt,9b6660d052fda57c65b1c6cdcc48f581e41dcbe36cd465978089a75b63a34bf3,1441,0.01277030911296606,0.018788792192935944,0.03214316815137863,0.00018480639846529812,1,31,True
CB_QUERY,CB,QUERY,2500,4000,0.16372448578476906,0.6520144903291516,9,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/CB_QUERY/checkpoints/checkpoint_step02500.pt,a672157dd9568256e711608203a628831e916b945e9b883e744eb38c07358778,1775,0.009561682119965553,0.012998648919165134,0.020238658413290977,0.00039221247425302863,1,31,True
CB_QUERY,CB,QUERY,3000,4000,0.07091302704066038,0.6637774528599546,9,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/CB_QUERY/checkpoints/checkpoint_step03000.pt,f6d567249e8f4a45b1bad264387931bb8f551497ac015fdfae12e04f29c671cf,2109,0.0012023093877360225,0.001599299837835133,0.048118751496076584,8.659379818709567e-05,1,31,True
CB_QUERY,CB,QUERY,3500,4000,0.13488110434263945,0.6619878033803274,9,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/CB_QUERY/checkpoints/checkpoint_step03500.pt,441a2ed878dec10bc4372294248db020c046a6f0c39b196d30933e61c6f1bfed,2442,0.0013904458610340953,0.002928114729002118,0.019047057256102562,0.0004644323489628732,2,30,True
CB_QUERY,CB,QUERY,4000,4000,0.07523555681109428,0.6617049914112211,9,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/CB_QUERY/checkpoints/checkpoint_step04000.pt,b29a1f29d756e31464cff42c7c0c9219d271fa21d124b25fe309c83fca52b9d3,2776,0.00031598476925864816,0.0005563019076362252,0.019816985353827477,0.00017039586964529008,1,31,True
