rank,user,time,Dice,HD,PRE,SEN,score
49,MaJin,2026-07-02 19:16:19,0.6598,27.4532,0.5857,0.7994,0.6598
50,MaJin,2026-07-10 17:44:49,0.6588,21.4972,0.6162,0.7501,0.6588
51,HeartMan,2026-07-08 15:04:22,0.6581,28.6261,0.7186,0.6412,0.6581
52,Sheffield_Heart,2026-06-26 00:35:18,0.6579,22.9268,0.6398,0.7368,0.6579
53,MatU(SP+A),2026-07-26 09:26:49,0.6577,18.4831,0.5954,0.7799,0.6577
54,MaJin,2026-07-10 10:58:39,0.656,21.6979,0.6187,0.7451,0.656
55,MaJin,2026-07-10 12:40:41,0.6551,22.3168,0.6035,0.7626,0.6551
56,MaJin,2026-07-02 18:58:26,0.6525,26.2697,0.6115,0.7337,0.6525
57,MaJin,2026-07-11 13:59:56,0.6508,19.9816,0.6188,0.7357,0.6508
58,MaJin,2026-07-10 18:46:42,0.6506,23.2847,0.6394,0.6868,0.6506
59,MaJin,2026-07-10 16:06:40,0.6498,21.4761,0.6015,0.7521,0.6498
60,MaJin,2026-07-10 13:47:36,0.6482,21.8193,0.6009,0.7518,0.6482
61,OrganAgent,2026-06-27 22:35:12,0.6475,15.5541,0.6524,0.7376,0.6475
62,MaJin,2026-07-10 11:23:44,0.6453,22.0918,0.588,0.7722,0.6453
63,HeartMan,2026-07-09 14:02:05,0.6452,26.0341,0.7081,0.615,0.6452
64,HeartMan,2026-07-09 14:04:26,0.6452,26.0341,0.7081,0.615,0.6452
65,MaJin,2026-07-14 09:52:30,0.6428,19.9284,0.5928,0.7309,0.6428
66,MaJin,2026-07-10 10:28:13,0.6423,28.4588,0.5857,0.7538,0.6423
67,HeartMan,2026-07-14 16:44:04,0.6416,29.9506,0.712,0.6063,0.6416
68,Sheffield_Heart,2026-07-20 20:53:15,0.6383,15.763,0.5996,0.7247,0.6383
69,MaJin,2026-07-11 14:14:57,0.6378,20.1182,0.5831,0.7717,0.6378
70,MaJin,2026-07-06 14:14:46,0.6332,30.0645,0.6926,0.6141,0.6332
71,MatU(SP+A),2026-07-26 09:10:33,0.6317,21.364,0.5631,0.7589,0.6317
72,MatU(SP+A),2026-07-26 09:24:02,0.6317,21.364,0.5631,0.7589,0.6317
73,MatU(SP+A),2026-07-27 10:08:22,0.6317,21.364,0.5631,0.7589,0.6317
74,MaJin,2026-07-04 13:34:15,0.6311,19.8823,0.5857,0.7336,0.6311
75,MaJin,2026-07-15 11:20:09,0.6288,21.1578,0.5735,0.784,0.6288
76,MaJin,2026-07-09 21:05:16,0.6259,22.0322,0.569,0.7489,0.6259
77,OrganAgent,2026-05-21 00:23:31,0.6258,14.9844,0.6043,0.7193,0.6258
78,MaJin,2026-07-15 10:07:55,0.624,19.5932,0.5911,0.7451,0.624
79,MaJin,2026-07-15 10:10:43,0.624,19.5932,0.5911,0.7451,0.624
80,MatU(SP+A),2026-07-26 09:26:33,0.6238,18.9219,0.5907,0.6885,0.6238
81,MaJin,2026-07-29 16:08:38,0.6223,18.3901,0.5876,0.7781,0.6223
82,ZQH,2026-05-14 21:21:49,0.6215,26.965,0.559,0.7312,0.6215
83,ZQH,2026-05-15 13:18:02,0.6215,26.965,0.559,0.7312,0.6215
84,OrganAgent,2026-07-28 16:08:05,0.6211,15.1513,0.6068,0.7057,0.6211
85,Sheffield_Heart,2026-07-11 06:41:05,0.6204,19.7152,0.5735,0.739,0.6204
86,OrganAgent,2026-06-23 12:20:22,0.6189,17.5332,0.6235,0.6594,0.6189
87,MaJin,2026-07-29 15:53:12,0.6189,18.4126,0.5861,0.7691,0.6189
88,Sheffield_Heart,2026-07-06 10:35:30,0.6151,23.1344,0.5878,0.6638,0.6151
89,HeartMan,2026-06-28 17:27:21,0.613,27.7704,0.6564,0.606,0.613
90,MaJin,2026-07-15 15:13:28,0.6126,22.622,0.5665,0.7781,0.6126
91,Sheffield_Heart,2026-07-06 10:35:41,0.6069,22.9357,0.6078,0.6202,0.6069
92,MatU(SP+A),2026-07-26 09:25:25,0.6061,21.1617,0.5255,0.7639,0.6061
93,MatU(SP+A),2026-07-27 23:14:33,0.6017,26.5708,0.5588,0.6811,0.6017
94,OrganAgent,2026-05-18 15:45:41,0.5969,16.2536,0.5675,0.713,0.5969
95,Sheffield_Heart,2026-07-03 05:54:52,0.5816,22.0601,0.579,0.6354,0.5816
96,MaJin,2026-07-25 13:29:43,0.5811,29.5108,0.5609,0.6634,0.5811
97,MaJin,2026-07-24 15:21:34,0.5793,23.1009,0.5375,0.6975,0.5793
98,MatU(SP+A),2026-07-26 09:25:54,0.576,23.214,0.5045,0.73,0.576
99,NCC1H,2026-05-25 18:53:38,0.5746,22.378,0.5287,0.737,0.5746
100,NCC1H,2026-05-26 23:40:29,0.5746,22.378,0.5287,0.737,0.5746
101,MaJin,2026-07-01 23:33:31,0.5742,19.5488,0.4973,0.7612,0.5742
102,zxz,2026-05-17 02:26:55,0.5677,18.9994,0.5787,0.6399,0.5677
103,zxz,2026-05-19 11:21:39,0.5553,21.5826,0.5048,0.638,0.5553
104,MaJin,2026-07-21 14:14:05,0.5537,32.8058,0.5264,0.7074,0.5537
105,MaJin,2026-07-21 10:00:45,0.5536,32.8058,0.5264,0.7072,0.5536
106,Sheffield_Heart,2026-07-03 05:54:46,0.4987,23.8686,0.4741,0.5736,0.4987
107,jlu_guan,2026-07-09 22:43:01,0.4821,43.8267,0.4725,0.5207,0.4821
108,MaJin,2026-06-23 14:34:10,0.3792,33.0405,0.3623,0.4316,0.3792
