lane,fold,checkpoint_step,case_id,status,device,elapsed_seconds,outer_cases_accessed
m1_myopsnet_l_care,3,1500,Case3030,COMPLETED,cuda,1.277,False
m1_myopsnet_l_care,3,1500,Case3031,COMPLETED,cuda,1.36,False
m1_myopsnet_l_care,3,1500,Case3039,COMPLETED,cuda,1.32,False
m1_myopsnet_l_care,3,1500,Case3040,COMPLETED,cuda,1.525,False
m1_myopsnet_l_care,3,2000,Case2016,COMPLETED,cuda,7.508,False
m1_myopsnet_l_care,3,2000,Case2023,COMPLETED,cuda,1.325,False
m1_myopsnet_l_care,3,2000,Case2025,COMPLETED,cuda,1.464,False
m1_myopsnet_l_care,3,2000,Case2030,COMPLETED,cuda,1.159,False
m1_myopsnet_l_care,3,2000,Case2031,COMPLETED,cuda,1.152,False
m1_myopsnet_l_care,3,2000,Case3004,COMPLETED,cuda,1.28,False
m1_myopsnet_l_care,3,2000,Case3006,COMPLETED,cuda,1.43,False
m1_myopsnet_l_care,3,2000,Case3011,COMPLETED,cuda,1.203,False
m1_myopsnet_l_care,3,2000,Case3028,COMPLETED,cuda,1.52,False
m1_myopsnet_l_care,3,2000,Case3030,COMPLETED,cuda,1.259,False
m1_myopsnet_l_care,3,2000,Case3031,COMPLETED,cuda,1.346,False
m1_myopsnet_l_care,3,2000,Case3039,COMPLETED,cuda,1.473,False
m1_myopsnet_l_care,3,2000,Case3040,COMPLETED,cuda,1.527,False
m1_myopsnet_l_care,3,2500,Case2016,COMPLETED,cuda,7.649,False
m1_myopsnet_l_care,3,2500,Case2023,COMPLETED,cuda,1.214,False
m1_myopsnet_l_care,3,2500,Case2025,COMPLETED,cuda,1.456,False
m1_myopsnet_l_care,3,2500,Case2030,COMPLETED,cuda,1.107,False
m1_myopsnet_l_care,3,2500,Case2031,COMPLETED,cuda,0.976,False
m1_myopsnet_l_care,3,2500,Case3004,COMPLETED,cuda,1.284,False
m1_myopsnet_l_care,3,2500,Case3006,COMPLETED,cuda,1.413,False
m1_myopsnet_l_care,3,2500,Case3011,COMPLETED,cuda,1.142,False
m1_myopsnet_l_care,3,2500,Case3028,COMPLETED,cuda,1.33,False
