case_count,comparison_tier,empty_predictions,gt_positive_cases,mean_Dice,mean_HD95,mean_component_count,mean_exact_HD,mean_precision,mean_recall,mean_remote_FP_mm3,mean_volume_ratio,model_id,pathology,source_path,source_status,status,subgroup
44,,28,16,0.3944358976789887,7.276922314931449,3.3181818181818183,10.766868115413025,0.7962270276016393,0.7975594214838431,86.19135076349431,1.6121482631185355,nnunet_fold0,pure_edema,,,,all
4,,4,0,,0.0,0.0,0.0,1.0,1.0,0.0,,nnunet_fold0,pure_edema,,,,modality:C0+LGE
16,,0,16,0.3944358976789887,20.011536366061485,9.125,29.60888731738582,0.43962432590450795,0.4432884090805682,237.02621459960938,1.6121482631185355,nnunet_fold0,pure_edema,,,,modality:C0+LGE+T2
24,,24,0,,0.0,0.0,0.0,1.0,1.0,0.0,,nnunet_fold0,pure_edema,,,,modality:LGE-only
7,,0,7,0.6131815991584469,12.440137428805636,2.2857142857142856,22.295908965464093,0.6826839718540195,0.6050199093729007,2.5198800223214284,0.939391866868635,nnunet_fold0,scar,,,,CenterB
9,,0,9,0.7556758410852354,6.799401617662012,1.5555555555555556,22.89967169469827,0.7966174184529049,0.7365194053589633,0.0,0.958832990880399,nnunet_fold0,scar,,,,CenterC
43,,1,43,0.573196419478004,13.600533414596173,4.627906976744186,25.970645720273883,0.612705292861441,0.5886849550508866,634.7889925657869,1.1342902419246623,nnunet_fold0,scar,,,,GT-positive
16,,0,16,0.6933346102422654,9.267223535037347,1.875,22.635525500658318,0.7467715355658926,0.678988375865061,1.102447509765625,0.9503274991252523,nnunet_fold0,scar,,,,T2-present
44,,1,43,0.5601692281262312,13.600533414596173,4.681818181818182,25.970645720273883,0.5987801725691356,0.5980330242542756,620.3619700074735,1.1342902419246623,nnunet_fold0,scar,,,,all
4,,0,3,0.3777873129448342,11.601986289569018,7.75,23.350052273637186,0.5108764815471377,0.5552950661191909,0.0,0.6302979020033548,nnunet_fold0,scar,,,,modality:C0+LGE
16,,0,16,0.6933346102422654,9.267223535037347,1.875,22.635525500658318,0.7467715355658926,0.678988375865061,1.102447509765625,0.9503274991252523,nnunet_fold0,scar,,,,modality:C0+LGE+T2
24,,1,24,0.501789292579108,16.87568991233629,6.041666666666667,28.632545887828627,0.5147698790749639,0.5511857828695994,1136.5953133405244,1.3199311129477658,nnunet_fold0,scar,,,,modality:LGE-only
7,secondary_canonical,0,7,0.49638704090624,17.463833616750723,5.428571428571429,25.62724757661477,0.5272212254575276,0.5172545562777057,0.0,1.0526896370060714,Batch10_MMRD::distill_epoch25_two_seed_mean,pure_edema,results/20260724_care_myops_batch10_deadline_rescue/ensemble_manifest.csv,rank1_manifest_44_predictions_present,canonical_recomputed_from_existing_predictions,CenterB
9,secondary_canonical,0,9,0.28275191681130785,24.464897268264355,7.222222222222222,32.63167247955603,0.27647200257679305,0.44382743584264445,0.0,2.826000825216517,Batch10_MMRD::distill_epoch25_two_seed_mean,pure_edema,results/20260724_care_myops_batch10_deadline_rescue/ensemble_manifest.csv,rank1_manifest_44_predictions_present,canonical_recomputed_from_existing_predictions,CenterC
16,secondary_canonical,0,16,0.3762172836028407,21.40193192072714,6.4375,29.567236584519225,0.38617478758711443,0.4759518010329837,0.0,2.0501771803744466,Batch10_MMRD::distill_epoch25_two_seed_mean,pure_edema,results/20260724_care_myops_batch10_deadline_rescue/ensemble_manifest.csv,rank1_manifest_44_predictions_present,canonical_recomputed_from_existing_predictions,GT-positive
16,secondary_canonical,0,16,0.3762172836028407,21.40193192072714,6.4375,29.567236584519225,0.38617478758711443,0.4759518010329837,0.0,2.0501771803744466,Batch10_MMRD::distill_epoch25_two_seed_mean,pure_edema,results/20260724_care_myops_batch10_deadline_rescue/ensemble_manifest.csv,rank1_manifest_44_predictions_present,canonical_recomputed_from_existing_predictions,T2-present
44,secondary_canonical,28,16,0.3762172836028407,7.782520698446233,2.340909090909091,10.751722394370628,0.7767908318498598,0.8094370185574487,0.0,2.0501771803744466,Batch10_MMRD::distill_epoch25_two_seed_mean,pure_edema,results/20260724_care_myops_batch10_deadline_rescue/ensemble_manifest.csv,rank1_manifest_44_predictions_present,canonical_recomputed_from_existing_predictions,all
4,secondary_canonical,4,0,,0.0,0.0,0.0,1.0,1.0,0.0,,Batch10_MMRD::distill_epoch25_two_seed_mean,pure_edema,results/20260724_care_myops_batch10_deadline_rescue/ensemble_manifest.csv,rank1_manifest_44_predictions_present,canonical_recomputed_from_existing_predictions,modality:C0+LGE
16,secondary_canonical,0,16,0.3762172836028407,21.40193192072714,6.4375,29.567236584519225,0.38617478758711443,0.4759518010329837,0.0,2.0501771803744466,Batch10_MMRD::distill_epoch25_two_seed_mean,pure_edema,results/20260724_care_myops_batch10_deadline_rescue/ensemble_manifest.csv,rank1_manifest_44_predictions_present,canonical_recomputed_from_existing_predictions,modality:C0+LGE+T2
24,secondary_canonical,24,0,,0.0,0.0,0.0,1.0,1.0,0.0,,Batch10_MMRD::distill_epoch25_two_seed_mean,pure_edema,results/20260724_care_myops_batch10_deadline_rescue/ensemble_manifest.csv,rank1_manifest_44_predictions_present,canonical_recomputed_from_existing_predictions,modality:LGE-only
7,secondary_canonical,0,7,0.5487698124874073,19.47631601218805,1.4285714285714286,27.488803553053085,0.5910056095809698,0.5981249108636474,215.02977155503783,1.1409081616899042,Batch10_MMRD::distill_epoch25_two_seed_mean,scar,results/20260724_care_myops_batch10_deadline_rescue/ensemble_manifest.csv,rank1_manifest_44_predictions_present,canonical_recomputed_from_existing_predictions,CenterB
9,secondary_canonical,0,9,0.7376512523192484,10.218555267414148,2.2222222222222223,21.96197724574934,0.7532294303697115,0.7540618683823209,0.0,1.0521068667709512,Batch10_MMRD::distill_epoch25_two_seed_mean,scar,results/20260724_care_myops_batch10_deadline_rescue/ensemble_manifest.csv,rank1_manifest_44_predictions_present,canonical_recomputed_from_existing_predictions,CenterC
43,secondary_canonical,0,43,0.5582400245073569,18.20900220134558,3.6511627906976742,30.366974200269645,0.549378627493354,0.6344616454013948,1014.8371267345574,1.405633072034959,Batch10_MMRD::distill_epoch25_two_seed_mean,scar,results/20260724_care_myops_batch10_deadline_rescue/ensemble_manifest.csv,rank1_manifest_44_predictions_present,canonical_recomputed_from_existing_predictions,GT-positive
16,secondary_canonical,0,16,0.655015622392818,14.26882559325273,1.875,24.37996375519473,0.6822565087746371,0.6858394494679012,94.07552505532905,1.0909574332979932,Batch10_MMRD::distill_epoch25_two_seed_mean,scar,results/20260724_care_myops_batch10_deadline_rescue/ensemble_manifest.csv,rank1_manifest_44_predictions_present,canonical_recomputed_from_existing_predictions,T2-present
44,secondary_canonical,0,43,0.5455527512230987,18.20900220134558,3.7045454545454546,30.366974200269645,0.5368927495957778,0.6427693352786359,991.7726465814993,1.405633072034959,Batch10_MMRD::distill_epoch25_two_seed_mean,scar,results/20260724_care_myops_batch10_deadline_rescue/ensemble_manifest.csv,rank1_manifest_44_predictions_present,canonical_recomputed_from_existing_predictions,all
4,secondary_canonical,0,3,0.4528559378503906,9.971384388259763,5.25,23.657747920838187,0.4735751730214483,0.7108654458322132,0.0,1.0590097759327246,Batch10_MMRD::distill_epoch25_two_seed_mean,scar,results/20260724_care_myops_batch10_deadline_rescue/ensemble_manifest.csv,rank1_manifest_44_predictions_present,canonical_recomputed_from_existing_predictions,modality:C0+LGE
16,secondary_canonical,0,16,0.655015622392818,14.26882559325273,1.875,24.37996375519473,0.6822565087746371,0.6858394494679012,94.07552505532905,1.0909574332979932,Batch10_MMRD::distill_epoch25_two_seed_mean,scar,results/20260724_care_myops_batch10_deadline_rescue/ensemble_manifest.csv,rank1_manifest_44_predictions_present,canonical_recomputed_from_existing_predictions,modality:C0+LGE+T2
24,secondary_canonical,0,24,0.48802697267207057,21.865488833376542,4.666666666666667,35.196967781915184,0.45053650623892655,0.6027065740601961,1755.5328353625293,1.6587447432057154,Batch10_MMRD::distill_epoch25_two_seed_mean,scar,results/20260724_care_myops_batch10_deadline_rescue/ensemble_manifest.csv,rank1_manifest_44_predictions_present,canonical_recomputed_from_existing_predictions,modality:LGE-only
7,secondary_canonical,0,7,0.49977331728001145,15.868443740372943,11.857142857142858,24.054493555543814,0.5609809208734056,0.4937685114423408,529.1748046875,0.9188309388627767,Batch7_minimal,pure_edema,results/20260722_srr_batch7_minimal_pathology_decomposition/casewise_metrics.csv,formal_400_minimal_pathology_predictions_present,canonical_recomputed_from_existing_predictions,CenterB
9,secondary_canonical,0,9,0.3148937790463484,22.84529086910584,26.555555555555557,33.960706408693845,0.345587187259946,0.40893864234084704,9.92204859974132,2.132235362354736,Batch7_minimal,pure_edema,results/20260722_srr_batch7_minimal_pathology_decomposition/casewise_metrics.csv,formal_400_minimal_pathology_predictions_present,canonical_recomputed_from_existing_predictions,CenterC
16,secondary_canonical,0,16,0.395778577023576,19.7929202502852,20.125,29.62673828544071,0.43982194571583455,0.44605171007275063,237.09512938813575,1.601370927077004,Batch7_minimal,pure_edema,results/20260722_srr_batch7_minimal_pathology_decomposition/casewise_metrics.csv,formal_400_minimal_pathology_predictions_present,canonical_recomputed_from_existing_predictions,GT-positive
16,secondary_canonical,0,16,0.395778577023576,19.7929202502852,20.125,29.62673828544071,0.43982194571583455,0.44605171007275063,237.09512938813575,1.601370927077004,Batch7_minimal,pure_edema,results/20260722_srr_batch7_minimal_pathology_decomposition/casewise_metrics.csv,formal_400_minimal_pathology_predictions_present,canonical_recomputed_from_existing_predictions,T2-present
44,secondary_canonical,28,16,0.395778577023576,7.1974255455582545,7.318181818181818,10.773359376523894,0.7962988893512126,0.7985642582082729,86.21641068659481,1.601370927077004,Batch7_minimal,pure_edema,results/20260722_srr_batch7_minimal_pathology_decomposition/casewise_metrics.csv,formal_400_minimal_pathology_predictions_present,canonical_recomputed_from_existing_predictions,all
4,secondary_canonical,4,0,,0.0,0.0,0.0,1.0,1.0,0.0,,Batch7_minimal,pure_edema,results/20260722_srr_batch7_minimal_pathology_decomposition/casewise_metrics.csv,formal_400_minimal_pathology_predictions_present,canonical_recomputed_from_existing_predictions,modality:C0+LGE
16,secondary_canonical,0,16,0.395778577023576,19.7929202502852,20.125,29.62673828544071,0.43982194571583455,0.44605171007275063,237.09512938813575,1.601370927077004,Batch7_minimal,pure_edema,results/20260722_srr_batch7_minimal_pathology_decomposition/casewise_metrics.csv,formal_400_minimal_pathology_predictions_present,canonical_recomputed_from_existing_predictions,modality:C0+LGE+T2
24,secondary_canonical,24,0,,0.0,0.0,0.0,1.0,1.0,0.0,,Batch7_minimal,pure_edema,results/20260722_srr_batch7_minimal_pathology_decomposition/casewise_metrics.csv,formal_400_minimal_pathology_predictions_present,canonical_recomputed_from_existing_predictions,modality:LGE-only
7,secondary_canonical,0,7,0.607973013102085,12.272725113165837,2.0,21.61917845531388,0.7031006839286388,0.5792044164667205,0.0,0.8641195958415923,Batch7_minimal,scar,results/20260722_srr_batch7_minimal_pathology_decomposition/casewise_metrics.csv,formal_400_minimal_pathology_predictions_present,canonical_recomputed_from_existing_predictions,CenterB
9,secondary_canonical,0,9,0.7457788588047338,6.958384053734107,1.7777777777777777,22.786513173090896,0.810897207341785,0.7078697150659308,0.0,0.9049933489477247,Batch7_minimal,scar,results/20260722_srr_batch7_minimal_pathology_decomposition/casewise_metrics.csv,formal_400_minimal_pathology_predictions_present,canonical_recomputed_from_existing_predictions,CenterC
43,secondary_canonical,1,43,0.5682035574363351,13.935958302612825,4.5813953488372094,26.14813727264086,0.6219672602773781,0.5718703352122971,599.176095539135,1.0861173742859036,Batch7_minimal,scar,results/20260722_srr_batch7_minimal_pathology_decomposition/casewise_metrics.csv,formal_400_minimal_pathology_predictions_present,canonical_recomputed_from_existing_predictions,GT-positive
16,secondary_canonical,0,16,0.6854888013098249,9.28340826723549,1.875,22.27580423406345,0.7637362283485335,0.6515786469287763,0.0,0.8871110819637917,Batch7_minimal,scar,results/20260722_srr_batch7_minimal_pathology_decomposition/casewise_metrics.csv,formal_400_minimal_pathology_predictions_present,canonical_recomputed_from_existing_predictions,T2-present
44,secondary_canonical,1,43,0.5552898402218729,13.935958302612825,4.636363636363637,26.14813727264086,0.6078316407256196,0.581600554866563,585.5584570041547,1.0861173742859036,Batch7_minimal,scar,results/20260722_srr_batch7_minimal_pathology_decomposition/casewise_metrics.csv,formal_400_minimal_pathology_predictions_present,canonical_recomputed_from_existing_predictions,all
4,secondary_canonical,0,3,0.371345165995557,11.978912074858195,7.75,23.548902711059895,0.513821753114118,0.5458585312890032,0.0,0.6068159565899846,Batch7_minimal,scar,results/20260722_srr_batch7_minimal_pathology_decomposition/casewise_metrics.csv,formal_400_minimal_pathology_predictions_present,canonical_recomputed_from_existing_predictions,modality:C0+LGE
16,secondary_canonical,0,16,0.6854888013098249,9.28340826723549,1.875,22.27580423406345,0.7637362283485335,0.6515786469287763,0.0,0.8871110819637917,Batch7_minimal,scar,results/20260722_srr_batch7_minimal_pathology_decomposition/casewise_metrics.csv,formal_400_minimal_pathology_predictions_present,canonical_recomputed_from_existing_predictions,modality:C0+LGE+T2
24,secondary_canonical,1,24,0.49914797853429077,17.427781748234626,5.958333333333333,29.180964764031366,0.5195635635789273,0.5409054974213476,1073.5238378409501,1.2787009130459681,Batch7_minimal,scar,results/20260722_srr_batch7_minimal_pathology_decomposition/casewise_metrics.csv,formal_400_minimal_pathology_predictions_present,canonical_recomputed_from_existing_predictions,modality:LGE-only
