JOBID|USER|NAME|PARTITION|STATE|TIME|TIME_LEFT|NODES|NODELIST(REASON)|TRES_PER_NODE
60995604|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995603|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995602|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995601|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995600|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60919855|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
60919854|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
60919853|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
60919852|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
60919851|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
60919850|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
60919849|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
60919848|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
60919847|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
60919846|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
60919845|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
60919844|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
60919843|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
60919842|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
60919841|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
60919840|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
60919839|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
60919838|gsonw|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|1-12:00:00|1|(Priority)|gres/gpu:1
61352973|nanijin|bcp1215_a100|a100-gpu|PENDING|0:00|2-00:00:00|1|(Priority)|gres/gpu:1
61375218|cbaykara|PIA|a100-gpu|PENDING|0:00|2-00:00:00|1|(Priority)|gres/gpu:1
61375206|cbaykara|PIA|a100-gpu|PENDING|0:00|2-00:00:00|1|(Priority)|gres/gpu:1
61375204|cbaykara|PIA|a100-gpu|PENDING|0:00|2-00:00:00|1|(Priority)|gres/gpu:1
61332547|nanijin|bcp1447_1in_a100_r|a100-gpu|PENDING|0:00|1-00:00:00|1|(Priority)|gres/gpu:1
61430509|nanijin|bcp1215_lr5e4_a|a100-gpu|PENDING|0:00|2-00:00:00|1|(Priority)|gres/gpu:1
61430507|nanijin|bcp1215_lr5e3_a|a100-gpu|PENDING|0:00|2-00:00:00|1|(Priority)|gres/gpu:1
61430505|nanijin|bcp1215_lr1e1_a|a100-gpu|PENDING|0:00|2-00:00:00|1|(Priority)|gres/gpu:1
61430503|nanijin|bcp1215_lr1e2_a|a100-gpu|PENDING|0:00|2-00:00:00|1|(Priority)|gres/gpu:1
61430501|nanijin|bcp1215_lr1e4_a|a100-gpu|PENDING|0:00|2-00:00:00|1|(Priority)|gres/gpu:1
61427872|nanijin|bcp_a34b14_a100|a100-gpu|PENDING|0:00|2-00:00:00|1|(Priority)|gres/gpu:1
61427871|nanijin|bcp_art34_a100|a100-gpu|PENDING|0:00|2-00:00:00|1|(Priority)|gres/gpu:1
61427870|nanijin|bcp1447lr5_a100_r|a100-gpu|PENDING|0:00|2-00:00:00|1|(Priority)|gres/gpu:1
61427996|nanijin|bcp1215a42b37_a100|a100-gpu|PENDING|0:00|2-00:00:00|1|(Dependency)|gres/gpu:1
61427995|nanijin|bcp1447_1in_a100_r2d|a100-gpu|PENDING|0:00|2-00:00:00|1|(Dependency)|gres/gpu:1
61427994|nanijin|bcp1215_a100|a100-gpu|PENDING|0:00|2-00:00:00|1|(Dependency)|gres/gpu:1
61427993|nanijin|bcp1215a42_a100|a100-gpu|PENDING|0:00|2-00:00:00|1|(Dependency)|gres/gpu:1
61465100_[0-3%3]|yunan|deeptrafo-K|a100-gpu|PENDING|0:00|1-00:00:00|1|(Priority)|gres/gpu:nvidia_a100-pcie-40gb:1
61464103|yunan|deeptrafo-test|a100-gpu|PENDING|0:00|20:00|1|(Priority)|gres/gpu:nvidia_a100-pcie-40gb:1
60668327|tigerz|run_af3_dist.sh|a100-gpu|PENDING|0:00|1-06:00:00|1|(Priority)|gres/gpu:1
60668326|tigerz|run_af3_dist.sh|a100-gpu|PENDING|0:00|1-06:00:00|1|(Priority)|gres/gpu:1
60668325|tigerz|run_af3_dist.sh|a100-gpu|PENDING|0:00|1-06:00:00|1|(Priority)|gres/gpu:1
60668324|tigerz|run_af3_dist.sh|a100-gpu|PENDING|0:00|1-06:00:00|1|(Priority)|gres/gpu:1
60668323|tigerz|run_af3_dist.sh|a100-gpu|PENDING|0:00|1-06:00:00|1|(Priority)|gres/gpu:1
60668322|tigerz|run_af3_dist.sh|a100-gpu|PENDING|0:00|1-06:00:00|1|(Priority)|gres/gpu:1
60668321|tigerz|run_af3_dist.sh|a100-gpu|PENDING|0:00|1-06:00:00|1|(Priority)|gres/gpu:1
60668320|tigerz|run_af3_dist.sh|a100-gpu|PENDING|0:00|1-06:00:00|1|(Priority)|gres/gpu:1
60668319|tigerz|run_af3_dist.sh|a100-gpu|PENDING|0:00|1-06:00:00|1|(Priority)|gres/gpu:1
60668318|tigerz|run_af3_dist.sh|a100-gpu|PENDING|0:00|1-06:00:00|1|(Priority)|gres/gpu:1
61380893|bpoff|t48|a100-gpu|PENDING|0:00|2-00:00:00|1|(Priority)|gres/gpu:1
61380892|bpoff|d48|a100-gpu|PENDING|0:00|2-00:00:00|1|(Priority)|gres/gpu:1
61380890|bpoff|s48|a100-gpu|PENDING|0:00|2-00:00:00|1|(Priority)|gres/gpu:1
