phase,case_id,control,graph_symbol,changed_logits,changed_voxels,changed_components,expected_behavior,observed_behavior,pass
d2_hierarchical_psip,Case3038,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,221,10,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case3038,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case3040,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case3040,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,283,7,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case3040,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case3044,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case3044,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,286,4,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case3044,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case5005,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case5005,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,138,3,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case5005,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case6001,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case6001,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,233,1,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case6001,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case6010,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case6010,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,85,4,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case6010,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case7005,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case7005,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,9,-1,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case7005,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case8003,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case8003,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,153,3,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case8003,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case8011,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case8011,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,32,0,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case8011,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case8015,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case8015,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,64,3,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case8015,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case8019,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case8019,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,67,1,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case8019,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case8021,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case8021,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,5,0,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case8021,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case8022,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case8022,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,140,2,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case8022,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case8023,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case8023,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,55,1,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case8023,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1002,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1002,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,93,5,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d3_full_propref,Case1002,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1007,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1007,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,235,1,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d3_full_propref,Case1007,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1009,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1009,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,219,-6,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d3_full_propref,Case1009,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1010,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1010,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,185,-4,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d3_full_propref,Case1010,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1021,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1021,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,118,-2,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d3_full_propref,Case1021,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1023,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1023,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,257,4,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d3_full_propref,Case1023,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1029,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1029,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,283,2,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d3_full_propref,Case1029,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1033,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1033,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,243,0,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d3_full_propref,Case1033,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1040,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1040,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,251,1,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d3_full_propref,Case1040,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1042,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1042,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,83,-4,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d3_full_propref,Case1042,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1045,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1045,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,69,-1,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d3_full_propref,Case1045,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1047,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d3_full_propref,Case1047,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,332,0,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
