phase,checkpoint_name,checkpoint_sha256,all_44_fresh,hashes_match,calibration_frozen,finite,no_t2_exact_zero,eligible,case_count,scar_positive_nonempty_rate,t2_edema_positive_nonempty_rate,edema_positive_nonempty_rate,scar_median_volume_ratio,edema_median_volume_ratio,subgroups_complete,validators_pass,exclusion_reason,exclusion_reasons
d0_control,checkpoint_best,41a13ee260c61ff6fa00ca0e48ef416860e7bcd2154e8b4ffc72df2685051906,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_30675,42377997f1cd5caea25e85fb702c7faede084d9b17a695b503e092e3819b6c49,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_validation_step_19992,43d51cf9fef688070c5d3f449aaedae5574eb8bbeabd32ff1a45603a79784208,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d0_control,checkpoint_validation_step_4000,458cf492c51bcbd64ba43dda16873117873b0b97ac157f3bb7e4e59ab6885df2,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
no_context_control,checkpoint_validation_step_4000,458f452f0d61593a751f3e542410ba07fd15fbbbb7a0c4431646a2ba13ccf4f4,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_validation_step_8330,485e71f662be8489f027755983ada130199ec8cef0651e71e1c87f13c8186c29,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
alignment_control,checkpoint_validation_step_9000,4bbde0afe6a97134cf1bae85bec1ffc6a412bb303052eb5f57e3605d4c1400dc,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
no_context_control,checkpoint_validation_step_6000,4d7c89e2f15ecec76726f5b138fe1ce28a1300cf301e408d16dd501642cfa971,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_36810,4f3e5d67cf472f36e11e86803e8b9e6a76f5854a2455ded47001fa1a62ffd518,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_validation_step_9996,4ffb427f9c52be7bf6a41c1f7812d5a03755c1f4be00d65b07a04a2c60ae096f,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
